run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,1,0.17233674,0.25322281,0.04780576,0.04780576,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,2,0.04774469,0.18610261,0.04002472,0.04002472,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,3,0.04161406,0.14007154,0.03502491,0.03502491,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,4,0.03939468,0.12423333,0.03284064,0.03284064,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,5,0.03788643,0.11482478,0.03664808,0.03284064,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,6,0.03727410,0.11107938,0.03198944,0.03198944,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,7,0.03638441,0.11032618,0.03401472,0.03198944,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,8,0.03530920,0.10992237,0.03002893,0.03002893,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,9,0.03431439,0.10917494,0.03880079,0.03002893,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,10,0.03392666,0.10930584,0.03026018,0.03002893,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,11,0.03348914,0.11001575,0.02996454,0.02996454,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,12,0.03293504,0.11046960,0.03040337,0.02996454,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,13,0.03291212,0.11150587,0.03762836,0.02996454,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,14,0.03236116,0.11199968,0.02909155,0.02909155,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,15,0.03235602,0.11267693,0.03449132,0.02909155,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,16,0.03212334,0.11305072,0.03611827,0.02909155,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,17,0.03182065,0.11387213,0.03000852,0.02909155,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,18,0.03153713,0.11474392,0.03273289,0.02909155,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,19,0.03128466,0.11508744,0.03067895,0.02909155,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,20,0.03135458,0.11540797,0.02846387,0.02846387,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,21,0.03100658,0.11499425,0.03018206,0.02846387,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,22,0.03108395,0.11579089,0.02906910,0.02846387,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,23,0.03089506,0.11545686,0.02853808,0.02846387,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,24,0.03063303,0.11547835,0.02884449,0.02846387,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,25,0.03030193,0.11563586,0.02991736,0.02846387,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,26,0.03038876,0.11607527,0.02823359,0.02823359,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,27,0.03045026,0.11645076,0.02988936,0.02823359,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,28,0.03022101,0.11638803,0.02852923,0.02823359,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,29,0.03011553,0.11677001,0.02770049,0.02770049,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,30,0.03013787,0.11637351,0.02808516,0.02770049,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,31,0.02992564,0.11625851,0.03111139,0.02770049,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,32,0.02986419,0.11696743,0.02779291,0.02770049,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,33,0.02965506,0.11600602,0.02687847,0.02687847,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,34,0.02971507,0.11611021,0.03133736,0.02687847,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,35,0.02954528,0.11593386,0.03496201,0.02687847,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,36,0.02955202,0.11514885,0.02770802,0.02687847,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,37,0.02949099,0.11591556,0.03040206,0.02687847,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,38,0.02951909,0.11516569,0.02686272,0.02686272,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,39,0.02936223,0.11512090,0.02858537,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,40,0.02918196,0.11477400,0.02862719,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,41,0.02921790,0.11552540,0.02826703,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,42,0.02887587,0.11437449,0.03347075,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,43,0.02918041,0.11404787,0.03126494,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,44,0.02913444,0.11312332,0.02860973,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,45,0.02894180,0.11189226,0.02698840,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,46,0.02870843,0.11200415,0.02956358,0.02686272,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,47,0.02872634,0.11166081,0.02636735,0.02636735,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,48,0.02870740,0.11148874,0.02954730,0.02636735,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,49,0.02863981,0.11050130,0.02707683,0.02636735,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,50,0.02878680,0.10939506,0.02992125,0.02636735,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,51,0.02868855,0.10876543,0.02977465,0.02636735,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,52,0.02862157,0.10854585,0.02889336,0.02636735,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,53,0.02845857,0.10766825,0.02785707,0.02636735,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,54,0.02841413,0.10738322,0.02608503,0.02608503,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,55,0.02837832,0.10661663,0.02581605,0.02581605,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,56,0.02837890,0.10663669,0.02599059,0.02581605,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,57,0.02837249,0.10547304,0.02566646,0.02566646,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,58,0.02819264,0.10583264,0.02689470,0.02566646,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-001-gpu1,59,0.02819359,0.10588343,0.02845867,0.02566646,0,Phase1-拓荒,0.000000,5e-05
