epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,22.910610,0.845272,32.3,0.9777,0
10,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.255065,0.853467,32.3,0.9777,0
20,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.111331,0.867023,32.3,0.9777,0
30,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.775784,0.875935,32.3,0.9777,0
40,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.967696,0.877313,32.3,0.9777,0
50,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.798357,0.882613,32.3,0.9777,0
60,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.202556,0.883453,32.3,0.9777,0
70,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.180216,0.887571,32.3,0.9777,0
80,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.216030,0.885325,32.3,0.9777,0
90,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.255846,0.889542,32.3,0.9777,0
100,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.284606,0.889510,32.3,0.9777,0
110,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.527039,0.892048,32.3,0.9777,0
120,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.527039,0.892048,32.3,0.9777,0
130,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.568479,0.891517,32.3,0.9777,0
140,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.610195,0.892966,32.3,0.9777,0
150,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.633278,0.893063,32.3,0.9777,0
160,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.685581,0.892728,32.3,0.9777,0
170,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.685581,0.892728,32.3,0.9777,0
180,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.694065,0.894022,32.3,0.9777,0
190,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.694065,0.894022,32.3,0.9777,0
200,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.694065,0.894022,32.3,0.9777,0
