run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,1,0.21449321,0.21704843,0.05906170,0.05906170,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,2,0.05777638,0.17148696,0.04994281,0.04994281,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,3,0.04791441,0.12848121,0.04172578,0.04172578,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,4,0.04368575,0.10303744,0.03710571,0.03710571,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,5,0.04080210,0.09277888,0.05564443,0.03710571,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,6,0.03913596,0.08948398,0.03386616,0.03386616,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,7,0.03789802,0.08938526,0.03356975,0.03356975,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,8,0.03688962,0.08929656,0.03186457,0.03186457,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,9,0.03580861,0.08859580,0.03423804,0.03186457,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,10,0.03546674,0.08873580,0.03524668,0.03186457,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,11,0.03484348,0.08911130,0.03214455,0.03186457,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,12,0.03430564,0.08862259,0.03987734,0.03186457,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,13,0.03417821,0.08889137,0.05427139,0.03186457,0,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,14,0.03351692,0.08965663,0.03029566,0.03029566,1,Phase1-拓荒,0.000000,5e-05
quality_v2_A_curriculum_unet2_ds8x2_k16-32-one_step-001-gpu0,15,0.03336460,0.08967537,0.03038698,0.03029566,0,Phase1-拓荒,0.000000,5e-05
