epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,22.536040,0.856454,32.3,0.9777,0
10,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,23.200192,0.870636,32.3,0.9777,0
20,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,23.781166,0.884165,32.3,0.9777,0
30,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.101425,0.894682,32.3,0.9777,0
40,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.259241,0.899240,32.3,0.9777,0
50,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.537252,0.903287,32.3,0.9777,0
60,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.715754,0.905261,32.3,0.9777,0
70,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.728576,0.906730,32.3,0.9777,0
80,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.635912,0.908622,32.3,0.9777,0
90,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.680133,0.911996,32.3,0.9777,0
100,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.882688,0.910979,32.3,0.9777,0
110,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.943367,0.913163,32.3,0.9777,0
120,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.981808,0.913715,32.3,0.9777,0
130,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.981808,0.913715,32.3,0.9777,0
140,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.050344,0.914499,32.3,0.9777,0
150,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.052729,0.915102,32.3,0.9777,0
160,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.052729,0.915102,32.3,0.9777,0
170,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.052729,0.915102,32.3,0.9777,0
180,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.066398,0.915868,32.3,0.9777,0
190,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.066398,0.915868,32.3,0.9777,0
200,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.069729,0.916384,32.3,0.9777,0
