run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp4_DynSwin-20260531-224505,1,0.12977388,0.07047212,0.03500246,0.03500246,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,2,0.03092203,0.03097632,0.02533289,0.02533289,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,3,0.02578161,0.02709189,0.02203549,0.02203549,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,4,0.02287117,0.02791150,0.01989812,0.01989812,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,5,0.02139420,0.02818916,0.01725503,0.01725503,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,6,0.02033955,0.02884039,0.01704681,0.01704681,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,7,0.01946242,0.02934016,0.02012237,0.01704681,0,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,8,0.01907820,0.02954255,0.01550230,0.01550230,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,9,0.01848473,0.02943907,0.01673718,0.01550230,0,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,10,0.01806376,0.02944576,0.01502384,0.01502384,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,11,0.01773689,0.02932615,0.01478379,0.01478379,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,12,0.01774688,0.02916000,0.01429032,0.01429032,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,13,0.01713961,0.02902143,0.01901198,0.01429032,0,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,14,0.01701817,0.02906013,0.01491712,0.01429032,0,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,15,0.01690885,0.02855577,0.01890018,0.01429032,0,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,16,0.01646333,0.02875523,0.01393764,0.01393764,1,Phase1-拓荒,0.000000,5e-05
exp4_DynSwin-20260531-224505,17,0.01647523,0.02854866,0.01376406,0.01376406,1,Phase1-拓荒,0.000000,5e-05
