run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp1_LPIPS-20260531-024345,1,1.59455768,0.42412810,1.54325838,1.54325838,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,2,1.54478533,0.63258408,1.49851959,1.49851959,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,3,1.51667988,0.82917967,1.49482065,1.49482065,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,4,1.50424210,1.04140478,1.45786928,1.45786928,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,5,1.48959845,1.24720471,1.44628777,1.44628777,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,6,1.47744508,1.44210365,1.43899992,1.43899992,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,7,1.46574688,1.62190981,1.42874493,1.42874493,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,8,1.45504087,1.78145144,1.42299441,1.42299441,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,9,1.44759652,1.92408746,1.40887619,1.40887619,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,10,1.43903844,2.05047822,1.40980212,1.40887619,0,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,11,1.42997058,2.16143964,1.40006058,1.40006058,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,12,1.42412140,2.24424860,1.38429692,1.38429692,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,13,1.41695120,2.32849868,1.39138651,1.38429692,0,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,14,1.41075905,2.39695397,1.40972434,1.38429692,0,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,15,1.40530843,2.45159273,1.37357880,1.37357880,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,16,1.39998321,2.50175727,1.36439833,1.36439833,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,17,1.39428831,2.53611025,1.36361045,1.36361045,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,18,1.38954397,2.57600829,1.35323379,1.35323379,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,19,1.38328633,2.61425583,1.36732452,1.35323379,0,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,20,1.38110981,2.63780655,1.34485425,1.34485425,1,Phase1-拓荒,0.000000,5e-05
exp1_LPIPS-20260531-024345,21,1.37539639,2.66459773,1.34847915,1.34485425,0,Phase2-退火(0%),0.000000,5e-05
exp1_LPIPS-20260531-024345,22,1.37245724,2.68650935,1.33964625,1.33964625,1,Phase2-退火(2%),0.000000,5e-05
exp1_LPIPS-20260531-024345,23,1.36701620,2.71697842,1.33431256,1.33431256,1,Phase2-退火(3%),0.000000,5e-05
exp1_LPIPS-20260531-024345,24,1.36149213,2.74838615,1.33907382,1.33431256,0,Phase2-退火(5%),0.000000,5e-05
exp1_LPIPS-20260531-024345,25,1.35728833,2.77462340,1.33291643,1.33291643,1,Phase2-退火(7%),0.000000,5e-05
exp1_LPIPS-20260531-024345,26,1.35389685,2.81104787,1.32965431,1.32965431,1,Phase2-退火(8%),0.000000,5e-05
exp1_LPIPS-20260531-024345,27,1.35048072,2.82702780,1.32628081,1.32628081,1,Phase2-退火(10%),0.000000,5e-05
exp1_LPIPS-20260531-024345,28,1.34816321,2.85382740,1.32240370,1.32240370,1,Phase2-退火(12%),0.000000,5e-05
exp1_LPIPS-20260531-024345,29,1.34200326,2.87839672,1.31274430,1.31274430,1,Phase2-退火(13%),0.000000,5e-05
exp1_LPIPS-20260531-024345,30,1.34127633,2.90117342,1.31595956,1.31274430,0,Phase2-退火(15%),0.000000,5e-05
exp1_LPIPS-20260531-024345,31,1.33692421,2.92778760,1.31321669,1.31274430,0,Phase2-退火(17%),0.000000,5e-05
exp1_LPIPS-20260531-024345,32,1.33296482,2.95466334,1.31183830,1.31183830,1,Phase2-退火(18%),0.000000,5e-05
exp1_LPIPS-20260531-024345,33,1.32989141,2.97569421,1.30895140,1.30895140,1,Phase2-退火(20%),0.000000,5e-05
exp1_LPIPS-20260531-024345,34,1.32616689,2.99994399,1.32164560,1.30895140,0,Phase2-退火(22%),0.000000,5e-05
exp1_LPIPS-20260531-024345,35,1.32438706,3.01630370,1.30718567,1.30718567,1,Phase2-退火(23%),0.000000,5e-05
exp1_LPIPS-20260531-024345,36,1.32200117,3.03079748,1.30390879,1.30390879,1,Phase2-退火(25%),0.000000,5e-05
exp1_LPIPS-20260531-024345,37,1.31833186,3.05960033,1.29589056,1.29589056,1,Phase2-退火(27%),0.000000,5e-05
exp1_LPIPS-20260531-024345,38,1.31525250,3.08230445,1.29722415,1.29589056,0,Phase2-退火(28%),0.000000,5e-05
exp1_LPIPS-20260531-024345,39,1.31334754,3.10689498,1.29666625,1.29589056,0,Phase2-退火(30%),0.000000,5e-05
exp1_LPIPS-20260531-024345,40,1.30898822,3.12736196,1.29238855,1.29238855,1,Phase2-退火(32%),0.000000,5e-05
exp1_LPIPS-20260531-024345,41,1.30576178,3.15466287,1.28861992,1.28861992,1,Phase2-退火(33%),0.000000,5e-05
exp1_LPIPS-20260531-024345,42,1.30218641,3.18907195,1.28889447,1.28861992,0,Phase2-退火(35%),0.000000,5e-05
exp1_LPIPS-20260531-024345,43,1.30315541,3.19460323,1.28030211,1.28030211,1,Phase2-退火(37%),0.000000,5e-05
