epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,23.408566,0.873397,32.3,0.9777,0
10,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.346128,0.893993,32.3,0.9777,0
20,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.827534,0.910674,32.3,0.9777,0
30,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.189544,0.915483,32.3,0.9777,0
40,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.415283,0.919970,32.3,0.9777,0
50,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.634487,0.925097,32.3,0.9777,0
60,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.731342,0.924688,32.3,0.9777,0
70,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.424733,0.926867,32.3,0.9777,0
80,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.021679,0.930895,32.3,0.9777,0
90,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.902583,0.929867,32.3,0.9777,0
100,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.963609,0.931156,32.3,0.9777,0
110,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.251843,0.932798,32.3,0.9777,0
120,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.222692,0.933247,32.3,0.9777,0
130,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.304697,0.933269,32.3,0.9777,0
140,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.220188,0.933527,32.3,0.9777,0
150,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.251923,0.933322,32.3,0.9777,0
160,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.317438,0.934117,32.3,0.9777,0
170,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.317438,0.934117,32.3,0.9777,0
180,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.335058,0.934296,32.3,0.9777,0
190,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.287678,0.934432,32.3,0.9777,0
200,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.287678,0.934432,32.3,0.9777,0
