run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,1,0.02742700,0.09921883,0.02225016,0.02225016,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,2,0.02444777,0.07638428,0.01990099,0.01990099,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,3,0.02255512,0.06816325,0.01880275,0.01880275,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,4,0.02207313,0.06322263,0.02038992,0.01880275,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,5,0.02530863,0.05788917,0.01834994,0.01834994,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,6,0.02167516,0.05565424,0.01849789,0.01834994,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,7,0.02127034,0.05279117,0.01772267,0.01772267,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,8,0.02125508,0.05039838,0.01751004,0.01751004,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,9,0.02101520,0.04973889,0.01731328,0.01731328,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,10,0.02069481,0.04752107,0.01800329,0.01731328,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,11,0.02114293,0.04664892,0.01730813,0.01730813,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,12,0.02051740,0.04558710,0.01713257,0.01713257,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,13,0.02167554,0.04507171,0.01736730,0.01713257,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,14,0.02051016,0.04377135,0.01860797,0.01713257,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,15,0.02002375,0.04310305,0.01673724,0.01673724,1,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,16,0.02012751,0.04257679,0.01707565,0.01673724,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,17,0.02029691,0.04161957,0.01688381,0.01673724,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,18,0.01980273,0.04113686,0.01677557,0.01673724,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,19,0.01960159,0.04051941,0.01788671,0.01673724,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,20,0.02020925,0.04056022,0.01752008,0.01673724,0,Phase1-拓荒,0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,21,0.01990628,0.04004207,0.01662268,0.01662268,1,Phase2-退火(0%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,22,0.01959450,0.03936341,0.01679043,0.01662268,0,Phase2-退火(2%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,23,0.03529916,0.03668789,0.02085939,0.01662268,0,Phase2-退火(3%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,24,0.02144420,0.03601758,0.01690970,0.01662268,0,Phase2-退火(5%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,25,0.01969982,0.03727155,0.01646685,0.01646685,1,Phase2-退火(7%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,26,0.01912389,0.03718651,0.01703676,0.01646685,0,Phase2-退火(8%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,27,0.01925254,0.03722735,0.01699136,0.01646685,0,Phase2-退火(10%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,28,0.01923142,0.03727307,0.01672614,0.01646685,0,Phase2-退火(12%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,29,0.01873745,0.03707787,0.01625500,0.01625500,1,Phase2-退火(13%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,30,0.01898293,0.03694908,0.01631532,0.01625500,0,Phase2-退火(15%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,31,0.01907813,0.03672257,0.01643008,0.01625500,0,Phase2-退火(17%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,32,0.01844940,0.03675368,0.01609942,0.01609942,1,Phase2-退火(18%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,33,0.01875549,0.03658919,0.01736410,0.01609942,0,Phase2-退火(20%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,34,0.01862919,0.03683259,0.01673002,0.01609942,0,Phase2-退火(22%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,35,0.01841191,0.03658751,0.01620006,0.01609942,0,Phase2-退火(23%),0.000000,5e-05
exp11_larger_cb128-16_div2k-flickr2k_768x512-20260605-155318,36,0.01848022,0.03626726,0.01592890,0.01592890,1,Phase2-退火(25%),0.000000,5e-05
