run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp10_larger_cb128-16_vq-20260605-133753,10,0,128,0.2968750000,38,90,17.6928310394,0.0885662287,97,0.7578125000,128,1
exp10_larger_cb128-16_vq-20260605-133753,10,1,16,1.0000000000,16,0,15.3081779480,2.1567301750,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,20,0,128,0.3437500000,44,84,32.6870613098,0.0885662287,79,0.6171875000,128,1
exp10_larger_cb128-16_vq-20260605-133753,20,1,16,1.0000000000,16,0,14.8560791016,3.2173564434,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,30,0,128,0.4531250000,58,70,42.5196838379,0.0889616758,65,0.5078125000,128,1
exp10_larger_cb128-16_vq-20260605-133753,30,1,16,1.0000000000,16,0,14.9039478302,4.5634632111,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,40,0,128,0.5390625000,69,59,52.6857986450,0.0893478841,50,0.3906250000,128,1
exp10_larger_cb128-16_vq-20260605-133753,40,1,16,1.0000000000,16,0,14.7820568085,4.6423149109,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,50,0,128,0.6406250000,82,46,61.3731040955,0.0900888294,39,0.3046875000,128,1
exp10_larger_cb128-16_vq-20260605-133753,50,1,16,1.0000000000,16,0,15.0874786377,4.5563755035,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,60,0,128,0.7031250000,90,38,67.8853607178,0.0908591673,30,0.2343750000,128,1
exp10_larger_cb128-16_vq-20260605-133753,60,1,16,1.0000000000,16,0,15.0469293594,4.1949052811,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,70,0,128,0.8046875000,103,25,75.1555252075,0.0950546265,18,0.1406250000,128,1
exp10_larger_cb128-16_vq-20260605-133753,70,1,16,1.0000000000,16,0,14.8525075912,3.9291224480,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,80,0,128,0.8437500000,108,20,80.1812438965,0.0972231179,10,0.0781250000,128,1
exp10_larger_cb128-16_vq-20260605-133753,80,1,16,1.0000000000,16,0,14.4312543869,3.4020969868,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,90,0,128,0.9218750000,118,10,85.4254226685,0.0993063897,4,0.0312500000,128,1
exp10_larger_cb128-16_vq-20260605-133753,90,1,16,1.0000000000,16,0,13.9349079132,3.1531980038,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,100,0,128,0.9687500000,124,4,93.1482772827,0.1024540067,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,100,1,16,1.0000000000,16,0,13.8371858597,2.9921109676,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,110,0,128,0.9843750000,126,2,94.7302932739,0.1110512242,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,110,1,16,1.0000000000,16,0,13.8198795319,3.1721973419,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,120,0,128,1.0000000000,128,0,97.1889724731,0.6592444777,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,120,1,16,1.0000000000,16,0,13.9236879349,3.3702042103,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,130,0,128,1.0000000000,128,0,97.0174255371,2.1131448746,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,130,1,16,1.0000000000,16,0,13.9763698578,3.4668624401,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,140,0,128,1.0000000000,128,0,96.7851638794,2.5490903854,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,140,1,16,1.0000000000,16,0,14.2050609589,3.5829832554,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,150,0,128,1.0000000000,128,0,95.7897567749,2.7428922653,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,150,1,16,1.0000000000,16,0,14.4127092361,3.6982018948,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,160,0,128,1.0000000000,128,0,95.5125274658,2.6968176365,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,160,1,16,1.0000000000,16,0,14.3655548096,3.7888853550,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,170,0,128,1.0000000000,128,0,97.1882324219,2.7774405479,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,170,1,16,1.0000000000,16,0,14.3921213150,3.8540971279,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,180,0,128,1.0000000000,128,0,95.7940673828,2.8734989166,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,180,1,16,1.0000000000,16,0,14.3133373260,3.8919425011,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,190,0,128,1.0000000000,128,0,96.3137741089,2.8542821407,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,190,1,16,1.0000000000,16,0,14.2150506973,3.9380812645,0,0.0000000000,16,1
exp10_larger_cb128-16_vq-20260605-133753,200,0,128,1.0000000000,128,0,93.9046020508,2.8438842297,0,0.0000000000,128,1
exp10_larger_cb128-16_vq-20260605-133753,200,1,16,1.0000000000,16,0,14.1818284988,3.9835093021,0,0.0000000000,16,1
