run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,10,0,16,1.0000000000,16,0,14.4937686920,7.1107978821,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,10,1,2,1.0000000000,2,0,1.8523578644,10.7540531158,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,20,0,16,1.0000000000,16,0,14.3387842178,7.8259601593,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,20,1,2,1.0000000000,2,0,1.4222135544,14.0832033157,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,30,0,16,1.0000000000,16,0,14.4967918396,7.8475108147,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,30,1,2,1.0000000000,2,0,1.2669938803,16.1211109161,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,40,0,16,1.0000000000,16,0,14.3465633392,7.8917703629,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,40,1,2,1.0000000000,2,0,1.2439991236,17.5832901001,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,50,0,16,1.0000000000,16,0,14.4007644653,7.9887747765,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,50,1,2,1.0000000000,2,0,1.1464582682,19.1368465424,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,60,0,16,1.0000000000,16,0,14.5041217804,7.9526643753,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,60,1,2,1.0000000000,2,0,1.2203501463,15.0438098907,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,70,0,16,1.0000000000,16,0,14.5153751373,8.1805582047,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,70,1,2,1.0000000000,2,0,1.1906560659,13.5583429337,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,80,0,16,1.0000000000,16,0,14.4829702377,8.2993078232,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,80,1,2,1.0000000000,2,0,1.1369674206,5.4846005440,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,90,0,16,1.0000000000,16,0,14.4904518127,8.3952999115,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,90,1,2,1.0000000000,2,0,1.1581877470,6.3817801476,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,100,0,16,1.0000000000,16,0,14.4984331131,8.4948635101,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,100,1,2,1.0000000000,2,0,1.1591373682,7.3840541840,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,110,0,16,1.0000000000,16,0,14.4822521210,8.4211711884,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,110,1,2,1.0000000000,2,0,1.0761340857,9.5637960434,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,120,0,16,1.0000000000,16,0,14.4505014420,8.3227348328,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,120,1,2,1.0000000000,2,0,1.0567357540,9.6617250443,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,130,0,16,1.0000000000,16,0,14.4938688278,8.2735157013,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,130,1,2,1.0000000000,2,0,1.0486797094,10.6236228943,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,140,0,16,1.0000000000,16,0,14.5879135132,8.1804933548,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,140,1,2,1.0000000000,2,0,1.0251467228,13.2325363159,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,150,0,16,1.0000000000,16,0,14.4208955765,8.1385507584,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,150,1,2,1.0000000000,2,0,1.0149023533,15.4404268265,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,160,0,16,1.0000000000,16,0,14.5454683304,8.0932388306,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,160,1,2,1.0000000000,2,0,1.0630136728,9.0569419861,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,170,0,16,1.0000000000,16,0,14.5304660797,8.0940599442,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,170,1,2,1.0000000000,2,0,1.0223258734,11.2946720123,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,180,0,16,1.0000000000,16,0,14.5808420181,8.0783910751,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,180,1,2,1.0000000000,2,0,1.0236028433,15.3885946274,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,190,0,16,1.0000000000,16,0,14.5328731537,8.0747709274,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,190,1,2,1.0000000000,2,0,1.0139780045,17.5322303772,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,200,0,16,1.0000000000,16,0,14.5092229843,8.0804882050,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,200,1,2,1.0000000000,2,0,1.0114057064,17.6692867279,0,0.0000000000,2,1
