run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,1,0.76833635,0.27882741,0.07454496,0.07454496,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,2,0.08003769,0.10810840,0.05027576,0.05027576,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,3,0.06176094,0.08962729,0.04611929,0.04611929,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,4,0.05342637,0.07554335,0.04405473,0.04405473,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,5,0.04998104,0.06964939,0.05277921,0.04405473,0,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,6,0.04703281,0.06606972,0.04145945,0.04145945,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,7,0.04379292,0.06498767,0.03411828,0.03411828,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,8,0.04154176,0.06537584,0.03014015,0.03014015,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,9,0.03988933,0.06561032,0.02975929,0.02975929,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,10,0.03768457,0.06856126,0.02867380,0.02867380,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,11,0.03797083,0.07161285,0.02826640,0.02826640,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,12,0.03653212,0.07322086,0.03025581,0.02826640,0,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,13,0.03544766,0.07658150,0.02704172,0.02704172,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,14,0.03537519,0.07896936,0.02694476,0.02694476,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,15,0.03586582,0.08282848,0.02833049,0.02694476,0,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,16,0.03585757,0.08558198,0.02598985,0.02598985,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,17,0.03661886,0.08871001,0.02670537,0.02598985,0,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,18,0.03658858,0.08975597,0.02516286,0.02516286,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,19,0.03709964,0.09230729,0.02560176,0.02516286,0,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,20,0.03647235,0.09342060,0.02409888,0.02409888,1,Phase1-拓荒,1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,21,0.03626974,0.09503822,0.02480544,0.02409888,0,Phase2-退火(0%),1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,22,0.03592403,0.09690640,0.02417062,0.02409888,0,Phase2-退火(2%),1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,23,0.03586893,0.09797462,0.02507224,0.02409888,0,Phase2-退火(3%),1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,24,0.03523749,0.09973143,0.02414567,0.02409888,0,Phase2-退火(5%),1.000000,5e-05
exp12_rate044_A_patch_cb16-2_chprob1-20260709-020714,25,0.03557547,0.10121899,0.02449028,0.02409888,0,Phase2-退火(7%),1.000000,5e-05
