run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp12_rate044_A_patch_cb16-2-20260608-191100,10,0,16,1.0000000000,16,0,13.7133827209,7.7767481804,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,10,1,2,1.0000000000,2,0,1.9701623917,14.5113382339,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,20,0,16,1.0000000000,16,0,13.8212757111,7.7404980659,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,20,1,2,1.0000000000,2,0,1.9648971558,14.0442895889,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,30,0,16,1.0000000000,16,0,14.4112014771,7.4515914917,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,30,1,2,1.0000000000,2,0,1.9617958069,14.5129747391,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,40,0,16,1.0000000000,16,0,14.1714048386,7.9472932816,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,40,1,2,1.0000000000,2,0,1.9733449221,13.2103910446,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,50,0,16,1.0000000000,16,0,14.1160182953,8.0408096313,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,50,1,2,1.0000000000,2,0,1.9658919573,13.5268945694,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,60,0,16,1.0000000000,16,0,14.1743421555,8.0487318039,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,60,1,2,1.0000000000,2,0,1.9436396360,11.8695602417,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,70,0,16,1.0000000000,16,0,14.0757560730,8.1451435089,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,70,1,2,1.0000000000,2,0,1.9067357779,11.5766286850,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,80,0,16,1.0000000000,16,0,14.0683469772,8.1264533997,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,80,1,2,1.0000000000,2,0,1.7609559298,10.3826856613,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,90,0,16,1.0000000000,16,0,14.0178775787,8.2388410568,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,90,1,2,1.0000000000,2,0,1.7704417706,10.8923454285,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,100,0,16,1.0000000000,16,0,13.9712295532,8.2777786255,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,100,1,2,1.0000000000,2,0,1.7573786974,11.2784872055,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,110,0,16,1.0000000000,16,0,14.0196523666,8.2999525070,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,110,1,2,1.0000000000,2,0,1.7749202251,11.8869266510,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,120,0,16,1.0000000000,16,0,14.0949621201,8.3115568161,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,120,1,2,1.0000000000,2,0,1.7952259779,12.1732940674,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,130,0,16,1.0000000000,16,0,14.0838069916,8.3465080261,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,130,1,2,1.0000000000,2,0,1.7934521437,12.1503257751,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,140,0,16,1.0000000000,16,0,14.0268011093,8.3351573944,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,140,1,2,1.0000000000,2,0,1.7394512892,12.5706605911,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,150,0,16,1.0000000000,16,0,14.1177186966,8.3694295883,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,150,1,2,1.0000000000,2,0,1.7872081995,12.5477666855,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,160,0,16,1.0000000000,16,0,14.1753816605,8.3470287323,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,160,1,2,1.0000000000,2,0,1.7880722284,12.6454257965,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,170,0,16,1.0000000000,16,0,14.0630350113,8.3928384781,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,170,1,2,1.0000000000,2,0,1.8253083229,12.9979476929,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,180,0,16,1.0000000000,16,0,14.2296581268,8.3675851822,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,180,1,2,1.0000000000,2,0,1.8271967173,12.7859525681,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,190,0,16,1.0000000000,16,0,14.1493349075,8.3844308853,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,190,1,2,1.0000000000,2,0,1.7930040359,12.7664442062,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260608-191100,200,0,16,1.0000000000,16,0,14.1156501770,8.3853120804,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260608-191100,200,1,2,1.0000000000,2,0,1.8461873531,12.8553533554,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-112700,10,0,16,1.0000000000,16,0,14.0722503662,7.4434156418,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-112700,10,1,2,1.0000000000,2,0,1.9755134583,10.4628553391,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-112700,20,0,16,1.0000000000,16,0,14.3882045746,8.0037670135,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-112700,20,1,2,1.0000000000,2,0,1.8740782738,11.6698083878,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-112700,30,0,16,1.0000000000,16,0,14.1864547729,8.1088886261,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-112700,30,1,2,1.0000000000,2,0,1.8958346844,12.7360935211,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,40,0,16,1.0000000000,16,0,14.3495912552,8.2387809753,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,40,1,2,1.0000000000,2,0,1.8185263872,11.7189712524,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,50,0,16,1.0000000000,16,0,14.2750787735,8.1373081207,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,50,1,2,1.0000000000,2,0,1.8179693222,11.5698528290,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,60,0,16,1.0000000000,16,0,14.2936496735,8.1357727051,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,60,1,2,1.0000000000,2,0,1.8354810476,10.2008495331,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,70,0,16,1.0000000000,16,0,14.0444135666,8.2691926956,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,70,1,2,1.0000000000,2,0,1.7484674454,8.3610019684,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,80,0,16,1.0000000000,16,0,14.1076955795,8.2007331848,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,80,1,2,1.0000000000,2,0,1.7412248850,5.4553108215,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,90,0,16,1.0000000000,16,0,14.0818309784,8.1614141464,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,90,1,2,1.0000000000,2,0,1.7399033308,7.5214405060,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,100,0,16,1.0000000000,16,0,14.0212574005,8.0194635391,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,100,1,2,1.0000000000,2,0,1.7541846037,8.5191545486,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,110,0,16,1.0000000000,16,0,13.9960145950,8.0608062744,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,110,1,2,1.0000000000,2,0,1.6094220877,9.9981908798,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,120,0,16,1.0000000000,16,0,14.0268497467,8.1176652908,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,120,1,2,1.0000000000,2,0,1.5421949625,10.7988948822,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,130,0,16,1.0000000000,16,0,14.0286531448,8.1362676620,0,0.0000000000,16,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,130,1,2,1.0000000000,2,0,1.4750992060,11.1237554550,0,0.0000000000,2,1
exp12_rate044_A_patch_cb16-2-20260616-161743-resume-gpu1-screen,140,0,16,1.0000000000,16,0,14.1587963104,8.1713991165,0,0.0000000000,16,1
