run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,commitment,residual_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
rq_ema_k4-2_d2-2_rate047-20260720-173341,10,0,0,depth,4,1.0000000000,4,0,3.9752938747,0.0496042123,0.2225575902,0,"[101774,121011,137271,131464]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,10,0,1,depth,4,1.0000000000,4,0,2.0987651348,0.0371773964,0.1926427707,0,"[69408,369690,1246,51176]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,10,0,,aggregate,4,1.0000000000,4,0,3.4557633400,0.0433908043,0.1926427707,0,"[171182,490701,138517,182640]",4.6526069641,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,10,1,0,depth,2,1.0000000000,2,0,1.9941284657,0.0179333377,0.1335873231,0,"[56731,66149]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,10,1,1,depth,2,1.0000000000,2,0,1.7489278316,0.0138683077,0.1174445234,0,"[30350,92530]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,10,1,,aggregate,2,1.0000000000,2,0,1.9157094955,0.0159008227,0.1174445234,0,"[87081,158679]",6.8883008957,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,20,0,0,depth,4,1.0000000000,4,0,3.9650299549,0.0806729462,0.2836423934,0,"[110055,122179,150141,109145]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,20,0,1,depth,4,1.0000000000,4,0,2.7066044807,0.0638582580,0.2522788748,0,"[85565,287972,4009,113974]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,20,0,,aggregate,4,1.0000000000,4,0,3.7176332474,0.0722656021,0.2522788748,0,"[195620,410151,154150,223119]",3.9434304237,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,20,1,0,depth,2,1.0000000000,2,0,1.9870482683,0.0102669104,0.1011461869,0,"[54444,68436]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,20,1,1,depth,2,1.0000000000,2,0,1.5753777027,0.0092128638,0.0958343316,0,"[20782,102098]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,20,1,,aggregate,2,1.0000000000,2,0,1.8513976336,0.0097398871,0.0958343316,0,"[75226,170534]",6.3104548454,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,0,0,depth,4,1.0000000000,4,0,3.9452030659,0.1059801470,0.3247479722,0,"[112665,115664,158460,104731]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,0,1,depth,4,1.0000000000,4,0,2.8594188690,0.0876434380,0.2951616116,0,"[93857,267535,6337,123791]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,0,,aggregate,4,1.0000000000,4,0,3.7946283817,0.0968117925,0.2951616116,0,"[206522,383199,164797,228522]",3.7853624821,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,1,0,depth,2,1.0000000000,2,0,1.9671140909,0.0130352664,0.1140275713,0,"[50283,72597]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,1,1,depth,2,1.0000000000,2,0,1.6206898689,0.0111625749,0.1055177554,0,"[23063,99817]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,30,1,,aggregate,2,1.0000000000,2,0,1.8395878077,0.0120989206,0.1055177554,0,"[73346,172414]",5.8138489723,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,0,0,depth,4,1.0000000000,4,0,3.9346587658,0.0798619341,0.2819606796,0,"[107182,122998,159832,101508]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,0,1,depth,4,1.0000000000,4,0,2.8406724930,0.0668866774,0.2579271950,0,"[90617,262642,4542,133719]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,0,,aggregate,4,1.0000000000,4,0,3.7846989632,0.0733743058,0.2579271950,0,"[197799,385640,164374,235227]",3.7484607697,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,1,0,depth,2,1.0000000000,2,0,1.9118170738,0.0091136074,0.0954093233,0,"[43129,79751]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,1,1,depth,2,1.0000000000,2,0,1.5140805244,0.0074807741,0.0864418048,0,"[17878,105002]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,40,1,,aggregate,2,1.0000000000,2,0,1.7513575554,0.0082971907,0.0864418048,0,"[61007,184753]",5.2976579666,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,0,0,depth,4,1.0000000000,4,0,3.8759293556,0.1075010542,0.3272233486,0,"[99158,114542,177282,100538]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,0,1,depth,4,1.0000000000,4,0,2.8202598095,0.0921543926,0.3028739467,0,"[78021,266214,6064,141221]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,0,,aggregate,4,1.0000000000,4,0,3.7976205349,0.0998277234,0.3028739467,0,"[177179,380756,183346,241759]",3.6313290596,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,1,0,depth,2,1.0000000000,2,0,1.9478271008,0.0074154266,0.0860579245,0,"[47376,75504]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,1,1,depth,2,1.0000000000,2,0,1.4894497395,0.0062689442,0.0791423127,0,"[16763,106117]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,50,1,,aggregate,2,1.0000000000,2,0,1.7754994631,0.0068421854,0.0791423127,0,"[64139,181621]",5.1155357361,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,0,0,depth,4,1.0000000000,4,0,3.8245275021,0.1041521899,0.3221970558,0,"[90191,112971,187707,100651]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,0,1,depth,4,1.0000000000,4,0,2.7421941757,0.0918141335,0.3024597451,0,"[54365,255871,6576,174708]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,0,,aggregate,4,1.0000000000,4,0,3.7681784630,0.0979831617,0.3024597451,0,"[144556,368842,194283,275359]",3.5055768490,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,1,0,depth,2,1.0000000000,2,0,1.9285180569,0.0056251650,0.0749567404,0,"[44965,77915]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,1,1,depth,2,1.0000000000,2,0,1.5229399204,0.0046585079,0.0682291541,0,"[18286,104594]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,60,1,,aggregate,2,1.0000000000,2,0,1.7687745094,0.0051418364,0.0682291541,0,"[63251,182509]",4.5879292488,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,0,0,depth,4,1.0000000000,4,0,3.7125449181,0.1579237435,0.3966239855,0,"[88231,95457,209673,98159]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,0,1,depth,4,1.0000000000,4,0,2.4908614159,0.1460864365,0.3814070955,0,"[13858,231420,14309,231933]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,0,,aggregate,4,1.0000000000,4,0,3.6868195534,0.1520050900,0.3814070955,0,"[102089,326877,223982,330092]",3.6219663620,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,1,0,depth,2,1.0000000000,2,0,1.7022541761,0.0042351917,0.0650389962,0,"[27528,95352]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,1,1,depth,2,1.0000000000,2,0,1.3059570789,0.0037536793,0.0612497710,0,"[9243,113637]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,70,1,,aggregate,2,1.0000000000,2,0,1.5250880718,0.0039944355,0.0612497710,0,"[36771,208989]",4.4219627380,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,0,0,depth,4,1.0000000000,4,0,3.6014688015,0.0767105367,0.2766396776,0,"[86082,83294,226574,95570]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,0,1,depth,4,1.0000000000,4,0,2.6619307995,0.0625761114,0.2498269826,0,"[44170,194097,5504,247749]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,0,,aggregate,4,1.0000000000,4,0,3.7924873829,0.0696433241,0.2498269826,0,"[130252,277391,232078,343319]",3.6235702038,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,1,0,depth,2,1.0000000000,2,0,1.5484837294,0.0026418494,0.0513229815,0,"[19484,103396]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,1,1,depth,2,1.0000000000,2,0,1.1758562326,0.0023204460,0.0481013753,0,"[4687,118193]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,80,1,,aggregate,2,1.0000000000,2,0,1.3791217804,0.0024811477,0.0481013753,0,"[24171,221589]",3.9113044739,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,0,0,depth,4,1.0000000000,4,0,3.3110339642,0.0977501184,0.3124176949,0,"[85594,67579,263791,74556]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,0,1,depth,4,1.0000000000,4,0,2.4098064899,0.0849225819,0.2912012681,0,"[12431,226361,10277,242451]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,0,,aggregate,4,1.0000000000,4,0,3.7133374214,0.0913363501,0.2912012681,0,"[98025,293940,274068,317007]",3.6301107407,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,1,0,depth,2,1.0000000000,2,0,1.6813133955,0.0030983031,0.0555763254,0,"[26331,96549]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,1,1,depth,2,1.0000000000,2,0,1.2853478193,0.0027315133,0.0521920731,0,"[8478,114402]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,90,1,,aggregate,2,1.0000000000,2,0,1.5036960840,0.0029149082,0.0521920731,0,"[34809,210951]",4.1210432053,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,0,0,depth,4,1.0000000000,4,0,3.4620358944,0.0657705339,0.2562480785,0,"[105166,65340,241565,79449]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,0,1,depth,4,1.0000000000,4,0,2.2788696289,0.0537964538,0.2317579776,0,"[6860,216115,7900,260645]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,0,,aggregate,4,1.0000000000,4,0,3.7464394569,0.0597834938,0.2317579776,0,"[112026,281455,249465,340094]",3.5260629654,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,1,0,depth,2,1.0000000000,2,0,1.7523120642,0.0032177489,0.0566653397,0,"[30564,92316]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,1,1,depth,2,1.0000000000,2,0,1.4124745131,0.0026936935,0.0518605012,0,"[13448,109432]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,1,,aggregate,2,1.0000000000,2,0,1.6000000238,0.0029557212,0.0518605012,0,"[44012,201748]",3.6605420113,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,110,0,0,depth,4,1.0000000000,4,0,3.4243457317,0.0635192128,0.2518256687,0,"[108034,61700,244856,76930]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,110,0,1,depth,4,1.0000000000,4,0,2.2110457420,0.0524393536,0.2288142614,0,"[5325,211137,5722,269336]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,110,0,,aggregate,4,1.0000000000,4,0,3.7464201450,0.0579792832,0.2288142614,0,"[113359,272837,250578,346266]",3.5112476349,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,110,1,0,depth,2,1.0000000000,2,0,1.7666572332,0.0032562993,0.0570093490,0,"[31487,91393]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,110,1,1,depth,2,1.0000000000,2,0,1.4631628990,0.0028086692,0.0529648243,0,"[15603,107277]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,110,1,,aggregate,2,1.0000000000,2,0,1.6299488544,0.0030324843,0.0529648243,0,"[47090,198670]",3.6278815269,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,120,0,0,depth,4,1.0000000000,4,0,3.4099750519,0.0577983895,0.2402449600,0,"[111878,59358,244956,75328]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,120,0,1,depth,4,1.0000000000,4,0,2.1692326069,0.0477526808,0.2183753714,0,"[4763,206227,4267,276263]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,120,0,,aggregate,4,1.0000000000,4,0,3.7514140606,0.0527755352,0.2183753714,0,"[116641,265585,249223,351591]",3.4986784458,0,0.0000000000,4,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,120,1,0,depth,2,1.0000000000,2,0,1.7718079090,0.0038964231,0.0623165632,0,"[31825,91055]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,120,1,1,depth,2,1.0000000000,2,0,1.5094666481,0.0031905307,0.0564187001,0,"[17667,105213]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,120,1,,aggregate,2,1.0000000000,2,0,1.6525413990,0.0035434769,0.0564187001,0,"[49492,196268]",3.6211426258,0,0.0000000000,2,1
rq_ema_k4-2_d2-2_rate047-20260720-173341,130,0,0,depth,4,1.0000000000,4,0,3.4555459023,0.0598690219,0.2445175141,0,"[118621,57948,236514,78437]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,130,0,1,depth,4,1.0000000000,4,0,2.1412179470,0.0494997159,0.2223395601,0,"[3929,201064,3963,282564]",,,,,
rq_ema_k4-2_d2-2_rate047-20260720-173341,130,0,,aggregate,4,1.0000000000,4,0,3.7558312416,0.0546843689,0.2223395601,0,"[122550,259012,240477,361001]",3.4418087006,0,0.0000000000,4,1
