run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate
rq_ema_k4-2_d2-2_rate047-20260720-170704,1,0.66797520,0.02459497,0.69257017,0.06499315,0.01985663,17.92439161,0.77643244,0.06499315,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,1,0.61605851,0.03151432,0.64757283,0.10857400,0.01576055,15.67150652,0.72472533,0.10857400,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,2,0.07806709,0.01376473,0.09183182,0.05260147,0.01146089,18.89680439,0.79164727,0.05260147,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,3,0.06668864,0.01170965,0.07839829,0.04494789,0.01149782,19.52447921,0.80943217,0.04494789,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,4,0.05844768,0.01199198,0.07043966,0.05080990,0.01270640,19.10305838,0.81724802,0.04494789,0,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,5,0.05685137,0.01556810,0.07241946,0.04192122,0.01797252,19.81637637,0.82561851,0.04192122,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,6,0.05281597,0.01612167,0.06893764,0.03831655,0.01717102,20.23188819,0.83579562,0.03831655,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,7,0.04950001,0.01574553,0.06524554,0.03810971,0.01525607,20.23920863,0.83957279,0.03810971,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,8,0.04723679,0.01607713,0.06331392,0.03465320,0.01655263,20.64721973,0.84579714,0.03465320,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,9,0.04521058,0.01639523,0.06160581,0.03416352,0.01557803,20.70384889,0.84828682,0.03416352,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05
