run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate,train_rq_codebook_loss_per_scale,train_rq_commitment_loss_per_scale,train_rq_codebook_per_depth,train_rq_commitment_per_depth,train_rq_residual_norm_per_depth,train_rq_usage_per_depth,train_rq_perplexity_per_depth,train_rq_aggregate_usage_per_scale,train_rq_aggregate_perplexity_per_scale,train_rq_projection_grad_norm_per_scale,val_rq_codebook_loss_per_scale,val_rq_commitment_loss_per_scale,val_rq_codebook_per_depth,val_rq_commitment_per_depth,val_rq_residual_norm_per_depth,val_rq_usage_per_depth,val_rq_perplexity_per_depth,val_rq_aggregate_usage_per_scale,val_rq_aggregate_perplexity_per_scale,val_rq_projection_grad_norm_per_scale
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,1,0.57008520,0.09995541,0.67004062,0.07808337,0.06494646,17.14753646,0.76269467,0.07808337,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.26190162248633525,0.028977850840978876]","[0.2619016223207668,0.028977850775441363]","[[0.2970438471270932,0.22675939756962987],[0.03146290717025598,0.026492794245240037]]","[[0.2970438471270932,0.22675939759722463],[0.03146290717025598,0.026492794196949238]]","[[0.5338163576192326,0.4613134088891524],[0.15480565958552892,0.136872612271044]]","[[1.0,1.0],[1.0,1.0]]","[[3.4430245889557733,3.763876810338762],[1.9324630238391736,1.942992572210453]]","[1.0,1.0]","[7.191985810244525,3.8711508437439246]","[0.0026307903360618555,0.0010709099564270152]","[0.18060204342559533,0.01361331180151966]","[0.18060204331521634,0.013613311780823601]","[[0.2144226317052488,0.14678145426291006],[0.017767369567796037,0.009459253935212339]]","[[0.2144226317052488,0.14678145431809955],[0.017767369567796037,0.009459253907617595]]","[[0.46244684788915846,0.38238735839172644],[0.13323269585768382,0.09717997124901524]]","[[1.0,1.0],[1.0,1.0]]","[[3.4673371491608798,3.916431223904645],[1.985604504302696,1.898141955446314]]","[1.0,1.0]","[7.368504676112423,3.88250486585829]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,2,0.06290928,0.05316446,0.11607373,0.04989908,0.05405043,19.23473366,0.82165791,0.04989908,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.14577206329063133,0.01217709715495369]","[0.14577206334582082,0.012177097149779674]","[[0.18144535276072996,0.11009877286851406],[0.016420566507063254,0.00793362771919756]]","[[0.18144535276072996,0.11009877292370354],[0.016420566507063254,0.007933627698501504]]","[[0.4252118973820298,0.33080135352081724],[0.12719906299478478,0.08841395496770188]]","[[1.0,1.0],[1.0,1.0]]","[[3.5909466337274623,3.893788347420869],[1.9898138013150957,1.9887028853098552]]","[1.0,1.0]","[7.476909348699782,3.9784558530207033]","[0.0006808869919580131,0.0002887168765381729]","[0.14409994002845553,0.014430715916333376]","[0.14409994024921347,0.014430715902536004]","[[0.18630363080236648,0.1018962484267023],[0.020081277081259976,0.008780154651375832]]","[[0.18630363080236648,0.10189624870264971],[0.020081277081259976,0.008780154634129117]]","[[0.4313607454299927,0.3188996317210021],[0.1416199228277913,0.09360223280058967]]","[[1.0,1.0],[1.0,1.0]]","[[3.5494991426114684,3.950522034256547],[1.9925757814336706,1.994704705697519]]","[1.0,1.0]","[7.488568952348497,3.987266927295261]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,3,0.05854415,0.05239415,0.11093831,0.04283649,0.05510255,19.81772488,0.83226760,0.04283649,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.14197163358330728,0.01284482992530145]","[0.141971633721281,0.012844829939098822]","[[0.18477343994158285,0.09916982616953275],[0.017849871426544806,0.007839788316266128]]","[[0.18477343994158285,0.0991698261971275],[0.017849871426544806,0.007839788331788172]]","[[0.42918494443098704,0.3141273088477276],[0.13231217939820555,0.08712719098009446]]","[[1.0,1.0],[1.0,1.0]]","[[3.64356705877516,3.8973593058409515],[1.9880114398620747,1.9843622026620087]]","[1.0,1.0]","[7.535536162941544,3.972237867779202]","[0.0006440133262744725,0.0003841861224592086]","[0.15136734412776098,0.01248040773940307]","[0.1513673436862451,0.01248040773940307]","[[0.19776153994931114,0.10497314670571574],[0.017344915466728034,0.007615899908597823]]","[[0.19776153994931114,0.1049731460986314],[0.017344915466728034,0.007615899905148479]]","[[0.44440220219117627,0.323636880185869],[0.13159831370468492,0.0871464506343559]]","[[1.0,1.0],[1.0,1.0]]","[[3.671156568880434,3.9396422721721507],[1.9939456515842013,1.9963228155065467]]","[1.0,1.0]","[7.6052996776722095,3.990259797484786]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,4,0.04925363,0.05449804,0.10375168,0.03882088,0.06002012,20.14988844,0.83903640,0.03882088,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.14769158730352366,0.013351076029034124]","[0.1476915874828895,0.013351076048005511]","[[0.19299301883136785,0.10239015467188976],[0.019013443392597966,0.007688708574925032]]","[[0.19299301883136785,0.10239015486505297],[0.019013443392597966,0.00768870861545481]]","[[0.43868396320828684,0.31925285000492026],[0.13749996645858995,0.08733431644461773]]","[[1.0,1.0],[1.0,1.0]]","[[3.693950667646196,3.9122163304576167],[1.9922946598794726,1.9935707021642615]]","[1.0,1.0]","[7.602210255022402,3.9858386322304056]","[0.0005324922250616106,0.00029871899877670566]","[0.16547367804580265,0.013295359288652739]","[0.16547367804580265,0.013295359295551423]","[[0.21259819787961465,0.11834915766009578],[0.019301479834097402,0.007289238543146186]]","[[0.21259819787961465,0.11834915743933784],[0.019301479834097402,0.007289238563842244]]","[[0.46056526833110384,0.34335806568463645],[0.13885674995404704,0.08532213656990617]]","[[1.0,1.0],[1.0,1.0]]","[[3.7654485137374314,3.943894377461186],[1.9947737923374882,1.997245227849042]]","[1.0,1.0]","[7.706802424678096,3.992011543556496]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,5,0.04538683,0.05570645,0.10109329,0.05075093,0.06681911,19.40243703,0.84397138,0.03882088,0,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.15018905754442569,0.014035798769651189]","[0.15018905744784408,0.014035798776549873]","[[0.1961442836732776,0.10423382963571283],[0.020301299074802687,0.007770298329112983]]","[[0.1961442836732776,0.10423382969090232],[0.020301299074802687,0.007770298323076632]]","[[0.4421060291153413,0.32198784356867827],[0.1421401387701432,0.08783683415364336]]","[[1.0,1.0],[1.0,1.0]]","[[3.759806516435411,3.9190897756152685],[1.992894383713051,1.9952461311110743]]","[1.0,1.0]","[7.676669957902696,3.988124304347568]","[0.0005196319066777101,0.0002824569176246533]","[0.1861306910161619,0.013845226078949592]","[0.1861306910161619,0.013845226092746965]","[[0.24067053827974533,0.1315908430903046],[0.0200224406051415,0.007668011452726744]]","[[0.24067053827974533,0.13159084292473616],[0.0200224406051415,0.007668011435480029]]","[[0.4902768622945856,0.3623923654909487],[0.14141220913992988,0.08750068611568874]]","[[1.0,1.0],[1.0,1.0]]","[[3.7360158178541396,3.92044481171502],[1.9925290928946602,1.9915388566476326]]","[1.0,1.0]","[7.653841986479582,3.984047562987716]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,6,0.04389773,0.05485684,0.09875457,0.03637484,0.05427155,20.56510480,0.85400677,0.03637484,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.14686468086308904,0.01433860241021547]","[0.14686468090448115,0.014338602415389486]","[[0.19232061996504113,0.10140874027102081],[0.02079036150265623,0.007886843253961868]]","[[0.19232061996504113,0.10140874021583134],[0.02079036150265623,0.007886843249650189]]","[[0.4379047026236852,0.31773201723893485],[0.1436644721776247,0.08830253336992529]]","[[1.0,1.0],[1.0,1.0]]","[[3.7994339413113063,3.8029047497996578],[1.9909589648246766,1.994180346639068]]","[1.0,1.0]","[7.601735846201579,3.985096922185686]","[0.0004982766513152186,0.0002853874741790437]","[0.14960300260119969,0.012032978236675262]","[0.14960300293233658,0.012032978222877891]","[[0.19463551784003222,0.10457048703123022],[0.01749683408135617,0.006569122240223267]]","[[0.19463551784003222,0.10457048741755662],[0.01749683408135617,0.0065691222126285235]]","[[0.4409026064254619,0.32305248070646214],[0.13218058827850554,0.08098014438593829]]","[[1.0,1.0],[1.0,1.0]]","[[3.85260924409937,3.8014931449183713],[1.9949095884958903,1.997809433054041]]","[1.0,1.0]","[7.653591480961552,3.9927129568877042]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,7,0.04117952,0.05431500,0.09549452,0.03204926,0.05189117,21.06432401,0.86793311,0.03204926,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.14524359024233288,0.014282206854679519]","[0.14524359015954866,0.01428220683225879]","[[0.18946282005420437,0.10102435852642412],[0.020765976797513387,0.007798436723856462]]","[[0.18946282005420437,0.10102435866439784],[0.020765976797513387,0.007798436710059091]]","[[0.4346579822677153,0.3172045961022377],[0.143280160965191,0.08719777590422718]]","[[1.0,1.0],[1.0,1.0]]","[[3.879988940556844,3.7556556238068475],[1.99236911005444,1.9933865794429073]]","[1.0,1.0]","[7.6342051267623905,3.9857261688620955]","[0.000469892494260825,0.0002886173751903698]","[0.1424268607188154,0.011812442299668435]","[0.1424268607188154,0.01181244232726318]","[[0.18471543347394026,0.10013828719103778],[0.01754476718466591,0.006080117252551847]]","[[0.18471543347394026,0.10013828735660624],[0.01754476718466591,0.006080117283595933]]","[[0.42946135180967826,0.3160777595308092],[0.13239706699494963,0.0779409095093056]]","[[1.0,1.0],[1.0,1.0]]","[[3.9340547702930593,3.752099291483561],[1.9931714764347783,1.9939245126865528]]","[1.0,1.0]","[7.683746945416486,3.9870845123573586]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,8,0.03878991,0.05172420,0.09051411,0.03172989,0.05493096,21.04590545,0.86880905,0.03172989,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.1378664827871102,0.013825471450885137]","[0.1378664827871102,0.013825471456059151]","[[0.17854195122641545,0.09719101303705463],[0.0201784898440733,0.0074724529223102664]]","[[0.17854195122641545,0.09719101299566252],[0.0201784898440733,0.00747245292144793]]","[[0.42184059625422515,0.3110810527095088],[0.14171658289377337,0.08611032154273104]]","[[1.0,1.0],[1.0,1.0]]","[[3.924240450064341,3.664330534140269],[1.9934426700627361,1.9948346018791199]]","[1.0,1.0]","[7.583410560643231,3.9882618409615977]","[0.0004303835799671813,0.00025102507081976877]","[0.140642531381713,0.017568264667082716]","[0.140642531381713,0.01756826468088009]","[[0.18332605924871231,0.0979590023557345],[0.025208801527818046,0.009927727751157902]]","[[0.18332605924871231,0.0979590023557345],[0.025208801527818046,0.009927727785651331]]","[[0.4276912561169377,0.3125414234620553],[0.15866158030651234,0.09950486482293518]]","[[1.0,1.0],[1.0,1.0]]","[[3.925148022616351,3.5498642162040426],[1.9934151322753342,1.9966203698405514]]","[1.0,1.0]","[7.465003900174741,3.9900264157189262]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,9,0.03695050,0.05024045,0.08719094,0.02990237,0.05822660,21.30660620,0.87545261,0.02990237,1,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.13483893116591153,0.012965248721755213]","[0.13483893126249313,0.012965248720030543]","[[0.17481795140990505,0.09485990934901767],[0.018912742105830046,0.00701775515831455]]","[[0.17481795140990505,0.09485990951458613],[0.018912742105830046,0.007017755164350901]]","[[0.4172370656221001,0.30721074182678154],[0.1372290954683666,0.08349813046278777]]","[[1.0,1.0],[1.0,1.0]]","[[3.851005307391838,3.4946718573570252],[1.993759548664093,1.9963101967617318]]","[1.0,1.0]","[7.336001554241887,3.990058288750825]","[0.00039782928813818013,0.0002318550367110422]","[0.16134013715717527,0.012492485627256057]","[0.16134013715717527,0.012492485620357372]","[[0.20574016924257632,0.11694010330571068],[0.018270929226720776,0.006714041803584055]]","[[0.20574016924257632,0.11694010347127914],[0.018270929226720776,0.006714041807033397]]","[[0.4529100806624801,0.3413445137165211],[0.13510515093803405,0.08188140320557136]]","[[1.0,1.0],[1.0,1.0]]","[[3.843069080070213,3.542563396030002],[1.995460616217719,1.9963686642823395]]","[1.0,1.0]","[7.378775815610532,3.9918236273306387]","[null,null]"
stagewise_residual_simvq_k4x4-2x2_rate047-20260802-224823,10,0.03802526,0.05143374,0.08945900,0.03230372,0.04996648,20.99926913,0.86891351,0.02990237,0,Phase1-拓荒,0.000000,0.00000000,,4608,0.0703125000,0.0468750000,5e-05,"[0.1383862611044336,0.013100856682285666]","[0.13838626113202837,0.013100856678836323]","[[0.17853032227743554,0.09824219856549192],[0.01904262677007527,0.007159086423753588]]","[[0.17853032227743554,0.09824219882764199],[0.01904262677007527,0.007159086416854902]]","[[0.42149081191530935,0.3125205568693302],[0.13762069703252228,0.08424600306208486]]","[[1.0,1.0],[1.0,1.0]]","[[3.8390220752468815,3.4811893471965085],[1.9930872786928107,1.9955461268071775]]","[1.0,1.0]","[7.31030827804848,3.9886200026229575]","[0.0004305985920870659,0.0002619119068522532]","[0.13724540455473794,0.011323668048889549]","[0.13724540460992743,0.01132366806268692]","[[0.177186699046029,0.0973041089044677],[0.016607753835894443,0.006039582175651082]]","[[0.177186699046029,0.09730410857333077],[0.016607753835894443,0.006039582175651082]]","[[0.42012042910964403,0.31108186907238433],[0.1288095744671645,0.07765455566070698]]","[[1.0,1.0],[1.0,1.0]]","[[3.8393826555322716,3.477450067025644],[1.9945881349069101,1.9975534403765642]]","[1.0,1.0]","[7.3069816518712924,3.9921345781396935]","[null,null]"
