run_id,epoch,layer,depth,scope,codebook_size,active_ratio,active_count,dead_count,perplexity,codebook_loss,commitment,residual_norm,projection_grad_norm,restarted_codes,usage_counts,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,0,0,depth,16,1.0000000000,16,0,14.3900575638,0.1146001231,0.1146001231,0.3383336499,,0,"[15771,18005,40035,13503,12566,39621,40079,36819,39069,54648,12839,24585,44356,22554,53042,24028]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,0,1,depth,16,1.0000000000,16,0,6.5433306694,0.0648220625,0.0648220628,0.2544454396,,0,"[37493,82338,14,48207,2120,99185,119,155064,14,3776,12368,2835,4751,2960,120,40156]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,0,,aggregate,16,1.0000000000,16,0,12.8593750000,0.0897110928,0.0897110930,0.2544454396,0.0002038211,0,"[53264,100343,40049,61710,14686,138806,40198,191883,39083,58424,25207,27420,49107,25514,53162,64184]",3.5169765949,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,1,0,depth,4,1.0000000000,4,0,3.9695255756,0.0119716123,0.0119716123,0.1091573574,,0,"[28856,36550,26168,31306]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,1,1,depth,4,1.0000000000,4,0,2.3993823528,0.0044856533,0.0044856533,0.0669173146,,0,"[5552,802,64368,52158]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,1,,aggregate,4,1.0000000000,4,0,3.6555347443,0.0082286328,0.0082286328,0.0669173146,0.0002373598,0,"[34408,37352,90536,83464]",3.4092850685,0,0.0000000000,4,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,20,0,0,depth,16,1.0000000000,16,0,13.8949174881,0.1034548886,0.1034548886,0.3214370281,,0,"[7599,21279,43161,8574,17852,36200,42019,34772,38070,54871,15523,20447,47817,16541,62100,24695]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,20,0,1,depth,16,1.0000000000,16,0,5.8769354820,0.0649482496,0.0649482496,0.2546584398,,0,"[31824,78158,4,29904,1250,127286,117,160200,10,4558,6828,1827,4767,1050,93,43644]",,,,,
residual_simvq_k16-4_d2-2_rate094-20260726-215551,20,0,,aggregate,16,1.0000000000,16,0,12.3250427246,0.0842015691,0.0842015691,0.2546584398,0.0001875401,0,"[39423,99437,43165,38478,19102,163486,42136,194972,38080,59429,22351,22274,52584,17591,62193,68339]",3.8160352707,0,0.0000000000,16,1
residual_simvq_k16-4_d2-2_rate094-20260726-215551,20,1,0,depth,4,1.0000000000,4,0,3.9867634773,0.0073153783,0.0073153783,0.0855158269,,0,"[29477,35002,28438,29963]",,,,,
