run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate,train_rq_codebook_loss_per_scale,train_rq_commitment_loss_per_scale,train_rq_codebook_per_depth,train_rq_commitment_per_depth,train_rq_residual_norm_per_depth,train_rq_usage_per_depth,train_rq_perplexity_per_depth,train_rq_aggregate_usage_per_scale,train_rq_aggregate_perplexity_per_scale,train_rq_projection_grad_norm_per_scale,val_rq_codebook_loss_per_scale,val_rq_commitment_loss_per_scale,val_rq_codebook_per_depth,val_rq_commitment_per_depth,val_rq_residual_norm_per_depth,val_rq_usage_per_depth,val_rq_perplexity_per_depth,val_rq_aggregate_usage_per_scale,val_rq_aggregate_perplexity_per_scale,val_rq_projection_grad_norm_per_scale
residual_simvq_k16-4_d2-2_rate094-20260726-215551,1,0.57654013,0.07059541,0.64713554,0.05999646,0.02393365,18.47882129,0.80328185,0.05999646,1,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.17830385524365638,0.023800733112902553]","[0.17830385536783272,0.023800733062887082]","[[0.20407356422532488,0.15253414592395226],[0.025763898261788265,0.02183756774843291]]","[[0.20407356422532488,0.15253414592395226],[0.025763898261788265,0.021837567625118903]]","[[0.4379262531797091,0.37219057439102066],[0.132103502612423,0.1190074103573958]]","[[0.9913194444444444,1.0],[0.999537037037037,0.999537037037037]]","[[6.390432507903488,11.029107249224628],[3.663103774521086,2.621357684665256]]","[1.0,1.0]","[9.503125010154866,3.533269519496847]","[0.0029564936791926072,0.0011495216859017362]","[0.06552886496539469,0.005529408032695453]","[0.06552886488261046,0.0055294080188980806]","[[0.08392094003933448,0.04713678997423914],[0.00690560907608381,0.004153206930668266]]","[[0.08392094003933448,0.04713678975348119],[0.00690560907608381,0.004153206930668266]]","[[0.2894695931010776,0.21683913204405042],[0.08303724080324174,0.06440568701536567]]","[[1.0,1.0],[1.0,1.0]]","[[8.667832243884051,13.244044982062446],[3.752037740636755,2.158848575309471]]","[1.0,1.0]","[12.916302045186361,3.3356387986077203]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,2,0.05886666,0.02707134,0.08593799,0.10825300,0.03327898,15.69441240,0.76503903,0.05999646,0,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.07512119332397425,0.005753541202284396]","[0.07512119334467031,0.00575354120142206]","[[0.09574326926635371,0.05449911652615777],[0.007506400944354633,0.004000681418390876]]","[[0.09574326926635371,0.054499116608941994],[0.007506400944354633,0.004000681421840219]]","[[0.30817847958317507,0.2322370041851644],[0.08607969648308224,0.0630923955735785]]","[[1.0,0.9998842592592593],[0.9990740740740741,0.975462962962963]]","[[10.454970700652511,12.174018363599425],[3.752786964840359,2.1100382698906794]]","[1.0,0.9990740740740741]","[14.047836909470735,3.3145475811428495]","[0.000647801368204118,0.00021403840108649564]","[0.09024993495808707,0.008121400374781202]","[0.09024993517884501,0.008121400367882517]","[[0.12649660761709566,0.05400326122288351],[0.01181298833064459,0.004429812436164529]]","[[0.12649660761709566,0.05400326141604671],[0.01181298833064459,0.004429812432715187]]","[[0.3555950125058492,0.23231620347058332],[0.10861331759779541,0.0665414364249618]]","[[1.0,0.9949074074074075],[1.0,0.7592592592592593]]","[[10.754429661786114,10.990168437251338],[3.129481327975238,2.1331053451255517]]","[1.0,1.0]","[12.823654224254467,2.917988974959762]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,3,0.04532070,0.02382541,0.06914611,0.03292170,0.02295548,20.89006925,0.86502199,0.03292170,1,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.0660066616617971,0.005117331384853633]","[0.06600666167559448,0.005117331384853633]","[[0.08566784438573652,0.04634547835836808],[0.0069585903297626865,0.003276072389066771]]","[[0.08566784438573652,0.04634547835836808],[0.0069585903297626865,0.003276072389066771]]","[[0.29182650869091353,0.2146278397904502],[0.08323919890379464,0.05712062862736207]]","[[1.0,0.9988425925925926],[1.0,0.9981481481481481]]","[[11.932675979755542,9.28298835489485],[3.822937840885586,2.0806651049190097]]","[1.0,1.0]","[13.52654791937934,3.3781518900835956]","[0.0004142574220841871,0.00014610655901681942]","[0.06521266627090949,0.004122434280536793]","[0.06521266627090949,0.00412243428916015]","[[0.08560943658705111,0.04481589498895186],[0.005765242374467629,0.002479626155561871]]","[[0.08560943658705111,0.044815894961357114],[0.005765242374467629,0.002479626171083914]]","[[0.29240076497749046,0.21154423389169905],[0.07591089242034488,0.04978831242080088]]","[[1.0,0.9888888888888889],[1.0,1.0]]","[[12.767615939952709,8.63749653145119],[3.844428805951719,2.054918016327752]]","[1.0,1.0]","[13.550759852374041,3.352561521530151]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,4,0.03764759,0.02316169,0.06080928,0.02996436,0.02542212,21.52189883,0.87747580,0.02996436,1,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.06459543271749107,0.00476098777855643]","[0.0645954327105924,0.004760987779418765]","[[0.08549629151821136,0.043694573558039136],[0.006837691740926217,0.0026842837795373743]]","[[0.08549629151821136,0.043694573509748334],[0.006837691740926217,0.002684283783417885]]","[[0.2919062520066897,0.20866434932858854],[0.08235901228531643,0.051717586118589946]]","[[1.0,0.9927083333333333],[1.0,0.9990740740740741]]","[[12.767301566512497,8.112365131907993],[3.8589719816490455,2.113177811216425]]","[1.0,1.0]","[13.31164772775438,3.401171291757513]","[0.0003094718206234069,0.0001537124909696609]","[0.071468661090842,0.004941062567134698]","[0.07146866114603148,0.004941062563685356]","[[0.09550556198314385,0.047431759039560956],[0.0068591072982936,0.00302301782735244]]","[[0.09550556198314385,0.04743175920512941],[0.0068591072982936,0.0030230178170044114]]","[[0.3088431665190944,0.21763895518249934],[0.08280128913897056,0.05497594103217125]]","[[1.0,0.9884259259259259],[1.0,1.0]]","[[13.071079755712438,8.092699386455395],[3.8867768817477755,2.0214736611754804]]","[1.0,1.0]","[13.577543180960197,3.333417488027502]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,5,0.03472198,0.02311728,0.05783926,0.02903172,0.02444884,21.71537937,0.88262753,0.02903172,1,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.06410795346040417,0.004933666950954056]","[0.06410795350869497,0.004933666953541063]","[[0.08562545326572878,0.04259045288932544],[0.007099712512421387,0.00276762137008417]]","[[0.08562545326572878,0.04259045299970442],[0.007099712512421387,0.002767621369221834]]","[[0.29221437948721424,0.2060935520739467],[0.08413811766163067,0.05256653360470578]]","[[1.0,0.9733796296296297],[1.0,1.0]]","[[13.23233887884352,7.294369807066741],[3.873628509927679,2.099020497887223]]","[1.0,1.0]","[13.057750926194368,3.4008050560951233]","[0.0002711689133893405,0.00015027684096114374]","[0.06915587653164511,0.004540209668791957]","[0.06915587664202408,0.004540209665342613]","[[0.09223426773592278,0.046077485216988456],[0.006514922477718857,0.0025654968477923563]]","[[0.09223426773592278,0.0460774852445832],[0.006514922477718857,0.0025654968477923563]]","[[0.3034682028823429,0.21446361387217486],[0.08070017596085867,0.05064744899670283]]","[[1.0,0.9541666666666667],[1.0,1.0]]","[[13.518822514569317,7.077608500586615],[3.8567013369666205,2.0481038067075943]]","[1.0,1.0]","[13.059611920957211,3.3541188416657626]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,6,0.03367479,0.02289748,0.05657227,0.02499145,0.02165830,22.08272161,0.89033331,0.02499145,1,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.06370177403506305,0.004785087030311977]","[0.0637017740074683,0.004785087029449642]","[[0.0849604034865344,0.042443144024798166],[0.00694362957858377,0.0026265444643623023]]","[[0.0849604034865344,0.042443144024798166],[0.00694362957858377,0.0026265444634999665]]","[[0.2910195638184194,0.20570007512966793],[0.08309846041655099,0.05119315538279436]]","[[1.0,0.9398148148148148],[1.0,1.0]]","[[13.540061491507071,6.579175113748621],[3.8801397910824527,2.1082609518810553]]","[1.0,1.0]","[12.702724497406571,3.406824249691433]","[0.00025527835489440434,0.00016672967669566989]","[0.06062765560216374,0.00433945278464644]","[0.06062765546419002,0.004339452777747755]","[[0.08065803906431905,0.040597271891655747],[0.006248253252771166,0.002430652319971058]]","[[0.08065803906431905,0.04059727183646626],[0.006248253252771166,0.0024306523216957297]]","[[0.28380479481485155,0.20133426354991066],[0.07903091007912601,0.049297827785765684]]","[[1.0,0.9208333333333333],[1.0,1.0]]","[[13.606649822658962,6.254147819236473],[3.880348147286309,2.056554443747909]]","[1.0,1.0]","[12.457377532676414,3.3311289575364853]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,7,0.03094781,0.02269016,0.05363797,0.02427891,0.02414520,22.35855003,0.89838968,0.02427891,1,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.0631828635931015,0.004712828128874578]","[0.06318286353101334,0.0047128281297369136]","[[0.08408452661501037,0.04228119990891881],[0.0067871949178408145,0.0026384613041214094]]","[[0.08408452661501037,0.04228119980543852],[0.0067871949178408145,0.002638461305414913]]","[[0.2895950059923861,0.2053491166068448],[0.08220832534134388,0.051286829318161364]]","[[1.0,0.9157407407407407],[1.0,1.0]]","[[13.673628791173298,6.30635726098661],[3.9011748574398184,2.118003530414016]]","[1.0,1.0]","[12.556944440912318,3.4188176773212575]","[0.00022826992345572863,0.00017823745808898282]","[0.06847272956812823,0.004395962930801842]","[0.06847272962331771,0.004395962937700527]","[[0.09167576150761711,0.04526969702155502],[0.006197852551661156,0.0025940732840724567]]","[[0.09167576150761711,0.045269697076744504],[0.006197852551661156,0.002594073297869828]]","[[0.302536122224949,0.21257509390513102],[0.07871415377766998,0.050928189909016645]]","[[1.0,0.9175925925925926],[1.0,1.0]]","[[13.750937553688331,6.521323168719256],[3.8704675762741654,2.058504546130145]]","[1.0,1.0]","[12.8185282530608,3.3707136736975776]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,8,0.03059768,0.02355414,0.05415182,0.02468626,0.02470252,22.12093097,0.89378231,0.02427891,0,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.06529307966982877,0.005040084709913504]","[0.0652930797043222,0.005040084699996643]","[[0.08675827400551903,0.043827885127177946],[0.007204253395536432,0.0028759159958334983]]","[[0.08675827400551903,0.043827885127177946],[0.007204253395536432,0.0028759159928153236]]","[[0.294056669374307,0.20901049025080823],[0.08375139106754903,0.05276361258217582]]","[[1.0,0.9038194444444444],[1.0,0.9935185185185185]]","[[13.72586445455198,6.26386667534157],[3.881119672015861,2.1261831173190364]]","[1.0,1.0]","[12.562239011128744,3.4125826248416193]","[0.00023713226673188965,0.00022326970925119153]","[0.06874421498289815,0.0051519168402861665]","[0.06874421506568237,0.005151916823039452]","[[0.0911498095702242,0.04633861978848775],[0.007549646445032623,0.0027541871510308098]]","[[0.0911498095702242,0.04633862009202992],[0.007549646445032623,0.0027541871424074525]]","[[0.30167687248300623,0.21507540930200506],[0.08686829463199333,0.05247589647769928]]","[[1.0,0.9115740740740741],[1.0,1.0]]","[[13.796024237738715,6.314798884921604],[3.9155504173702664,2.1356951766543917]]","[1.0,1.0]","[12.69507248489945,3.4283346441056994]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,9,0.02900995,0.02380971,0.05281966,0.02525480,0.02432411,22.02273109,0.89735091,0.02427891,0,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.065197570628866,0.005496747320069483]","[0.065197570628866,0.005496747314895469]","[[0.08655638353968108,0.04383875728343372],[0.007593320886156074,0.003400173709572603]]","[[0.08655638353968108,0.04383875724204161],[0.007593320886156074,0.0034001737082790997]]","[[0.29378962605087844,0.20905387125633382],[0.08688988746316345,0.05793493903345532]]","[[1.0,0.8997685185185185],[1.0,1.0]]","[[13.755952072143554,6.1792265229754975],[3.9029112475889702,2.1174901454537003]]","[1.0,1.0]","[12.538379001617432,3.4218070414331225]","[0.00021595861221107446,0.00023503445503997175]","[0.06688150788346926,0.005477821444057756]","[0.06688150774549555,0.005477821450956441]","[[0.08849936580216443,0.045263649495663465],[0.007012956210032657,0.0039426866729088406]]","[[0.08849936580216443,0.045263649302500264],[0.007012956210032657,0.0039426866780828546]]","[[0.29729194596961694,0.21259757567335058],[0.0837121394497377,0.0627620148162047]]","[[1.0,0.8967592592592593],[1.0,1.0]]","[[13.775767623053657,6.217540801012958],[3.929964613031458,2.0922425711596455]]","[1.0,1.0]","[12.613902840790924,3.417780973293163]","[null,null]"
residual_simvq_k16-4_d2-2_rate094-20260726-215551,10,0.02763417,0.02459596,0.05223013,0.03057995,0.03384767,21.19140655,0.88472103,0.02427891,0,Phase1-拓荒,0.000000,0.00000000,,9216,0.1406250000,0.0937500000,5e-05,"[0.0668997086170647,0.005903675189862649]","[0.06689970867225417,0.005903675190724984]","[[0.0881981711420748,0.04560124546427418],[0.00806923894021936,0.003738111402856669]]","[[0.0881981711420748,0.04560124549186892],[0.00806923894021936,0.0037381113985449905]]","[[0.29663537564101045,0.21327766593959596],[0.08940763105120923,0.06067854981455538]]","[[1.0,0.8918981481481482],[1.0,1.0]]","[[13.756069245161834,6.12538358811979],[3.9345317072338526,2.1294649172712257]]","[1.0,1.0]","[12.519200932538068,3.4513686144793474]","[0.00020382112213863165,0.00023735975147347844]","[0.09178418003850514,0.008264188678866182]","[0.09178418020407358,0.008264188675416841]","[[0.11713022065383416,0.06643813997507095],[0.011952660446641622,0.004575716862799945]]","[[0.11713022065383416,0.06643814030620787],[0.011952660446641622,0.004575716855901259]]","[[0.34204435966632984,0.2575899230109321],[0.10913028380385152,0.0675627644415255]]","[[1.0,0.9226851851851852],[1.0,1.0]]","[[14.26260306040446,6.560935112282082],[3.9480910142262777,2.3724160777197945]]","[1.0,1.0]","[12.82692519293891,3.628488196267022]","[null,null]"
