SNR,Bit_Budget_Range,K1,K2,K3,K4,Actual_Bits,Best_Reward
-10,700000-1800000,32,32,2048,4096,700416,0.168582
-9.9,700000-1800000,32,32,2048,4096,700416,0.167702
-9.8,700000-1800000,32,32,2048,4096,700416,0.168386
-9.7,700000-1800000,32,32,2048,4096,700416,0.169197
-9.6,700000-1800000,32,32,2048,4096,700416,0.169268
-9.5,700000-1800000,32,256,1024,4096,768000,0.165638
-9.4,700000-1800000,32,4096,1024,32,855552,0.166727
-9.3,700000-1800000,32,32,2048,4096,700416,0.1704
-9.2,700000-1800000,32,32,2048,4096,700416,0.172053
-9.1,700000-1800000,32,32,2048,4096,700416,0.172594
-9,700000-1800000,32,32,2048,4096,700416,0.173063
-8.9,700000-1800000,32,512,64,512,763392,0.169212
-8.8,700000-1800000,32,1024,64,64,783360,0.169281
-8.7,700000-1800000,32,32,2048,4096,700416,0.176315
-8.6,700000-1800000,32,32,2048,4096,700416,0.173858
-8.5,700000-1800000,32,32,2048,4096,700416,0.174907
-8.4,700000-1800000,32,4096,32,2048,834048,0.175207
-8.3,700000-1800000,32,32,2048,4096,700416,0.17666
-8.2,700000-1800000,32,32,2048,4096,700416,0.177707
-8.1,700000-1800000,512,128,64,256,1105920,0.149637
-8,700000-1800000,32,512,4096,64,795648,0.171346
-7.9,700000-1800000,64,32,2048,512,794112,0.148539
-7.8,700000-1800000,32,4096,512,64,850944,0.174628
-7.7,700000-1800000,32,32,2048,4096,700416,0.180469
-7.6,700000-1800000,32,32,2048,4096,700416,0.180913
-7.5,700000-1800000,32,512,128,4096,774144,0.176644
-7.4,700000-1800000,32,2048,1024,2048,840192,0.175093
-7.3,700000-1800000,32,32,2048,4096,700416,0.184068
-7.2,700000-1800000,32,128,256,256,724992,0.181442
-7.1,700000-1800000,32,32,2048,4096,700416,0.185673
-7,700000-1800000,32,128,64,64,709632,0.18592
-6.9,700000-1800000,128,32,32,512,855552,0.15576
-6.8,700000-1800000,32,2048,32,64,801792,0.183539
-6.7,700000-1800000,32,32,2048,4096,700416,0.189818
-6.6,700000-1800000,32,32,2048,4096,700416,0.18849
-6.5,700000-1800000,32,128,1024,32,732672,0.187999
-6.4,700000-1800000,32,128,128,64,715776,0.189661
-6.3,700000-1800000,32,32,2048,4096,700416,0.192472
-6.2,700000-1800000,32,32,2048,4096,700416,0.194007
-6.1,700000-1800000,32,32,2048,4096,700416,0.192531
-6,700000-1800000,32,4096,64,1024,838656,0.189418
-5.9,700000-1800000,32,1024,512,1024,807936,0.185357
-5.8,700000-1800000,32,256,4096,32,769536,0.19303
-5.7,700000-1800000,32,1024,2048,128,815616,0.188886
-5.6,700000-1800000,512,32,128,32,1058304,0.162116
-5.5,700000-1800000,32,32,2048,4096,700416,0.199214
-5.4,700000-1800000,32,128,512,32,726528,0.197909
-5.3,700000-1800000,32,32,2048,4096,700416,0.20194
-5.2,700000-1800000,32,128,32,256,706560,0.202563
-5.1,700000-1800000,32,32,2048,4096,700416,0.204104
-5,700000-1800000,32,32,2048,4096,700416,0.203698
-4.9,700000-1800000,32,4096,4096,4096,878592,0.1983
-4.8,700000-1800000,32,32,2048,4096,700416,0.20918
-4.7,700000-1800000,32,1024,32,128,778752,0.20381
-4.6,700000-1800000,32,32,2048,4096,700416,0.209671
-4.5,700000-1800000,32,32,2048,4096,700416,0.212499
-4.4,700000-1800000,32,32,2048,4096,700416,0.214049
-4.3,700000-1800000,512,32,64,1024,1059840,0.169649
-4.2,700000-1800000,32,32,2048,4096,700416,0.216443
-4.1,700000-1800000,32,32,2048,4096,700416,0.216945
-4,700000-1800000,32,256,32,32,726528,0.217603
-3.9,700000-1800000,32,32,2048,4096,700416,0.220462
-3.8,700000-1800000,32,32,2048,4096,700416,0.222769
-3.7,700000-1800000,32,32,2048,4096,700416,0.223518
-3.6,700000-1800000,32,32,2048,4096,700416,0.226867
-3.5,700000-1800000,32,32,2048,4096,700416,0.228126
-3.4,700000-1800000,32,32,2048,4096,700416,0.2299
-3.3,700000-1800000,32,4096,1024,64,857088,0.222003
-3.2,700000-1800000,32,128,32,32,701952,0.234204
-3.1,700000-1800000,32,64,4096,1024,728064,0.232343
-3,700000-1800000,32,32,2048,4096,700416,0.237585
-2.9,700000-1800000,32,32,2048,4096,700416,0.239915
-2.8,700000-1800000,32,32,2048,4096,700416,0.241728
-2.7,700000-1800000,32,512,128,512,769536,0.23342
-2.6,700000-1800000,32,32,2048,4096,700416,0.247677
-2.5,700000-1800000,32,32,2048,4096,700416,0.249172
-2.4,700000-1800000,32,32,2048,4096,700416,0.251412
-2.3,700000-1800000,32,32,2048,4096,700416,0.253646
-2.2,700000-1800000,32,32,2048,4096,700416,0.256312
-2.1,700000-1800000,32,32,2048,4096,700416,0.260011
-2,700000-1800000,32,32,2048,4096,700416,0.263036
-1.9,700000-1800000,32,512,32,64,752640,0.259278
-1.8,700000-1800000,32,32,2048,4096,700416,0.269668
-1.7,700000-1800000,32,64,512,1024,709632,0.26882
-1.6,700000-1800000,32,2048,1024,4096,841728,0.258675
-1.5,700000-1800000,32,32,2048,4096,700416,0.280336
-1.4,700000-1800000,32,32,2048,4096,700416,0.284875
-1.3,700000-1800000,32,32,2048,4096,700416,0.288815
-1.2,700000-1800000,32,32,2048,4096,700416,0.293799
-1.1,700000-1800000,32,32,2048,4096,700416,0.298424
-1,700000-1800000,32,32,2048,4096,700416,0.304392
-0.9,700000-1800000,32,128,1024,256,737280,0.301622
-0.8,700000-1800000,32,512,512,64,777216,0.301399
-0.7,700000-1800000,32,128,512,1024,734208,0.314309
-0.6,700000-1800000,32,512,128,256,768000,0.3138
-0.5,700000-1800000,32,32,2048,4096,700416,0.341009
-0.4,700000-1800000,32,32,2048,4096,700416,0.348763
-0.3,700000-1800000,32,32,2048,4096,700416,0.360837
-0.2,700000-1800000,32,32,2048,4096,700416,0.374014
-0.1,700000-1800000,32,64,2048,64,715776,0.383568
0,700000-1800000,32,32,2048,4096,700416,0.402971
0.1,700000-1800000,32,32,2048,4096,700416,0.419146
0.2,700000-1800000,32,32,2048,4096,700416,0.436986
0.3,700000-1800000,32,32,2048,4096,700416,0.459385
0.4,700000-1800000,32,32,2048,4096,700416,0.480775
0.5,700000-1800000,32,256,1024,4096,768000,0.4871
0.6,700000-1800000,32,256,2048,1024,771072,0.513505
0.7,700000-1800000,32,32,2048,4096,700416,0.560879
0.8,700000-1800000,32,32,2048,4096,700416,0.59013
0.9,700000-1800000,32,32,2048,4096,700416,0.623422
1,700000-1800000,32,32,2048,4096,700416,0.655921
1.1,700000-1800000,32,512,64,512,763392,0.67188
1.2,700000-1800000,32,1024,64,64,783360,0.703374
1.3,700000-1800000,32,32,2048,4096,700416,0.752798
1.4,700000-1800000,32,32,2048,4096,700416,0.785339
1.5,700000-1800000,32,32,2048,4096,700416,0.814631
1.6,700000-1800000,32,128,128,64,715776,0.840711
1.7,700000-1800000,32,32,2048,4096,700416,0.86704
1.8,700000-1800000,32,32,2048,4096,700416,0.89014
1.9,700000-1800000,64,128,128,256,817152,0.900769
2,700000-1800000,32,512,4096,64,795648,0.920903
