SNR,Bit_Budget_Range,K1,K2,K3,K4,Actual_Bits,Best_Reward
-10,700000-1800000,32,32,32,32,652800,0.244788
-9.9,700000-1800001,32,32,32,32,652800,0.248662
-9.8,700000-1800002,32,128,128,256,718848,0.23746
-9.7,700000-1800003,32,64,2048,64,715776,0.253878
-9.6,700000-1800004,32,64,1024,128,711168,0.25614
-9.5,700000-1800005,32,64,2048,256,718848,0.254668
-9.4,700000-1800006,32,128,512,256,731136,0.242273
-9.3,700000-1800007,32,128,128,4096,724992,0.242747
-9.2,700000-1800008,32,64,32,1024,685056,0.261431
-9.1,700000-1800009,32,32,32,32,652800,0.258052
-9,700000-1800010,32,64,128,4096,700416,0.263812
-8.9,700000-1800011,32,256,256,128,748032,0.243471
-8.8,700000-1800012,32,64,4096,2048,729600,0.267896
-8.7,700000-1800013,32,128,4096,128,748032,0.250436
-8.6,700000-1800014,32,32,32,32,652800,0.265437
-8.5,700000-1800015,32,64,1024,1024,715776,0.27464
-8.4,700000-1800016,32,64,4096,32,720384,0.276997
-8.3,700000-1800017,32,128,2048,2048,748032,0.26033
-8.2,700000-1800018,32,64,512,512,708096,0.280736
-8.1,700000-1800019,32,64,512,64,703488,0.285142
-8,700000-1800020,32,64,256,256,700416,0.280608
-7.9,700000-1800021,32,64,4096,2048,729600,0.285161
-7.8,700000-1800022,32,32,32,32,652800,0.281338
-7.7,700000-1800023,32,64,4096,32,720384,0.288348
-7.6,700000-1800024,32,32,2048,32,689664,0.283682
-7.5,700000-1800025,32,64,256,128,698880,0.292717
-7.4,700000-1800026,32,64,64,64,685056,0.294099
-7.3,700000-1800027,32,64,256,512,701952,0.296128
-7.2,700000-1800028,32,32,32,32,652800,0.295069
-7.1,700000-1800029,32,32,32,32,652800,0.296963
-7,700000-1800030,32,64,2048,64,715776,0.304239
-6.9,700000-1800031,32,64,2048,256,718848,0.305731
-6.8,700000-1800032,32,32,128,512,671232,0.303075
-6.7,700000-1800033,32,64,1024,512,714240,0.309121
-6.6,700000-1800034,32,32,32,32,652800,0.314413
-6.5,700000-1800035,32,32,4096,2048,705024,0.310735
-6.4,700000-1800036,32,32,32,32,652800,0.312718
-6.3,700000-1800037,32,256,64,256,737280,0.300741
-6.2,700000-1800038,32,64,512,4096,712704,0.32417
-6.1,700000-1800039,32,32,32,32,652800,0.319431
-6,700000-1800040,32,32,32,32,652800,0.325571
-5.9,700000-1800041,32,64,4096,64,721920,0.332651
-5.8,700000-1800042,32,32,32,32,652800,0.328673
-5.7,700000-1800043,32,64,512,256,706560,0.339779
-5.6,700000-1800044,32,32,32,32,652800,0.336687
-5.5,700000-1800045,32,64,32,128,680448,0.341952
-5.4,700000-1800046,32,32,32,32,652800,0.341676
-5.3,700000-1800047,32,64,512,4096,712704,0.35027
-5.2,700000-1800048,32,64,4096,4096,731136,0.35387
-5.1,700000-1800049,128,64,256,2048,901632,0.295096
-5,700000-1800050,32,32,32,32,652800,0.35551
-4.9,700000-1800051,32,32,32,32,652800,0.359903
-4.8,700000-1800052,32,64,64,1024,691200,0.365904
-4.7,700000-1800053,32,256,256,32,744960,0.350168
-4.6,700000-1800054,32,64,64,1024,691200,0.38069
-4.5,700000-1800055,32,64,1024,256,712704,0.381649
-4.4,700000-1800056,32,64,64,4096,694272,0.381088
-4.3,700000-1800057,32,32,128,64,666624,0.38506
-4.2,700000-1800058,32,64,1024,512,714240,0.393512
-4.1,700000-1800059,32,32,32,32,652800,0.392414
-4,700000-1800060,32,64,2048,128,717312,0.398916
-3.9,700000-1800061,32,64,64,1024,691200,0.404047
-3.8,700000-1800062,32,64,4096,256,724992,0.406646
-3.7,700000-1800063,32,256,4096,32,769536,0.392508
-3.6,700000-1800064,32,64,512,256,706560,0.417141
-3.5,700000-1800065,32,128,1024,32,732672,0.40074
-3.4,700000-1800066,32,32,128,2048,674304,0.427569
-3.3,700000-1800067,32,64,1024,4096,718848,0.431022
-3.2,700000-1800068,32,128,256,4096,731136,0.415126
-3.1,700000-1800069,32,32,32,32,652800,0.438606
-3,700000-1800070,32,256,4096,1024,777216,0.423396
-2.9,700000-1800071,32,256,512,2048,760320,0.429358
-2.8,700000-1800072,32,64,512,1024,709632,0.455435
-2.7,700000-1800073,32,64,1024,1024,715776,0.459616
-2.6,700000-1800074,32,64,256,4096,706560,0.465372
-2.5,700000-1800075,32,32,64,2048,668160,0.470516
-2.4,700000-1800076,32,32,64,32,658944,0.474377
-2.3,700000-1800077,32,256,512,256,755712,0.462114
-2.2,700000-1800078,32,32,256,2048,680448,0.486939
-2.1,700000-1800079,32,64,1024,256,712704,0.486994
-2,700000-1800080,32,32,32,32,652800,0.503142
-1.9,700000-1800081,32,32,32,32,652800,0.507663
-1.8,700000-1800082,32,32,2048,1024,697344,0.512699
-1.7,700000-1800083,32,32,128,64,666624,0.520878
-1.6,700000-1800084,32,32,2048,512,695808,0.523645
-1.5,700000-1800085,32,32,32,32,652800,0.531114
-1.4,700000-1800086,32,32,1024,64,685056,0.537282
