SNR,Bit_Budget,K1,K2,K3,K4,Actual_Bits,Best_Reward
-10.0,1786983,32,32,32,32,652800,0.244788
-9.9,1192545,32,32,32,32,652800,0.248662
-9.8,1521427,32,128,128,256,718848,0.23746
-9.7,1617657,32,64,2048,64,715776,0.253878
-9.6,1297422,32,64,1024,128,711168,0.25614
-9.5,767388,32,64,2048,256,718848,0.254668
-9.4,1687821,32,128,512,256,731136,0.242273
-9.3,1456595,32,128,128,4096,724992,0.242747
-9.2,705163,32,64,32,1024,685056,0.261431
-9.1,1489041,32,32,32,32,652800,0.258052
-9.0,960943,32,64,128,4096,700416,0.263812
-8.9,1501248,32,256,256,128,748032,0.243471
-8.8,875536,32,64,4096,2048,729600,0.267896
-8.7,1577476,32,128,4096,128,748032,0.250436
-8.6,1575453,32,32,32,32,652800,0.265437
-8.5,751682,32,64,1024,1024,715776,0.27464
-8.4,723380,32,64,4096,32,720384,0.276997
-8.3,1136332,32,128,2048,2048,748032,0.26033
-8.2,749834,32,64,512,512,708096,0.280736
-8.1,902590,32,64,512,64,703488,0.285142
-8.0,812905,32,64,256,256,700416,0.280608
-7.9,1352075,32,64,4096,2048,729600,0.285161
-7.8,1092364,32,32,32,32,652800,0.281338
-7.7,1160062,32,64,4096,32,720384,0.288348
-7.6,1489417,32,32,2048,32,689664,0.283682
-7.5,1355147,32,64,256,128,698880,0.292717
-7.4,945311,32,64,64,64,685056,0.294099
-7.3,768310,32,64,256,512,701952,0.296128
-7.2,1352794,32,32,32,32,652800,0.295069
-7.1,1501125,32,32,32,32,652800,0.296963
-7.0,914097,32,64,2048,64,715776,0.304239
-6.9,951410,32,64,2048,256,718848,0.305731
-6.8,1433278,32,32,128,512,671232,0.303075
-6.7,782389,32,64,1024,512,714240,0.309121
-6.6,1357714,32,32,32,32,652800,0.314413
-6.5,1298279,32,32,4096,2048,705024,0.310735
-6.4,1699109,32,32,32,32,652800,0.312718
-6.3,1778154,32,256,64,256,737280,0.300741
-6.2,1753479,32,64,512,4096,712704,0.32417
-6.1,1397936,32,32,32,32,652800,0.319431
-6.0,855092,32,32,32,32,652800,0.325571
-5.9,1549716,32,64,4096,64,721920,0.332651
-5.8,1746695,32,32,32,32,652800,0.328673
-5.7,1628405,32,64,512,256,706560,0.339779
-5.6,1752065,32,32,32,32,652800,0.336687
-5.5,1131357,32,64,32,128,680448,0.341952
-5.4,1526992,32,32,32,32,652800,0.341676
-5.3,716925,32,64,512,4096,712704,0.35027
-5.2,750126,32,64,4096,4096,731136,0.35387
-5.1,1742600,128,64,256,2048,901632,0.295096
-5.0,1328370,32,32,32,32,652800,0.35551
-4.9,1773805,32,32,32,32,652800,0.359903
-4.8,1646677,32,64,64,1024,691200,0.365904
-4.7,1273076,32,256,256,32,744960,0.350168
-4.6,1373965,32,64,64,1024,691200,0.38069
-4.5,1049282,32,64,1024,256,712704,0.381649
-4.4,755478,32,64,64,4096,694272,0.381088
-4.3,1433176,32,32,128,64,666624,0.38506
-4.2,747515,32,64,1024,512,714240,0.393512
-4.1,1613704,32,32,32,32,652800,0.392414
-4.0,1585461,32,64,2048,128,717312,0.398916
-3.9,1288062,32,64,64,1024,691200,0.404047
-3.8,989644,32,64,4096,256,724992,0.406646
-3.7,1356304,32,256,4096,32,769536,0.392508
-3.6,713820,32,64,512,256,706560,0.417141
-3.5,1456596,32,128,1024,32,732672,0.40074
-3.4,1037437,32,32,128,2048,674304,0.427569
-3.3,901865,32,64,1024,4096,718848,0.431022
-3.2,1365775,32,128,256,4096,731136,0.415126
-3.1,1352791,32,32,32,32,652800,0.438606
-3.0,1414079,32,256,4096,1024,777216,0.423396
-2.9,1750325,32,256,512,2048,760320,0.429358
-2.8,896489,32,64,512,1024,709632,0.455435
-2.7,756177,32,64,1024,1024,715776,0.459616
-2.6,730829,32,64,256,4096,706560,0.465372
-2.5,1545637,32,32,64,2048,668160,0.470516
-2.4,1670817,32,32,64,32,658944,0.474377
-2.3,1096113,32,256,512,256,755712,0.462114
-2.2,1025439,32,32,256,2048,680448,0.486939
-2.1,1401683,32,64,1024,256,712704,0.486994
-2.0,1151292,32,32,32,32,652800,0.503142
-1.9,1307980,32,32,32,32,652800,0.507663
-1.8,1418928,32,32,2048,1024,697344,0.512699
-1.7,973060,32,32,128,64,666624,0.520878
-1.6,702705,32,32,2048,512,695808,0.523645
-1.5,1178337,32,32,32,32,652800,0.531114
-1.4,1742906,32,32,1024,64,685056,0.537282
-1.3,1645643,32,32,512,512,683520,0.541578
-1.2,1760304,32,32,32,32,652800,0.551381
-1.1,794596,32,32,32,256,657408,0.55763
-1.0,775781,32,32,512,256,681984,0.568927
-0.9,1597622,32,32,4096,512,701952,0.570129
-0.8,988241,32,64,4096,1024,728064,0.574186
-0.7,1672745,32,32,32,32,652800,0.58481
-0.6,1726596,32,32,32,256,657408,0.593106
-0.5,1328142,32,32,32,32,652800,0.603065
-0.4,1038815,32,32,32,32,652800,0.607503
-0.3,1505445,64,32,4096,1024,801792,0.571755
-0.2,1483370,32,32,2048,64,691200,0.62212
-0.1,1405184,32,32,32,32,652800,0.627703
0.0,1750445,32,32,32,32,652800,0.635528
0.1,1087789,32,64,512,512,708096,0.635909
0.2,1053655,32,32,32,32,652800,0.65302
0.3,870077,32,32,1024,64,685056,0.658603
0.4,784218,32,32,1024,4096,694272,0.666052
0.5,1557122,32,32,32,32,652800,0.673201
0.6,1503931,32,32,32,32,652800,0.68091
0.7,1543306,32,32,4096,128,698880,0.690064
0.8,757267,32,32,2048,1024,697344,0.699052
0.9,1485267,32,32,2048,4096,700416,0.702074
1.0,821218,32,32,32,32,652800,0.713111
1.1,1248422,32,32,32,32,652800,0.720774
1.2,857499,32,32,4096,128,698880,0.727852
1.3,1464120,32,32,32,32,652800,0.734753
1.4,1542721,32,32,32,32,652800,0.741625
1.5,1543846,32,64,512,128,705024,0.742608
1.6,1304094,32,512,64,4096,768000,0.718965
1.7,1345191,32,256,256,4096,755712,0.746581
1.8,1566619,32,32,512,256,681984,0.771003
1.9,1569420,32,64,512,1024,709632,0.770478
2.0,920124,32,128,1024,64,734208,0.770338
2.1,1070629,128,32,256,128,870912,0.760474
2.2,1510984,32,64,64,128,686592,0.794426
2.3,814943,32,32,64,1024,666624,0.810181
2.4,763704,32,32,4096,4096,706560,0.815626
2.5,1747883,32,64,256,4096,706560,0.81326
2.6,753001,32,32,1024,32,683520,0.827791
2.7,1296297,32,32,32,32,652800,0.834338
2.8,772320,32,32,64,1024,666624,0.840509
2.9,1689155,32,32,32,32,652800,0.846164
3.0,1491606,32,32,256,128,674304,0.853772
3.1,816734,32,32,4096,128,698880,0.859373
3.2,1334636,32,32,32,32,652800,0.86582
3.3,1126457,32,32,32,32,652800,0.870615
3.4,1355960,32,32,128,4096,675840,0.877537
3.5,1433034,32,32,32,32,652800,0.883174
3.6,786606,32,32,4096,1024,703488,0.886834
3.7,1757191,32,32,32,32,652800,0.893363
3.8,1744506,32,32,32,32,652800,0.898812
3.9,1267006,32,32,32,32,652800,0.902365
4.0,1511296,32,64,256,128,698880,0.905721
4.1,1264646,32,32,32,32,652800,0.911723
4.2,738095,32,32,32,32,652800,0.916528
4.3,1665913,64,32,256,1024,777216,0.917099
4.4,1092474,32,32,256,128,674304,0.925573
4.5,1696035,64,32,1024,2048,791040,0.925914
4.6,1507856,64,32,256,128,772608,0.929962
4.7,1686076,32,32,32,32,652800,0.936604
4.8,1368939,32,32,512,128,680448,0.93924
4.9,1407404,32,32,32,32,652800,0.942562
5.0,1603179,32,32,32,32,652800,0.945361
5.1,1789763,32,32,32,32,652800,0.948278
