run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
gn_v1_k64-screen-001,1,0.15757066,0.30787260,0.03816747,0.03816747,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,2,0.03526881,0.17601313,0.02798006,0.02798006,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,3,0.02639115,0.11763731,0.02213218,0.02213218,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,4,0.02131016,0.08440865,0.01619944,0.01619944,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,5,0.01843220,0.06756348,0.01837132,0.01619944,0,Phase1-拓荒,5e-05
auto-gn_v1_k64,6,0.01720607,0.05801554,0.01390493,0.01390493,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,7,0.01564550,0.05269061,0.01334124,0.01334124,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,8,0.01477801,0.04956234,0.01755123,0.01334124,0,Phase1-拓荒,5e-05
auto-gn_v1_k64,9,0.01405941,0.04694447,0.01259479,0.01259479,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,10,0.01324871,0.04535708,0.01124025,0.01124025,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,11,0.01297323,0.04426134,0.01027489,0.01027489,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,12,0.01245992,0.04381406,0.00955225,0.00955225,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,13,0.01198192,0.04321173,0.01119037,0.00955225,0,Phase1-拓荒,5e-05
auto-gn_v1_k64,14,0.01181661,0.04254856,0.01087831,0.00955225,0,Phase1-拓荒,5e-05
auto-gn_v1_k64,15,0.01162552,0.04219707,0.00951220,0.00951220,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,16,0.01123156,0.04165523,0.00943265,0.00943265,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,17,0.01103312,0.04160010,0.00925455,0.00925455,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,18,0.01094927,0.04136650,0.00908693,0.00908693,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,19,0.01078633,0.04134611,0.00882034,0.00882034,1,Phase1-拓荒,5e-05
auto-gn_v1_k64,20,0.01063033,0.04088098,0.00961534,0.00882034,0,Phase1-拓荒,5e-05
auto-gn_v1_k64,21,0.01036579,0.04070062,0.00837102,0.00837102,1,Phase2-退火(0%),5e-05
auto-gn_v1_k64,22,0.01028312,0.04006168,0.00948477,0.00837102,0,Phase2-退火(2%),5e-05
auto-gn_v1_k64,23,0.01014163,0.04031471,0.00879786,0.00837102,0,Phase2-退火(3%),5e-05
auto-gn_v1_k64,24,0.00988980,0.03983512,0.00828920,0.00828920,1,Phase2-退火(5%),5e-05
auto-gn_v1_k64,25,0.00987227,0.03995055,0.00774016,0.00774016,1,Phase2-退火(7%),5e-05
auto-gn_v1_k64,26,0.00966508,0.03967742,0.00818329,0.00774016,0,Phase2-退火(8%),5e-05
auto-gn_v1_k64,27,0.00966382,0.03953512,0.00843730,0.00774016,0,Phase2-退火(10%),5e-05
auto-gn_v1_k64,28,0.00955439,0.03969768,0.00890066,0.00774016,0,Phase2-退火(12%),5e-05
auto-gn_v1_k64,29,0.00939357,0.03941576,0.00778203,0.00774016,0,Phase2-退火(13%),5e-05
auto-gn_v1_k64,30,0.00935764,0.03970898,0.00807298,0.00774016,0,Phase2-退火(15%),5e-05
auto-gn_v1_k64,31,0.00934054,0.03970084,0.00910447,0.00774016,0,Phase2-退火(17%),5e-05
auto-gn_v1_k64,32,0.00910507,0.03976158,0.00864252,0.00774016,0,Phase2-退火(18%),5e-05
auto-gn_v1_k64,33,0.00902693,0.03957577,0.00773269,0.00773269,1,Phase2-退火(20%),5e-05
auto-gn_v1_k64,34,0.00894988,0.03971501,0.00836608,0.00773269,0,Phase2-退火(22%),5e-05
auto-gn_v1_k64,35,0.00894086,0.04002724,0.00883404,0.00773269,0,Phase2-退火(23%),5e-05
auto-gn_v1_k64,36,0.00879390,0.03993635,0.00868261,0.00773269,0,Phase2-退火(25%),5e-05
auto-gn_v1_k64,37,0.00868821,0.03978138,0.00722994,0.00722994,1,Phase2-退火(27%),5e-05
auto-gn_v1_k64,38,0.00864171,0.03984667,0.00734358,0.00722994,0,Phase2-退火(28%),5e-05
auto-gn_v1_k64,39,0.00861694,0.03990103,0.00783946,0.00722994,0,Phase2-退火(30%),5e-05
auto-gn_v1_k64,40,0.00847010,0.03994757,0.00857294,0.00722994,0,Phase2-退火(32%),5e-05
auto-gn_v1_k64,41,0.00852743,0.04009285,0.00763773,0.00722994,0,Phase2-退火(33%),5e-05
auto-gn_v1_k64,42,0.00833797,0.04011061,0.00709962,0.00709962,1,Phase2-退火(35%),5e-05
auto-gn_v1_k64,43,0.00818994,0.04022742,0.00760368,0.00709962,0,Phase2-退火(37%),5e-05
auto-gn_v1_k64,44,0.00829857,0.04015363,0.00696697,0.00696697,1,Phase2-退火(38%),5e-05
auto-gn_v1_k64,45,0.00813474,0.04016394,0.00741204,0.00696697,0,Phase2-退火(40%),5e-05
auto-gn_v1_k64,46,0.00810883,0.04047473,0.00752604,0.00696697,0,Phase2-退火(42%),5e-05
auto-gn_v1_k64,47,0.00804198,0.04034597,0.00851311,0.00696697,0,Phase2-退火(43%),5e-05
auto-gn_v1_k64,48,0.00793322,0.04033657,0.00678666,0.00678666,1,Phase2-退火(45%),5e-05
auto-gn_v1_k64,49,0.00799976,0.04031061,0.00671389,0.00671389,1,Phase2-退火(47%),5e-05
