run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
auto-gn_v2_recon_focus,1,0.23019346,0.49526106,0.05502783,0.05502783,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,2,0.03400305,0.21067049,0.02221396,0.02221396,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,3,0.02262062,0.11390060,0.01723761,0.01723761,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,4,0.01913133,0.08096098,0.01474880,0.01474880,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,5,0.01625979,0.06589230,0.01378042,0.01378042,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,6,0.01455396,0.05686696,0.01473969,0.01378042,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,7,0.01358348,0.05221228,0.01545547,0.01378042,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,8,0.01255854,0.04825573,0.01263021,0.01263021,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,9,0.01186830,0.04586676,0.01087600,0.01087600,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,10,0.01116996,0.04239042,0.01123811,0.01087600,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,11,0.01080689,0.03962606,0.01173427,0.01087600,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,12,0.01017091,0.03739211,0.01235237,0.01087600,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,13,0.00989247,0.03551073,0.01007515,0.01007515,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,14,0.00957229,0.03425106,0.00919930,0.00919930,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,15,0.00916557,0.03302121,0.00950074,0.00919930,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,16,0.00891152,0.03241157,0.00854450,0.00854450,1,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,17,0.00874919,0.03201607,0.00946028,0.00854450,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,18,0.00854151,0.03185420,0.00865057,0.00854450,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,19,0.00841996,0.03164015,0.00856522,0.00854450,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,20,0.00842976,0.03138215,0.01006036,0.00854450,0,Phase1-拓荒,0.0001
auto-gn_v2_recon_focus,21,0.00795934,0.03079852,0.00862798,0.00854450,0,Phase2-退火(0%),0.0001
auto-gn_v2_recon_focus,22,0.00794219,0.03108361,0.00741101,0.00741101,1,Phase2-退火(2%),0.0001
auto-gn_v2_recon_focus,23,0.00774917,0.03074268,0.00756581,0.00741101,0,Phase2-退火(3%),0.0001
auto-gn_v2_recon_focus,24,0.00774426,0.03113892,0.00748756,0.00741101,0,Phase2-退火(5%),0.0001
auto-gn_v2_recon_focus,25,0.00754055,0.03091911,0.00829164,0.00741101,0,Phase2-退火(7%),0.0001
auto-gn_v2_recon_focus,26,0.00752731,0.03092245,0.00763889,0.00741101,0,Phase2-退火(8%),0.0001
auto-gn_v2_recon_focus,27,0.00751449,0.03112309,0.00759192,0.00741101,0,Phase2-退火(10%),0.0001
auto-gn_v2_recon_focus,28,0.00736376,0.03094208,0.00748458,0.00741101,0,Phase2-退火(12%),0.0001
auto-gn_v2_recon_focus,29,0.00730829,0.03120274,0.00767041,0.00741101,0,Phase2-退火(13%),0.0001
auto-gn_v2_recon_focus,30,0.00727463,0.03111362,0.00745787,0.00741101,0,Phase2-退火(15%),0.0001
auto-gn_v2_recon_focus,31,0.00716441,0.03110002,0.00634768,0.00634768,1,Phase2-退火(17%),0.0001
auto-gn_v2_recon_focus,32,0.00704661,0.03091765,0.00694574,0.00634768,0,Phase2-退火(18%),0.0001
auto-gn_v2_recon_focus,33,0.00712352,0.03131357,0.00842953,0.00634768,0,Phase2-退火(20%),0.0001
auto-gn_v2_recon_focus,34,0.00701878,0.03137325,0.00692673,0.00634768,0,Phase2-退火(22%),0.0001
auto-gn_v2_recon_focus,35,0.00697770,0.03133868,0.00736001,0.00634768,0,Phase2-退火(23%),0.0001
auto-gn_v2_recon_focus,36,0.00681172,0.03125343,0.00699425,0.00634768,0,Phase2-退火(25%),0.0001
auto-gn_v2_recon_focus,37,0.00683254,0.03148429,0.00770727,0.00634768,0,Phase2-退火(27%),0.0001
auto-gn_v2_recon_focus,38,0.00681440,0.03149264,0.00737579,0.00634768,0,Phase2-退火(28%),0.0001
auto-gn_v2_recon_focus,39,0.00677961,0.03158530,0.00797119,0.00634768,0,Phase2-退火(30%),0.0001
auto-gn_v2_recon_focus,40,0.00678352,0.03176839,0.00654630,0.00634768,0,Phase2-退火(32%),0.0001
auto-gn_v2_recon_focus,41,0.00668825,0.03181451,0.00646223,0.00634768,0,Phase2-退火(33%),0.0001
auto-gn_v2_recon_focus,42,0.00657625,0.03180194,0.00784807,0.00634768,0,Phase2-退火(35%),0.0001
auto-gn_v2_recon_focus,43,0.00665328,0.03187335,0.00632221,0.00632221,1,Phase2-退火(37%),0.0001
auto-gn_v2_recon_focus,44,0.00693518,0.03164812,0.00614506,0.00614506,1,Phase2-退火(38%),0.0001
auto-gn_v2_recon_focus,45,0.00653755,0.03172609,0.00657176,0.00614506,0,Phase2-退火(40%),0.0001
auto-gn_v2_recon_focus,46,0.00653292,0.03178477,0.00655265,0.00614506,0,Phase2-退火(42%),0.0001
auto-gn_v2_recon_focus,47,0.00644890,0.03186626,0.00595652,0.00595652,1,Phase2-退火(43%),0.0001
auto-gn_v2_recon_focus,48,0.00647572,0.03196246,0.00778134,0.00595652,0,Phase2-退火(45%),0.0001
auto-gn_v2_recon_focus,49,0.00643134,0.03204141,0.00771986,0.00595652,0,Phase2-退火(47%),0.0001
auto-gn_v2_recon_focus,50,0.00634932,0.03191929,0.00555290,0.00555290,1,Phase2-退火(48%),0.0001
auto-gn_v2_recon_focus,51,0.00632349,0.03195805,0.00709473,0.00555290,0,Phase2-退火(50%),0.0001
auto-gn_v2_recon_focus,52,0.00638161,0.03205843,0.00647921,0.00555290,0,Phase2-退火(52%),0.0001
auto-gn_v2_recon_focus,53,0.00634695,0.03224171,0.00586591,0.00555290,0,Phase2-退火(53%),0.0001
auto-gn_v2_recon_focus,54,0.00623525,0.03203901,0.00678478,0.00555290,0,Phase2-退火(55%),0.0001
auto-gn_v2_recon_focus,55,0.00634229,0.03216736,0.00591897,0.00555290,0,Phase2-退火(57%),0.0001
auto-gn_v2_recon_focus,56,0.00623308,0.03209839,0.00573235,0.00555290,0,Phase2-退火(58%),0.0001
auto-gn_v2_recon_focus,57,0.00621961,0.03206879,0.00572018,0.00555290,0,Phase2-退火(60%),0.0001
auto-gn_v2_recon_focus,58,0.00623284,0.03213662,0.00598819,0.00555290,0,Phase2-退火(62%),0.0001
auto-gn_v2_recon_focus,59,0.00620820,0.03214293,0.00583431,0.00555290,0,Phase2-退火(63%),0.0001
auto-gn_v2_recon_focus,60,0.00612838,0.03187665,0.00605790,0.00555290,0,Phase2-退火(65%),0.0001
auto-gn_v2_recon_focus,61,0.00677356,0.03144919,0.00616641,0.00555290,0,Phase2-退火(67%),0.0001
auto-gn_v2_recon_focus,62,0.00598973,0.03119338,0.00585962,0.00555290,0,Phase2-退火(68%),0.0001
auto-gn_v2_recon_focus,63,0.00605338,0.03139483,0.00647428,0.00555290,0,Phase2-退火(70%),0.0001
auto-gn_v2_recon_focus,64,0.00606864,0.03156306,0.00563026,0.00555290,0,Phase2-退火(72%),0.0001
auto-gn_v2_recon_focus,65,0.00609616,0.03160262,0.00589103,0.00555290,0,Phase2-退火(73%),0.0001
auto-gn_v2_recon_focus,66,0.00611046,0.03159267,0.00588942,0.00555290,0,Phase2-退火(75%),0.0001
auto-gn_v2_recon_focus,67,0.00602899,0.03156102,0.00580965,0.00555290,0,Phase2-退火(77%),0.0001
auto-gn_v2_recon_focus,68,0.00599412,0.03145827,0.00569467,0.00555290,0,Phase2-退火(78%),0.0001
auto-gn_v2_recon_focus,69,0.00603887,0.03139414,0.00602896,0.00555290,0,Phase2-退火(80%),0.0001
auto-gn_v2_recon_focus,70,0.00596372,0.03147555,0.00622899,0.00555290,0,Phase2-退火(82%),0.0001
