epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,experiments/snapshots/quality_v1_k64/best_seen_epoch_005.pth,25.579496,0.921706,32.3,0.9777,0
10,experiments/snapshots/quality_v1_k64/best_seen_epoch_010.pth,26.285811,0.936114,32.3,0.9777,0
20,experiments/snapshots/quality_v1_k64/best_seen_epoch_020.pth,26.999275,0.942104,32.3,0.9777,0
30,experiments/snapshots/quality_v1_k64/best_seen_epoch_030.pth,27.506116,0.948636,32.3,0.9777,0
40,experiments/snapshots/quality_v1_k64/best_seen_epoch_040.pth,27.789453,0.954667,32.3,0.9777,0
50,experiments/snapshots/quality_v1_k64/best_seen_epoch_050.pth,28.045602,0.958290,32.3,0.9777,0
60,experiments/snapshots/quality_v1_k64/best_seen_epoch_060.pth,28.701093,0.961532,32.3,0.9777,0
70,experiments/snapshots/quality_v1_k64/best_seen_epoch_070.pth,28.701093,0.961532,32.3,0.9777,0
80,experiments/snapshots/quality_v1_k64/best_seen_epoch_080.pth,28.907199,0.963885,32.3,0.9777,0
90,experiments/snapshots/quality_v1_k64/best_seen_epoch_090.pth,29.358945,0.967972,32.3,0.9777,0
100,experiments/snapshots/quality_v1_k64/best_seen_epoch_100.pth,29.358945,0.967972,32.3,0.9777,0
110,experiments/snapshots/quality_v1_k64/best_seen_epoch_110.pth,29.692482,0.969153,32.3,0.9777,0
120,experiments/snapshots/quality_v1_k64/best_seen_epoch_120.pth,29.755175,0.969958,32.3,0.9777,0
130,experiments/snapshots/quality_v1_k64/best_seen_epoch_130.pth,29.755175,0.969958,32.3,0.9777,0
140,experiments/snapshots/quality_v1_k64/best_seen_epoch_140.pth,29.739651,0.970695,32.3,0.9777,0
150,experiments/snapshots/quality_v1_k64/best_seen_epoch_150.pth,29.739651,0.970695,32.3,0.9777,0
160,experiments/snapshots/quality_v1_k64/best_seen_epoch_160.pth,29.739651,0.970695,32.3,0.9777,0
170,experiments/snapshots/quality_v1_k64/best_seen_epoch_170.pth,29.818028,0.971434,32.3,0.9777,0
180,experiments/snapshots/quality_v1_k64/best_seen_epoch_180.pth,29.841951,0.971637,32.3,0.9777,0
190,experiments/snapshots/quality_v1_k64/best_seen_epoch_190.pth,29.920442,0.971460,32.3,0.9777,0
200,experiments/snapshots/quality_v1_k64/best_seen_epoch_200.pth,29.920442,0.971460,32.3,0.9777,0
