run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,1,0.18995492,0.25938053,0.08629664,0.08629664,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,2,0.07540922,0.19782481,0.06152026,0.06152026,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,3,0.06288631,0.14889729,0.05332171,0.05332171,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,4,0.05652688,0.12460924,0.04758103,0.04758103,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,5,0.05221228,0.11256475,0.04473639,0.04473639,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,6,0.04940175,0.10739555,0.04371799,0.04371799,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,7,0.04750004,0.10681037,0.04206499,0.04206499,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,8,0.04604856,0.10808935,0.04125286,0.04125286,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,9,0.04508441,0.11067719,0.04160346,0.04125286,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,10,0.04432556,0.11339355,0.04057435,0.04057435,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,11,0.04336791,0.11606866,0.03831049,0.03831049,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,12,0.04284490,0.11923855,0.03754361,0.03754361,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,13,0.04221376,0.12236398,0.03861188,0.03754361,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-001-gpu3,14,0.04152660,0.12468919,0.03818003,0.03754361,0,Phase1-拓荒,0.000000,5e-05
