run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
quality_v1_unet2_ds4x2_k64-001,1,0.19404843,0.25715751,0.03333480,0.03333480,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,2,0.03516575,0.18748142,0.02344946,0.02344946,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,3,0.02609267,0.12201610,0.01794889,0.01794889,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,4,0.02162187,0.08961869,0.01487434,0.01487434,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,5,0.01947038,0.07389364,0.01428474,0.01428474,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,6,0.01779743,0.06588580,0.01508027,0.01428474,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,7,0.01744525,0.06130434,0.02179622,0.01428474,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,8,0.01594351,0.05640094,0.01493466,0.01428474,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,9,0.01514337,0.05313006,0.01341445,0.01341445,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,10,0.01428991,0.05001432,0.01274124,0.01274124,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,11,0.01415913,0.04894104,0.01508621,0.01274124,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,12,0.01382777,0.04786734,0.01009212,0.01009212,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,13,0.01298681,0.04558350,0.01426477,0.01009212,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,14,0.01278120,0.04459214,0.02484885,0.01009212,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,15,0.01255654,0.04398951,0.00959280,0.00959280,1,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,16,0.01453475,0.04750422,0.01100565,0.00959280,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,17,0.01270628,0.04278091,0.01011794,0.00959280,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,18,0.01217488,0.04189001,0.01036856,0.00959280,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,19,0.01182459,0.04171601,0.01258919,0.00959280,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,20,0.01177820,0.04183073,0.01002939,0.00959280,0,Phase1-拓荒,5e-05
quality_v1_unet2_ds4x2_k64-003-resume,21,0.01144557,0.04111219,0.01085034,0.00959280,0,Phase2-退火(0%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,22,0.01127928,0.04059624,0.00947389,0.00947389,1,Phase2-退火(2%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,23,0.01116715,0.04074895,0.01075206,0.00947389,0,Phase2-退火(3%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,24,0.01084343,0.03946069,0.01641565,0.00947389,0,Phase2-退火(5%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,25,0.01076580,0.03950432,0.01135535,0.00947389,0,Phase2-退火(7%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,26,0.01055482,0.03917524,0.01234165,0.00947389,0,Phase2-退火(8%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,27,0.01071557,0.03936588,0.03259654,0.00947389,0,Phase2-退火(10%),5e-05
quality_v1_unet2_ds4x2_k64-003-resume,28,0.01039320,0.03930231,0.01060562,0.00947389,0,Phase2-退火(12%),5e-05
