epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_005_nochannel.json,25.579496,0.921706,32.3,0.9777,0
10,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_010_nochannel.json,26.285811,0.936114,32.3,0.9777,0
20,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_020_nochannel.json,26.999275,0.942104,32.3,0.9777,0
30,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_030_nochannel.json,27.506116,0.948636,32.3,0.9777,0
40,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_040_nochannel.json,27.789453,0.954667,32.3,0.9777,0
50,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_050_nochannel.json,28.045602,0.958290,32.3,0.9777,0
60,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_060_nochannel.json,28.701093,0.961532,32.3,0.9777,0
70,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_070_nochannel.json,28.701093,0.961532,32.3,0.9777,0
80,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_080_nochannel.json,28.907199,0.963885,32.3,0.9777,0
90,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_090_nochannel.json,29.358945,0.967972,32.3,0.9777,0
100,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_100_nochannel.json,29.358945,0.967972,32.3,0.9777,0
110,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_110_nochannel.json,29.692482,0.969153,32.3,0.9777,0
120,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_120_nochannel.json,29.755175,0.969958,32.3,0.9777,0
130,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_130_nochannel.json,29.755175,0.969958,32.3,0.9777,0
140,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_140_nochannel.json,29.739651,0.970695,32.3,0.9777,0
150,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_150_nochannel.json,29.739651,0.970695,32.3,0.9777,0
160,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_160_nochannel.json,29.739651,0.970695,32.3,0.9777,0
170,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_170_nochannel.json,29.818028,0.971434,32.3,0.9777,0
180,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_180_nochannel.json,29.841951,0.971637,32.3,0.9777,0
190,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_190_nochannel.json,29.920442,0.971460,32.3,0.9777,0
200,experiments/snapshots/quality_v1_unet2_ds4x2_k64/best_seen_epoch_200_nochannel.json,29.920442,0.971460,32.3,0.9777,0
