epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
90,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.029000,0.883489,32.3,0.9777,0
100,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.100863,0.886450,32.3,0.9777,0
110,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.215383,0.888361,32.3,0.9777,0
120,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.215383,0.888361,32.3,0.9777,0
130,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.136758,0.886883,32.3,0.9777,0
140,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.288542,0.888912,32.3,0.9777,0
150,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.298577,0.889732,32.3,0.9777,0
160,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.298577,0.889732,32.3,0.9777,0
170,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.298577,0.889732,32.3,0.9777,0
180,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.298577,0.889732,32.3,0.9777,0
190,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.236701,0.887812,32.3,0.9777,0
200,checkpoints/quality_v2_A_curriculum_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.236701,0.887812,32.3,0.9777,0
