run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp3_SwinEnhance-20260531-224504,1,0.01674282,0.05270999,0.01678306,0.01678306,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,2,0.01612436,0.05040097,0.01387684,0.01387684,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,3,0.01585678,0.04878282,0.01396524,0.01387684,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,4,0.01557288,0.04716160,0.01341070,0.01341070,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,5,0.01536584,0.04646853,0.01278220,0.01278220,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,6,0.01522167,0.04518576,0.01495657,0.01278220,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,7,0.01506462,0.04463598,0.01331277,0.01278220,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,8,0.01510945,0.04399748,0.01258774,0.01258774,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,9,0.01496897,0.04338652,0.01490385,0.01258774,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,10,0.01489054,0.04298991,0.01353232,0.01258774,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,11,0.01485593,0.04242031,0.01319853,0.01258774,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,12,0.01488507,0.04204574,0.01252701,0.01252701,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,13,0.01477405,0.04183465,0.01852473,0.01252701,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,14,0.01460544,0.04154284,0.01251705,0.01251705,1,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,15,0.01469743,0.04078049,0.01334388,0.01251705,0,Phase1-拓荒,0.000000,5e-05
exp3_SwinEnhance-20260531-224504,16,0.01447786,0.04087022,0.01266816,0.01251705,0,Phase1-拓荒,0.000000,5e-05
