epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
40,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.660254,0.896008,32.3,0.9777,0
50,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.636829,0.897099,32.3,0.9777,0
60,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.696264,0.898940,32.3,0.9777,0
70,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.877861,0.900710,32.3,0.9777,0
80,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.885731,0.902062,32.3,0.9777,0
90,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.060885,0.905193,32.3,0.9777,0
100,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.182422,0.906452,32.3,0.9777,0
110,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.236997,0.908050,32.3,0.9777,0
120,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.023644,0.906731,32.3,0.9777,0
130,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.163959,0.907517,32.3,0.9777,0
140,checkpoints/quality_v2_B_backbone_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.266716,0.908811,32.3,0.9777,0
