run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,10,0,64,1.0000000000,64,0,46.5706596375,2.6634950638,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,10,1,256,1.0000000000,256,0,221.3591308594,1.6482708454,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,20,0,64,1.0000000000,64,0,47.3160629272,2.4070034027,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,20,1,256,1.0000000000,256,0,221.0786590576,1.8892040253,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,30,0,64,1.0000000000,64,0,46.3236541748,2.5471422672,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,30,1,256,1.0000000000,256,0,212.0531311035,1.9869339466,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,40,0,64,1.0000000000,64,0,46.8901748657,2.4850118160,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,40,1,256,1.0000000000,256,0,218.3403320312,2.1708683968,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,50,0,64,1.0000000000,64,0,47.1552696228,2.5587773323,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,50,1,256,1.0000000000,256,0,223.2201385498,2.2054786682,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,60,0,64,1.0000000000,64,0,48.6639366150,2.4801342487,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,60,1,256,1.0000000000,256,0,217.9795837402,2.1256031990,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,70,0,64,1.0000000000,64,0,46.9728050232,2.7228665352,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,70,1,256,1.0000000000,256,0,219.3681488037,2.4171323776,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,80,0,64,1.0000000000,64,0,47.1090812683,2.7942860126,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,80,1,256,1.0000000000,256,0,211.1311035156,1.9729307890,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,90,0,64,1.0000000000,64,0,46.8272171021,2.6595375538,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,90,1,256,1.0000000000,256,0,221.5470123291,2.0818223953,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,100,0,64,1.0000000000,64,0,47.4651298523,2.7042403221,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,100,1,256,0.9960937500,255,1,217.9254150391,2.6339981556,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,110,0,64,1.0000000000,64,0,46.4152259827,2.6772043705,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,110,1,256,0.9960937500,255,1,220.1955413818,2.4368989468,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,120,0,64,1.0000000000,64,0,46.4426307678,2.7053558826,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,120,1,256,0.9960937500,255,1,220.8009338379,2.7294151783,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,130,0,64,1.0000000000,64,0,46.4042739868,2.6380362511,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,130,1,256,0.9960937500,255,1,221.8503112793,2.5969014168,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,140,0,64,1.0000000000,64,0,46.5402679443,2.6478130817,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,140,1,256,0.9960937500,255,1,221.2771301270,2.5681626797,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,150,0,64,1.0000000000,64,0,45.9953460693,2.5821776390,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,150,1,256,0.9960937500,255,1,221.0555572510,2.4665734768,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,160,0,64,1.0000000000,64,0,46.6396675110,2.6344466209,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,160,1,256,0.9960937500,255,1,223.6210327148,2.5535762310,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,170,0,64,1.0000000000,64,0,46.4735412598,2.6771283150,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,170,1,256,0.9960937500,255,1,225.4482116699,2.5407807827,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,180,0,64,1.0000000000,64,0,46.6903343201,2.6550850868,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,180,1,256,0.9960937500,255,1,226.6036834717,2.2940564156,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,190,0,64,1.0000000000,64,0,47.2548599243,2.5737476349,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,190,1,256,0.9960937500,255,1,226.9149475098,2.3689272404,0,0.0000000000,256,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,200,0,64,1.0000000000,64,0,46.4122200012,2.5931708813,0,0.0000000000,64,1
exp7_larger_vitvq_nocompress_k64-256-20260602-011729,200,1,256,1.0000000000,256,0,228.4994964600,2.3776197433,0,0.0000000000,256,1
