run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp6_larger_cb16384-256-20260601-182257,1,0.01302412,0.01606189,0.01116539,0.01116539,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,2,0.01235155,0.01290172,0.00920304,0.00920304,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,3,0.01577120,0.01301562,0.00961865,0.00920304,0,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,4,0.01173843,0.01082343,0.00904734,0.00904734,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,5,0.01168597,0.01030083,0.00893494,0.00893494,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,6,0.01475128,0.01077821,0.00904059,0.00893494,0,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,7,0.01143691,0.00968140,0.00887534,0.00887534,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,8,0.01131413,0.00953741,0.00892543,0.00887534,0,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,9,0.01384114,0.00975096,0.00886835,0.00886835,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,10,0.01129466,0.00921656,0.00891374,0.00886835,0,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,11,0.01115466,0.00918900,0.00856349,0.00856349,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,12,0.01125163,0.00912861,0.00855883,0.00855883,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,13,0.01371229,0.00958843,0.00887170,0.00855883,0,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,14,0.01094116,0.00907090,0.00851975,0.00851975,1,Phase1-拓荒,0.000000,5e-05
exp6_larger_cb16384-256-20260601-182257,15,0.01100399,0.00904521,0.00862814,0.00851975,0,Phase1-拓荒,0.000000,5e-05
