run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,10,0,65536,0.7740173340,50726,14810,32604.2636718750,4.2877902985,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,10,1,8192,0.9980468750,8176,16,6719.2016601562,0.1534912735,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,20,0,65536,0.8175354004,53578,11958,40375.6015625000,6.4010643959,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,20,1,8192,0.9963378906,8162,30,6649.0859375000,0.1446367800,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,30,0,65536,0.8225402832,53906,11630,38658.5156250000,6.3515281677,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,30,1,8192,0.9968261719,8166,26,6742.1997070312,0.1942156702,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,40,0,65536,0.8129882812,53280,12256,33542.3710937500,5.2205934525,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,40,1,8192,0.9952392578,8153,39,6572.6333007812,0.2207290530,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,50,0,65536,0.8119659424,53213,12323,34325.8085937500,5.3230905533,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,50,1,8192,0.9936523438,8140,52,6579.0361328125,0.1147201210,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,60,0,65536,0.7984008789,52324,13212,32333.2519531250,5.4112801552,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,60,1,8192,0.9943847656,8146,46,6595.1777343750,0.2530634999,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,70,0,65536,0.8087158203,53000,12536,33915.8281250000,5.3916573524,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,70,1,8192,0.9958496094,8158,34,6619.4882812500,0.2585217655,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,80,0,65536,0.8012695312,52512,13024,31725.3007812500,5.4110808372,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,80,1,8192,0.9941406250,8144,48,6624.6840820312,0.2727740407,0,0.0000000000,4096,0
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,90,0,65536,0.7924499512,51934,13602,29424.0546875000,5.3501119614,0,0.0000000000,4096,0
