run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,1,0.03513162,0.68050147,0.03059322,0.03059322,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,2,0.02956706,0.97842215,0.02907744,0.02907744,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,3,0.02721697,0.92828031,0.02642452,0.02642452,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,4,0.02535013,1.14329120,0.02514262,0.02514262,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,5,0.02370072,1.31753460,0.02289743,0.02289743,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,6,0.02236759,1.40700470,0.02276213,0.02276213,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,7,0.02134384,1.45162228,0.02085504,0.02085504,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,8,0.02045510,1.47290251,0.01936560,0.01936560,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,9,0.01964852,1.42573754,0.01940109,0.01936560,0,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,10,0.01901565,1.36964322,0.01787208,0.01787208,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,11,0.01842822,1.30453478,0.01843824,0.01787208,0,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,12,0.04740028,1.10908384,0.01717384,0.01717384,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,13,0.01756642,1.12365623,0.01702960,0.01702960,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,14,0.01728507,1.08245485,0.01660102,0.01660102,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,15,0.01698721,1.01498970,0.01640420,0.01640420,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,16,0.01682824,0.96754534,0.01571674,0.01571674,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,17,0.01661851,0.93237507,0.01622497,0.01571674,0,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,18,0.01641563,0.91235550,0.01553048,0.01553048,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,19,0.01621075,0.88031889,0.01588893,0.01553048,0,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,20,0.01611212,0.86741789,0.01525929,0.01525929,1,Phase1-拓荒,0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,21,0.01593809,0.84604121,0.01550520,0.01525929,0,Phase2-退火(0%),0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,22,0.01585450,0.83168030,0.01543994,0.01525929,0,Phase2-退火(2%),0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,23,0.01568759,0.83046431,0.01538939,0.01525929,0,Phase2-退火(3%),0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,24,0.01552325,0.82594789,0.01512761,0.01512761,1,Phase2-退火(5%),0.000000,5e-05
exp13_rate041_B_hybridcvq_cb65536-8192-20260608-191100,25,0.01538469,0.82707001,0.01629718,0.01512761,0,Phase2-退火(7%),0.000000,5e-05
