run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,1,0.03529107,0.56013286,0.03092793,0.03092793,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,2,0.02978878,0.82825760,0.02770737,0.02770737,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,3,0.02735963,0.81850847,0.02755784,0.02755784,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,4,0.02555512,0.85182560,0.02523741,0.02523741,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,5,0.02402100,1.04553268,0.02329848,0.02329848,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,6,0.02285811,1.17036337,0.02298465,0.02298465,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,7,0.02192974,1.22936584,0.02161186,0.02161186,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,8,0.02108131,1.27042963,0.02034207,0.02034207,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,9,0.02031907,1.26891088,0.02176416,0.02034207,0,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,10,0.01974906,1.21856453,0.01913293,0.01913293,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,11,0.01923508,1.17779215,0.01778470,0.01778470,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,12,0.02420082,1.00673126,0.01949968,0.01778470,0,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,13,0.01849842,1.01962049,0.01766912,0.01766912,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,14,0.01796498,0.99888450,0.01777693,0.01766912,0,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,15,0.01783654,0.92694118,0.01738255,0.01738255,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,16,0.01744778,0.89125470,0.01660919,0.01660919,1,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,17,0.01733377,0.85868215,0.01711088,0.01660919,0,Phase1-拓荒,0.000000,5e-05
exp14_rate041_C_hybridcvq_nested_cb65536-8192-20260608-191100,18,0.01704244,0.84269484,0.01585545,0.01585545,1,Phase1-拓荒,0.000000,5e-05
