run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp12_rate044_A_patch_cb2048-16-20260701-163122,10,0,2048,0.9965820312,2041,7,694.5265502930,0.4918715656,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,10,1,16,1.0000000000,16,0,13.4302110672,2.3868923187,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,20,0,2048,1.0000000000,2048,0,1133.6870117188,0.5500916839,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,20,1,16,1.0000000000,16,0,14.6132650375,2.3672816753,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,30,0,2048,0.9995117188,2047,1,1168.0714111328,0.8453489542,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,30,1,16,1.0000000000,16,0,14.5767021179,2.2228133678,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,40,0,2048,0.9995117188,2047,1,1192.4122314453,1.1497188807,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,40,1,16,1.0000000000,16,0,14.3844480515,2.1938555241,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,50,0,2048,0.9985351562,2045,3,1148.2767333984,1.2507566214,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,50,1,16,1.0000000000,16,0,14.4496507645,2.1458508968,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,60,0,2048,0.9985351562,2045,3,1160.6041259766,1.3760483265,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,60,1,16,1.0000000000,16,0,15.1416921616,2.0385668278,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,70,0,2048,0.9985351562,2045,3,1166.7734375000,1.4304736853,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,70,1,16,1.0000000000,16,0,14.9460821152,2.0151412487,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,80,0,2048,0.9980468750,2044,4,1146.3389892578,1.4501541853,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,80,1,16,1.0000000000,16,0,15.2365398407,2.0525486469,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,90,0,2048,0.9985351562,2045,3,1166.4426269531,1.0336441994,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,90,1,16,1.0000000000,16,0,14.7055053711,2.0377378464,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,100,0,2048,0.9990234375,2046,2,1154.5338134766,1.0566821098,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,100,1,16,1.0000000000,16,0,15.2270975113,2.1437199116,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,110,0,2048,0.9985351562,2045,3,1145.7366943359,1.4325635433,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,110,1,16,1.0000000000,16,0,15.4023017883,2.5281345844,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,120,0,2048,0.9995117188,2047,1,1169.4102783203,1.4753128290,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,120,1,16,1.0000000000,16,0,15.6362371445,2.6488378048,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,130,0,2048,0.9990234375,2046,2,1150.5006103516,1.4087650776,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,130,1,16,1.0000000000,16,0,15.6213932037,2.6450245380,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,140,0,2048,0.9985351562,2045,3,1151.6252441406,1.3514044285,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,140,1,16,1.0000000000,16,0,15.5875549316,2.6760635376,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,150,0,2048,0.9985351562,2045,3,1156.8409423828,1.2661197186,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,150,1,16,1.0000000000,16,0,15.6412019730,2.7251069546,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,160,0,2048,0.9980468750,2044,4,1155.0926513672,1.1771236658,0,0.0000000000,2048,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,160,1,16,1.0000000000,16,0,15.7402343750,2.6923444271,0,0.0000000000,16,1
exp12_rate044_A_patch_cb2048-16-20260701-163122,170,0,2048,0.9985351562,2045,3,1167.9671630859,1.3709516525,0,0.0000000000,2048,1
