run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,10,0,32,1.0000000000,32,0,26.3704795837,4.3346805573,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,10,1,16,0.9375000000,15,1,13.2220697403,2.2236189842,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,20,0,32,1.0000000000,32,0,26.7781391144,4.4573521614,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,20,1,16,0.9375000000,15,1,14.0891351700,2.1620926857,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,30,0,32,1.0000000000,32,0,26.4179191589,4.3932595253,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,30,1,16,0.9375000000,15,1,14.2445068359,2.1575672626,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,40,0,32,1.0000000000,32,0,26.6344985962,4.2942328453,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,40,1,16,0.9375000000,15,1,14.1975793839,2.1687729359,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,50,0,32,1.0000000000,32,0,26.5980434418,4.3205304146,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,50,1,16,0.9375000000,15,1,14.2626256943,2.2255346775,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,60,0,32,1.0000000000,32,0,26.0811500549,4.3764419556,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,60,1,16,0.9375000000,15,1,14.5553913116,2.2240979671,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,70,0,32,1.0000000000,32,0,26.7727756500,4.3030037880,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,70,1,16,0.9375000000,15,1,14.2693195343,2.2722899914,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,80,0,32,1.0000000000,32,0,26.0381698608,4.3367629051,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,80,1,16,1.0000000000,16,0,15.5695638657,4.4486684799,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,90,0,32,1.0000000000,32,0,26.0170841217,4.3752565384,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,90,1,16,1.0000000000,16,0,15.4963798523,4.6696271896,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,100,0,32,1.0000000000,32,0,25.9430580139,4.4436068535,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,100,1,16,1.0000000000,16,0,15.5776815414,4.7491259575,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,110,0,32,1.0000000000,32,0,25.6208744049,4.2852296829,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,110,1,16,1.0000000000,16,0,15.6575775146,4.9865541458,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,120,0,32,1.0000000000,32,0,25.2310085297,4.2179422379,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260805-163214,120,1,16,1.0000000000,16,0,15.7036409378,5.0023674965,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-142115,130,0,32,1.0000000000,32,0,25.4269809723,4.1739645004,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-142115,130,1,16,1.0000000000,16,0,15.7821226120,4.8791799545,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,140,0,32,1.0000000000,32,0,25.4244251251,4.1235632896,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,140,1,16,1.0000000000,16,0,15.7882814407,4.8413553238,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,150,0,32,1.0000000000,32,0,25.8973007202,4.1207189560,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,150,1,16,1.0000000000,16,0,15.7316999435,4.8254442215,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,160,0,32,1.0000000000,32,0,25.3178691864,4.0581955910,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,160,1,16,1.0000000000,16,0,15.6545448303,4.8067259789,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,170,0,32,1.0000000000,32,0,25.8227424622,4.0724196434,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,170,1,16,1.0000000000,16,0,15.8228912354,4.8966116905,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,180,0,32,1.0000000000,32,0,25.6207485199,4.0610284805,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,180,1,16,1.0000000000,16,0,15.7012224197,4.7510280609,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,190,0,32,1.0000000000,32,0,25.7429714203,4.0360684395,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,190,1,16,1.0000000000,16,0,15.6467552185,4.8349089622,0,0.0000000000,16,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,200,0,32,1.0000000000,32,0,25.7137527466,4.0047221184,0,0.0000000000,32,1
exp12_rate083_A_patch_cb32-16_res6-6-20260806-161512,200,1,16,1.0000000000,16,0,15.8032732010,4.7893877029,0,0.0000000000,16,1
