run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,1,0.15240864,0.16745991,0.04760149,0.04760149,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,2,0.04938391,0.09876287,0.03986119,0.03986119,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,3,0.04083455,0.08027776,0.03447096,0.03447096,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,4,0.03675091,0.07068658,0.03255856,0.03255856,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,5,0.03419840,0.06548665,0.03078777,0.03078777,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,6,0.03263844,0.06234767,0.02871958,0.02871958,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,7,0.03139514,0.06074728,0.02834175,0.02834175,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,8,0.03048118,0.05999898,0.02874006,0.02834175,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,9,0.02976345,0.06017663,0.02982251,0.02834175,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,10,0.02909140,0.06096748,0.02662398,0.02662398,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,11,0.02855423,0.06220995,0.02647846,0.02647846,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,12,0.02810145,0.06323195,0.02572005,0.02572005,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,13,0.02773707,0.06389908,0.02671360,0.02572005,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,14,0.02720794,0.06429488,0.02591988,0.02572005,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,15,0.02698723,0.06424876,0.02450497,0.02450497,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,16,0.02679068,0.06435839,0.02469370,0.02450497,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,17,0.02646046,0.06425085,0.02478889,0.02450497,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,18,0.02617907,0.06454065,0.02397754,0.02397754,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,19,0.02576437,0.06505802,0.02366722,0.02366722,1,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,20,0.02571644,0.06532284,0.02450067,0.02366722,0,Phase1-拓荒,0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,21,0.02541159,0.06592130,0.02368434,0.02366722,0,Phase2-退火(0%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,22,0.02533285,0.06647059,0.02384121,0.02366722,0,Phase2-退火(2%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,23,0.02498273,0.06693077,0.02227300,0.02227300,1,Phase2-退火(3%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,24,0.02474288,0.06742788,0.02462593,0.02227300,0,Phase2-退火(5%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,25,0.02440127,0.06831041,0.02259732,0.02227300,0,Phase2-退火(7%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,26,0.02428037,0.06932392,0.02668746,0.02227300,0,Phase2-退火(8%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,27,0.02448897,0.06974227,0.02293440,0.02227300,0,Phase2-退火(10%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,28,0.02410264,0.07081659,0.02228580,0.02227300,0,Phase2-退火(12%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,29,0.02386629,0.07181237,0.02168852,0.02168852,1,Phase2-退火(13%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,30,0.02388006,0.07223059,0.02227095,0.02168852,0,Phase2-退火(15%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,31,0.02358400,0.07317273,0.02142793,0.02142793,1,Phase2-退火(17%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,32,0.02341774,0.07358877,0.02134107,0.02134107,1,Phase2-退火(18%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,33,0.02324899,0.07431396,0.02162097,0.02134107,0,Phase2-退火(20%),0.000000,5e-05
quality_v2_C_full_unet2_ds8x2_k16-32-one_step_mse-001-gpu3,34,0.02308496,0.07497929,0.02414804,0.02134107,0,Phase2-退火(22%),0.000000,5e-05
