epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,23.049849,0.876360,32.3,0.9777,0
10,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.152292,0.895091,32.3,0.9777,0
20,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,24.895599,0.909127,32.3,0.9777,0
30,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.155023,0.912707,32.3,0.9777,0
40,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.257110,0.917663,32.3,0.9777,0
50,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.517937,0.919791,32.3,0.9777,0
60,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.768796,0.923472,32.3,0.9777,0
70,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.780321,0.925093,32.3,0.9777,0
80,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.917874,0.927465,32.3,0.9777,0
90,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.978203,0.928446,32.3,0.9777,0
100,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.973018,0.928535,32.3,0.9777,0
110,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.077579,0.929171,32.3,0.9777,0
120,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.036924,0.930514,32.3,0.9777,0
130,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.036924,0.930514,32.3,0.9777,0
140,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,25.997223,0.929993,32.3,0.9777,0
150,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.077689,0.930721,32.3,0.9777,0
160,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.077689,0.930721,32.3,0.9777,0
170,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.079163,0.930690,32.3,0.9777,0
180,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.196420,0.931916,32.3,0.9777,0
190,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.171634,0.930965,32.3,0.9777,0
200,checkpoints/quality_v2_C_full_unet2_ds8x2_k64-256/best_vq_deepsc.pth,26.171634,0.930965,32.3,0.9777,0
