epoch_seen,snapshot,no_channel_psnr,no_channel_ms_ssim,target_psnr,target_ms_ssim,upper_bound_passed
5,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,22.674733,0.875089,32.3,0.9777,0
10,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.155606,0.886078,32.3,0.9777,0
20,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.120175,0.902812,32.3,0.9777,0
30,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,23.757638,0.907099,32.3,0.9777,0
40,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.294797,0.909267,32.3,0.9777,0
50,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.529070,0.911235,32.3,0.9777,0
60,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.614508,0.911750,32.3,0.9777,0
70,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.583567,0.913518,32.3,0.9777,0
80,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.603048,0.914267,32.3,0.9777,0
90,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.602132,0.917190,32.3,0.9777,0
100,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.707405,0.918032,32.3,0.9777,0
110,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,24.932419,0.919721,32.3,0.9777,0
120,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.027724,0.921345,32.3,0.9777,0
130,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.208683,0.921892,32.3,0.9777,0
140,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.208683,0.921892,32.3,0.9777,0
150,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.196358,0.921300,32.3,0.9777,0
160,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.099920,0.921771,32.3,0.9777,0
170,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.047532,0.921302,32.3,0.9777,0
180,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.204064,0.922001,32.3,0.9777,0
190,checkpoints/quality_v2_unet2_ds8x2_k16-32/best_vq_deepsc.pth,25.106098,0.921260,32.3,0.9777,0
