experiment,run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact,source_log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,10,0,16384,0.9973000000000001,16340,44,5588.0,0.6147,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,10,1,256,1.0,256,0,204.1,2.1291,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,20,0,16384,0.9990000000000001,16367,17,5646.8,0.3992,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,20,1,256,1.0,256,0,210.1,1.9021,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,30,0,16384,0.9990000000000001,16368,16,5561.9,0.8774,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,30,1,256,1.0,256,0,209.2,1.7783,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,40,0,16384,0.9994,16374,10,5706.2,0.5732,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,40,1,256,1.0,256,0,213.3,1.7756,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,50,0,16384,0.9991,16370,14,5696.4,0.9511,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,50,1,256,1.0,256,0,218.1,1.6935,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,60,0,16384,0.9989,16366,18,5620.1,1.0152,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,60,1,256,1.0,256,0,218.3,1.6157,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
