step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,16x2,16,2,128,12.617145895957947,0.49591231598327357,0.6268520001322031,0.2352833696641028,1.0,6.992055246948029,0.0,0.0,0.7262555360794067,,,26.48615664243698,0.01306825876235962,20.259625069300334,True,16,131072,16,1.0,11.988122944652241,0,0,0.0,0.7356607913970947,2,32768,2,1.0,1.9959875492438155,0,0,0.0,0.7262555360794067
2,16x2,16,2,128,13.365060418844223,0.5392874023187235,0.6190498396754265,0.20114043867215514,1.0,7.0719419134380335,0.0,0.0,0.7235689163208008,,,26.48615664243698,0.015848815441131592,20.494798157612482,True,16,131072,16,1.0,12.144015492091757,0,0,0.0,0.7235689163208008,2,32768,2,1.0,1.99986833478431,0,0,0.0,1.2263433933258057
3,16x2,16,2,128,12.218473941087723,0.42830778979702244,0.6337976548820734,0.25936280004680157,1.0,6.658081213754773,0.0,0.0,0.4760088622570038,,,26.48615664243698,0.003728628158569336,20.14922133485476,True,16,131072,16,1.0,11.322957986312657,0,0,0.0,0.4760088622570038,2,32768,2,1.0,1.9932044411968886,0,0,0.0,0.6657493710517883
4,16x2,16,2,128,12.71207571029663,0.4703430282906417,0.626393511891365,0.22984632244333625,1.0,7.052743595393348,0.0,0.0,0.4588794410228729,,,26.48615664243698,0.001489877700805664,20.451593852043153,True,16,131072,16,1.0,12.109316298159621,0,0,0.0,0.4588794410228729,2,32768,2,1.0,1.996170892627075,0,0,0.0,0.9479326009750366
5,16x2,16,2,128,11.729368954896927,0.46803681383571055,0.6585024856030941,0.2942817620933056,1.0,5.496309581498247,0.0,0.0,0.4012661874294281,,,26.48615664243698,0.022296607494354248,18.500749121109646,True,16,131072,16,1.0,8.992664238839787,0,0,0.0,0.4012661874294281,2,32768,2,1.0,1.999954924156707,0,0,0.0,1.0474247932434082
6,16x2,16,2,128,12.343454390764236,0.4800879906686525,0.6440347526222467,0.2530676946043968,1.0,6.038900234178784,0.0,0.0,0.7308185696601868,,,26.48615664243698,0.007824063301086426,19.611949843168258,True,16,131072,16,1.0,10.097732122314289,0,0,0.0,0.7308185696601868,2,32768,2,1.0,1.980068346043279,0,0,0.0,1.1713441610336304
7,16x2,16,2,128,12.557092726230621,0.5176519603268191,0.6416510175913572,0.24590675067156553,1.0,6.446982913386437,0.0,0.0,0.7865057587623596,,,26.48615664243698,-3.993511199951172e-06,20.16318303346634,True,16,131072,16,1.0,10.895016121437042,0,0,0.0,0.7865057587623596,2,32768,2,1.0,1.998949705335833,0,0,0.0,1.4813939332962036
8,16x2,16,2,128,12.670322954654694,0.5030174644427515,0.6336669232696295,0.23321864753961563,1.0,6.69869895073151,0.0,0.0,0.8445904850959778,,,26.48615664243698,0.0007911324501037598,20.387993077437084,True,16,131072,16,1.0,11.405486304391973,0,0,0.0,0.8445904850959778,2,32768,2,1.0,1.9919115970710461,0,0,0.0,1.6404613256454468
9,16x2,16,2,128,11.034085750579834,0.422288163866478,0.7732931263744831,0.3690909016877413,1.0,6.98415105073178,0.0,0.0,1.6506373882293701,,,26.48615664243698,0.03038865327835083,20.033081134160362,True,16,131072,16,1.0,11.969380267532486,0,0,0.0,1.6506373882293701,2,32768,2,1.0,1.998921833931074,0,0,0.0,2.6732208728790283
10,16x2,16,2,128,12.539323806762695,0.48652205714260766,0.6772453431040049,0.24408890632912517,1.0,7.223654602052787,0.0,0.0,1.2456543445587158,,,26.48615664243698,0.0033400654792785645,20.520446983973187,True,16,131072,16,1.0,12.480788570431255,0,0,0.0,1.2456543445587158,2,32768,2,1.0,1.9665206336743193,0,0,0.0,2.6876299381256104
