step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,2048x2048,2048,2048,128,26.449649155139923,0.9692844433545519,0.29576977621763945,0.01008936608559452,0.996337890625,1297.4614220177955,7.5,0.0,0.21609190106391907,,,26.48615664243698,0.036507487297058105,22.954767441749574,True,2048,131072,2046,0.9990234375,990.8646172668402,2,0,0.0,0.5311871767044067,2048,32768,2035,0.99365234375,1604.058226768751,13,0,0.0,0.21609190106391907
1,2048x16,2048,16,128,24.665103435516357,0.9505649850514346,0.33993918634951115,0.014876621076837182,0.999755859375,510.344491925671,0.5,0.0,0.5311871767044067,,,26.48615664243698,0.036507487297058105,22.954767441749574,True,2048,131072,2047,0.99951171875,1006.1763869313482,1,0,0.0,0.5311871767044067,16,32768,16,1.0,14.512596919993765,0,0,0.0,1.3723132610321045
1,16x2,16,2,128,19.10448706150055,0.8122467986850764,0.5198413776233792,0.05108555860351771,1.0,8.273500643222011,0.0,0.0,3.023235321044922,,,26.48615664243698,0.036507487297058105,22.954767441749574,True,16,131072,16,1.0,14.549852784500867,0,0,0.0,3.023235321044922,2,32768,2,1.0,1.9971485019431545,0,0,0.0,14.082565307617188
1,1024x256,1024,256,128,25.519305109977722,0.9623944356114246,0.3203186094760895,0.012467001826735213,1.0,465.7461997058299,0.0,0.0,0.17204000055789948,,,26.48615664243698,0.036507487297058105,22.954767441749574,True,1024,131072,1024,1.0,765.8812744581761,0,0,0.0,0.2102746069431305,256,32768,256,1.0,165.61112495348368,0,0,0.0,0.17204000055789948
1,512x64,512,64,128,24.729967534542084,0.9534488336011941,0.3461967436596751,0.01475668977946043,1.0,208.04248357461094,0.0,0.0,0.3281918466091156,,,26.48615664243698,0.036507487297058105,22.954767441749574,True,512,131072,512,1.0,368.62321952866233,0,0,0.0,0.3281918466091156,64,32768,64,1.0,47.46174762055957,0,0,0.0,0.4419848918914795
1,64x16,64,16,128,23.035512924194336,0.9239958312645343,0.4178933324292302,0.02139747148612514,1.0,33.25552750295607,0.0,0.0,0.9301366806030273,,,26.48615664243698,0.036507487297058105,22.954767441749574,True,64,131072,64,1.0,51.78043448542167,0,0,0.0,0.9301366806030273,16,32768,16,1.0,14.730620520490461,0,0,0.0,1.5182541608810425
2,2048x2048,2048,2048,128,26.460297226905823,0.9692885286943881,0.2955385181121528,0.010073498473502696,0.99609375,1273.5732979399002,8.0,0.0,0.21609190106391907,,,26.48615664243698,0.025859415531158447,23.091325394312534,True,2048,131072,2046,0.9990234375,985.0315218548004,2,0,0.0,0.5311871767044067,2048,32768,2034,0.9931640625,1562.115074025,14,0,0.0,0.21609190106391907
2,2048x16,2048,16,128,24.821106493473053,0.9515799855824241,0.3366518123075366,0.014339653542265296,0.99951171875,497.11660236991344,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.025859415531158447,23.091325394312534,True,2048,131072,2046,0.9990234375,979.7593706314649,2,0,0.0,0.5311871767044067,16,32768,16,1.0,14.473834108361974,0,0,0.0,1.7031843662261963
2,16x2,16,2,128,19.182640433311462,0.8141834872058519,0.5246486719697714,0.050161048071458936,1.0,8.203884365886125,0.0,0.0,1.9957879781723022,,,26.48615664243698,0.025859415531158447,23.091325394312534,True,16,131072,16,1.0,14.40784279381158,0,0,0.0,1.9957879781723022,2,32768,2,1.0,1.9999259379606706,0,0,0.0,12.453612327575684
2,1024x256,1024,256,128,25.728992223739624,0.964101476005555,0.31200974341481924,0.011871726062963717,1.0,483.5249333798372,0.0,0.0,0.12943045794963837,,,26.48615664243698,0.025859415531158447,23.091325394312534,True,1024,131072,1024,1.0,785.9689575189764,0,0,0.0,0.12943045794963837,256,32768,256,1.0,181.08090924069805,0,0,0.0,0.13209982216358185
2,512x64,512,64,128,24.988462388515472,0.9561233868033905,0.33621698804199696,0.013939886295702308,1.0,220.81921902947306,0.0,0.0,0.3957585096359253,,,26.48615664243698,0.025859415531158447,23.091325394312534,True,512,131072,512,1.0,389.89669538735996,0,0,0.0,0.3957585096359253,64,32768,64,1.0,51.74174267158615,0,0,0.0,0.6050307154655457
2,64x16,64,16,128,23.229481041431427,0.926728488857274,0.41036365274339914,0.02047737769316882,1.0,33.56843684434189,0.0,0.0,0.6698591709136963,,,26.48615664243698,0.025859415531158447,23.091325394312534,True,64,131072,64,1.0,52.46107961011784,0,0,0.0,0.6698591709136963,16,32768,16,1.0,14.675794078565938,0,0,0.0,1.8381427526474
3,2048x2048,2048,2048,128,26.46002298593521,0.9694500521067092,0.29532783292233944,0.010085718764457852,0.996337890625,1305.9024677586583,7.5,0.0,0.21609190106391907,,,26.48615664243698,0.02613365650177002,23.21443873246511,True,2048,131072,2046,0.9990234375,999.6633621325262,2,0,0.0,0.5311871767044067,2048,32768,2035,0.99365234375,1612.1415733847903,13,0,0.0,0.21609190106391907
3,2048x16,2048,16,128,24.977827489376068,0.9529180739621332,0.33454022742807865,0.013850638293661177,0.99951171875,500.93227903791234,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.02613365650177002,23.21443873246511,True,2048,131072,2046,0.9990234375,987.0672658382634,2,0,0.0,0.5311871767044067,16,32768,16,1.0,14.797292237561212,0,0,0.0,1.9949675798416138
3,16x2,16,2,128,19.345836639404297,0.8180245433148714,0.5266225766390562,0.048350653727538884,1.0,7.911835189143493,0.0,0.0,2.742882013320923,,,26.48615664243698,0.02613365650177002,23.21443873246511,True,16,131072,16,1.0,13.82386064819746,0,0,0.0,2.742882013320923,2,32768,2,1.0,1.999809730089526,0,0,0.0,12.835848808288574
3,1024x256,1024,256,128,25.79739272594452,0.9643770772347164,0.3115279134362936,0.01167626831738744,1.0,474.33311106637933,0.0,0.0,0.29893821477890015,,,26.48615664243698,0.02613365650177002,23.21443873246511,True,1024,131072,1024,1.0,756.4760902861093,0,0,0.0,0.29893821477890015,256,32768,256,1.0,192.19013184664934,0,0,0.0,0.3722996413707733
3,512x64,512,64,128,25.116806864738464,0.9569285977449218,0.3335737669840455,0.013553814380429685,1.0,221.01799684033818,0.0,0.0,0.42603209614753723,,,26.48615664243698,0.02613365650177002,23.21443873246511,True,512,131072,512,1.0,387.0662809285735,0,0,0.0,0.42603209614753723,64,32768,64,1.0,54.96971275210288,0,0,0.0,0.6694269776344299
3,64x16,64,16,128,23.391648828983307,0.9283629800154967,0.4064692258834839,0.019722240103874356,1.0,34.26570475107893,0.0,0.0,0.7794716954231262,,,26.48615664243698,0.02613365650177002,23.21443873246511,True,64,131072,64,1.0,53.54104320375291,0,0,0.0,0.7794716954231262,16,32768,16,1.0,14.99036629840495,0,0,0.0,2.0811996459960938
4,2048x2048,2048,2048,128,26.469843327999115,0.9695984019895214,0.2955592358484864,0.010064740316011012,0.996337890625,1291.3014895387703,7.5,0.0,0.21609190106391907,,,26.48615664243698,0.01631331443786621,23.222247874736787,True,2048,131072,2046,0.9990234375,990.8266518414921,2,0,0.0,0.5311871767044067,2048,32768,2035,0.99365234375,1591.7763272360485,13,0,0.0,0.21609190106391907
4,2048x16,2048,16,128,25.040548384189606,0.9534426919812945,0.33318723551928997,0.013674796995474026,0.99951171875,497.52708847018926,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.01631331443786621,23.222247874736787,True,2048,131072,2046,0.9990234375,980.0070616328072,2,0,0.0,0.5311871767044067,16,32768,16,1.0,15.04711530757129,0,0,0.0,1.9912774562835693
4,16x2,16,2,128,19.271524727344513,0.8162511455878337,0.5209316555410624,0.048874098691158,1.0,7.769783642643455,0.0,0.0,2.9654581546783447,,,26.48615664243698,0.01631331443786621,23.222247874736787,True,16,131072,16,1.0,13.53957184876579,0,0,0.0,2.9654581546783447,2,32768,2,1.0,1.9999954365211199,0,0,0.0,13.424356460571289
4,1024x256,1024,256,128,25.82210236787796,0.9648323058666256,0.3115390194579959,0.011612006841460243,1.0,500.1150194220098,0.0,0.0,0.22967858612537384,,,26.48615664243698,0.01631331443786621,23.222247874736787,True,1024,131072,1024,1.0,799.9707338400638,0,0,0.0,0.22967858612537384,256,32768,256,1.0,200.2593050039559,0,0,0.0,0.2641597092151642
4,512x64,512,64,128,25.155650854110718,0.9574752015684727,0.3322122301906347,0.013444020180031657,1.0,232.29718087429214,0.0,0.0,0.3655267059803009,,,26.48615664243698,0.01631331443786621,23.222247874736787,True,512,131072,512,1.0,408.97532764001676,0,0,0.0,0.3655267059803009,64,32768,64,1.0,55.61903410856752,0,0,0.0,0.7262040972709656
4,64x16,64,16,128,23.499902307987213,0.9304044019807653,0.4037942420691252,0.019275354221463203,1.0,34.758889757512975,0.0,0.0,0.826886773109436,,,26.48615664243698,0.01631331443786621,23.222247874736787,True,64,131072,64,1.0,54.41072685829618,0,0,0.0,0.826886773109436,16,32768,16,1.0,15.107052656729769,0,0,0.0,1.9165575504302979
5,2048x2048,2048,2048,128,26.462785720825195,0.9695252155873726,0.2965223966166377,0.010067495226394385,0.99609375,1295.580380166294,8.0,0.0,0.21609190106391907,,,26.48615664243698,0.02337092161178589,23.109909756978357,True,2048,131072,2046,0.9990234375,983.1786071520693,2,0,0.0,0.5311871767044067,2048,32768,2034,0.9931640625,1607.9821531805185,14,0,0.0,0.21609190106391907
5,2048x16,2048,16,128,24.781938910484314,0.9514661771502186,0.3361083688214421,0.014437865611398593,0.99951171875,498.4402236949671,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.02337092161178589,23.109909756978357,True,2048,131072,2046,0.9990234375,981.9773710878193,2,0,0.0,0.5311871767044067,16,32768,16,1.0,14.903076302114853,0,0,0.0,1.5212825536727905
5,16x2,16,2,128,19.285746693611145,0.8177482979272234,0.5240195887163281,0.048758272430859506,1.0,7.842921163967169,0.0,0.0,2.802910327911377,,,26.48615664243698,0.02337092161178589,23.109909756978357,True,16,131072,16,1.0,13.687595178667175,0,0,0.0,2.802910327911377,2,32768,2,1.0,1.9982471492671636,0,0,0.0,14.04220199584961
5,1024x256,1024,256,128,25.656492710113525,0.9634343666096808,0.31637878715991974,0.012057764222845435,1.0,488.5602393578598,0.0,0.0,0.2889285981655121,,,26.48615664243698,0.02337092161178589,23.109909756978357,True,1024,131072,1024,1.0,801.1895463298989,0,0,0.0,0.2889285981655121,256,32768,256,1.0,175.93093238582074,0,0,0.0,0.29572272300720215
5,512x64,512,64,128,24.932767391204834,0.9557067185273679,0.3379714321345091,0.014115963072981685,1.0,227.7918887083868,0.0,0.0,0.27700403332710266,,,26.48615664243698,0.02337092161178589,23.109909756978357,True,512,131072,512,1.0,401.7048823573932,0,0,0.0,0.27700403332710266,64,32768,64,1.0,53.878895059380426,0,0,0.0,0.6744555234909058
5,64x16,64,16,128,23.275971710681915,0.9283456603026993,0.40715415962040424,0.020212255069054663,1.0,35.3406677088723,0.0,0.0,0.9183460474014282,,,26.48615664243698,0.02337092161178589,23.109909756978357,True,64,131072,64,1.0,55.56663449935556,0,0,0.0,0.9183460474014282,16,32768,16,1.0,15.114700918389051,0,0,0.0,1.56485116481781
6,2048x2048,2048,2048,128,26.441530406475067,0.9696411001716755,0.295233556535095,0.010119982849573717,0.99658203125,1295.1507720645593,7.0,0.0,0.21609190106391907,,,26.48615664243698,0.04462623596191406,23.19406681060791,True,2048,131072,2046,0.9990234375,989.1965578975618,2,0,0.0,0.5311871767044067,2048,32768,2036,0.994140625,1601.1049862315567,12,0,0.0,0.21609190106391907
6,2048x16,2048,16,128,25.05766797065735,0.9535581554379562,0.3326855096966028,0.013611864764243364,0.99951171875,511.2997813157116,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.04462623596191406,23.19406681060791,True,2048,131072,2046,0.9990234375,1007.6600304087377,2,0,0.0,0.5311871767044067,16,32768,16,1.0,14.939532222685393,0,0,0.0,1.5069292783737183
6,16x2,16,2,128,19.26291561126709,0.8175117790022275,0.520269462838769,0.049058029311709106,1.0,7.662479948221273,0.0,0.0,2.4419515132904053,,,26.48615664243698,0.04462623596191406,23.19406681060791,True,16,131072,16,1.0,13.3272085409891,0,0,0.0,2.4419515132904053,2,32768,2,1.0,1.997751355453448,0,0,0.0,12.929892539978027
6,1024x256,1024,256,128,25.75200444459915,0.9645268531847581,0.31035727821290493,0.011768400814617053,1.0,502.42390797685016,0.0,0.0,0.2682639956474304,,,26.48615664243698,0.04462623596191406,23.19406681060791,True,1024,131072,1024,1.0,817.2158618757338,0,0,0.0,0.2682639956474304,256,32768,256,1.0,187.63195407796647,0,0,0.0,0.27356651425361633
6,512x64,512,64,128,25.118780553340912,0.9572547658861493,0.33159662410616875,0.01349498116178438,1.0,236.3256498249541,0.0,0.0,0.3687115013599396,,,26.48615664243698,0.04462623596191406,23.19406681060791,True,512,131072,512,1.0,416.5436243276606,0,0,0.0,0.3687115013599396,64,32768,64,1.0,56.10767532224759,0,0,0.0,0.5725664496421814
6,64x16,64,16,128,23.428228676319122,0.9312026050708488,0.39743753150105476,0.01950848856358789,1.0,35.146939027206145,0.0,0.0,0.7105302810668945,,,26.48615664243698,0.04462623596191406,23.19406681060791,True,64,131072,64,1.0,55.26025243961533,0,0,0.0,0.7105302810668945,16,32768,16,1.0,15.033625614796957,0,0,0.0,1.5505955219268799
7,2048x2048,2048,2048,128,26.475042045116425,0.9695228791930639,0.2954503330402076,0.010049165546661243,0.99658203125,1279.7014677970042,7.0,0.0,0.21609190106391907,,,26.48615664243698,0.01111459732055664,23.24745245774587,True,2048,131072,2046,0.9990234375,965.8466765050828,2,0,0.0,0.5311871767044067,2048,32768,2036,0.994140625,1593.5562590889253,12,0,0.0,0.21609190106391907
7,2048x16,2048,16,128,24.986255526542664,0.9527739738856009,0.33417934365570545,0.013842828426277265,0.99951171875,509.541718988308,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.01111459732055664,23.24745245774587,True,2048,131072,2046,0.9990234375,1004.0383294023069,2,0,0.0,0.5311871767044067,16,32768,16,1.0,15.045108574309054,0,0,0.0,1.2607529163360596
7,16x2,16,2,128,19.369714617729187,0.821166022129055,0.5251668868586421,0.04769108642358333,1.0,7.841949656889148,0.0,0.0,2.621128559112549,,,26.48615664243698,0.01111459732055664,23.24745245774587,True,16,131072,16,1.0,13.684074731408941,0,0,0.0,2.621128559112549,2,32768,2,1.0,1.9998245823693543,0,0,0.0,12.310988426208496
7,1024x256,1024,256,128,25.767872095108032,0.9642720795754804,0.31087465211749077,0.011721615999704227,1.0,506.7044563768568,0.0,0.0,0.23933154344558716,,,26.48615664243698,0.01111459732055664,23.24745245774587,True,1024,131072,1024,1.0,827.680361615315,0,0,0.0,0.23933154344558716,256,32768,256,1.0,185.72855113839864,0,0,0.0,0.3482256829738617
7,512x64,512,64,128,25.117049038410187,0.9570574680486001,0.33228841330856085,0.013491277233697474,1.0,239.2153913640825,0.0,0.0,0.26340046525001526,,,26.48615664243698,0.01111459732055664,23.24745245774587,True,512,131072,512,1.0,422.2356245464678,0,0,0.0,0.26340046525001526,64,32768,64,1.0,56.19515818169717,0,0,0.0,0.7487635016441345
7,64x16,64,16,128,23.58538818359375,0.9326419091556061,0.3949587168172002,0.01895878024515696,1.0,35.49298339085978,0.0,0.0,0.8633877635002136,,,26.48615664243698,0.01111459732055664,23.24745245774587,True,64,131072,64,1.0,55.65992268173547,0,0,0.0,0.8633877635002136,16,32768,16,1.0,15.326044099984077,0,0,0.0,1.3650572299957275
8,2048x2048,2048,2048,128,26.446938455104828,0.9694493299254321,0.29629885219037533,0.010101376596139744,0.99658203125,1257.5431936875407,7.0,0.0,0.21609190106391907,,,26.48615664243698,0.03921818733215332,23.14992376168569,True,2048,131072,2046,0.9990234375,949.7148955916755,2,0,0.0,0.5311871767044067,2048,32768,2036,0.994140625,1565.371491783406,12,0,0.0,0.21609190106391907
8,2048x16,2048,16,128,24.948494136333466,0.9529343269326801,0.33493249770253897,0.013937853538664058,0.99951171875,506.7739892651358,1.0,0.0,0.5311871767044067,,,26.48615664243698,0.03921818733215332,23.14992376168569,True,2048,131072,2046,0.9990234375,998.665454766866,2,0,0.0,0.5311871767044067,16,32768,16,1.0,14.882523763405642,0,0,0.0,1.4596307277679443
8,16x2,16,2,128,19.302698731422424,0.8207700603774095,0.5276637701317668,0.04862587887328118,1.0,7.842238216796075,0.0,0.0,2.5818166732788086,,,26.48615664243698,0.03921818733215332,23.14992376168569,True,16,131072,16,1.0,13.684636056432907,0,0,0.0,2.5818166732788086,2,32768,2,1.0,1.9998403771592437,0,0,0.0,11.875117301940918
