epoch,stage,train_profile_loss,validation_score,weighted_mean_psnr,worst_profile,worst_psnr,teacher_drop_db,eligible,best_score,covered_profiles,min_sample_count,max_sample_count,layer0_vq_weight,layer1_vq_weight,channel_probability,seconds
1,joint_lite,0.2736105694071198,23.52741658290227,24.380707333485283,16x2,20.11425358057022,0.2517045736312866,True,23.52741658290227,121,24,3237,0.25,0.5,0.0,911.7273244857788
2,joint_lite,0.2786831127752231,23.59235316912333,24.43133683999379,16x2,20.23641848564148,0.24801790714263916,True,23.59235316912333,121,52,6474,0.25,0.5,0.0,917.6103827953339
3,joint_lite,0.2790528628597292,23.55971595446269,24.382203956445057,16x2,20.269763946533203,0.30622732639312744,False,23.59235316912333,121,80,9711,0.25,0.5,0.0,911.4951171875
4,joint_lite,0.2780639594600131,23.589839299519856,24.41426787773768,16x2,20.29212498664856,0.27274757623672485,True,23.59235316912333,121,108,12948,0.25,0.5,0.0,914.1745367050171
5,joint_lite,0.2759634218221942,23.592665632565815,24.405513952175774,16x2,20.341272354125977,0.29853785037994385,True,23.592665632565815,121,134,16185,0.25,0.5,0.0,919.711178779602
6,joint_lite,0.2756224788448981,23.608549038569134,24.418545653422672,16x2,20.36856257915497,0.3050645589828491,False,23.592665632565815,121,160,19422,0.25,0.5,0.0,916.5451922416687
7,joint_lite,0.27419879473726644,23.655451651414236,24.457791666189827,16x2,20.44609159231186,0.28052204847335815,True,23.655451651414236,121,188,22659,0.25,0.5,0.0,920.1727530956268
8,joint_lite,0.2731659972067566,23.610237872600557,24.39997372031212,16x2,20.451294481754303,0.33469289541244507,False,23.655451651414236,121,216,25896,0.25,0.5,0.0,917.7655396461487
9,joint_lite,0.27208260234752996,23.5960543513298,24.396248817443844,16x2,20.395276486873627,0.3572848439216614,False,23.655451651414236,121,244,29133,0.25,0.5,0.0,913.7125515937805
10,joint_lite,0.271619533773367,23.666866525014242,24.466931472222008,16x2,20.466606736183167,0.2716299891471863,True,23.666866525014242,121,270,32370,0.25,0.5,0.0,871.6502678394318
11,joint_lite,0.27046716956922545,23.63875218629837,24.442608952522278,16x2,20.42332512140274,0.2914620637893677,True,23.666866525014242,121,296,35607,0.25,0.5,0.0,916.3318998813629
12,joint_lite,0.2702778312085604,23.679194438457486,24.47737869620323,16x2,20.486457407474518,0.27066612243652344,True,23.679194438457486,121,324,38844,0.25,0.5,0.0,914.7562041282654
13,joint_lite,0.2696234633514663,23.67120590607325,24.462056299050644,16x2,20.507804334163666,0.2943568229675293,True,23.679194438457486,121,352,42081,0.25,0.5,0.0,922.9457015991211
14,joint_lite,0.2699588404728813,23.69177252054215,24.47750696539879,16x2,20.54883474111557,0.27001577615737915,True,23.69177252054215,121,380,45318,0.25,0.5,0.0,917.310010433197
15,joint_lite,0.26923555751640826,23.67531056801478,24.460084160168964,16x2,20.53621619939804,0.3058212399482727,False,23.69177252054215,121,406,48555,0.25,0.5,0.0,915.8184044361115
16,joint_lite,0.2689342880056679,23.699783734480537,24.483243604501084,16x2,20.565944254398346,0.27787935733795166,True,23.699783734480537,121,432,51792,0.25,0.5,0.0,917.030503988266
17,joint_lite,0.26860608297149197,23.65753144820531,24.43228588501612,16x2,20.558513700962067,0.3362312316894531,False,23.699783734480537,121,460,55029,0.25,0.5,0.0,915.3608312606812
18,joint_lite,0.2685195379787405,23.72735820611318,24.51096190015475,16x2,20.5929434299469,0.26084327697753906,True,23.72735820611318,121,488,58266,0.25,0.5,0.0,915.1858687400818
19,joint_lite,0.2687073091438995,23.72428331772486,24.51217796405156,16x2,20.57270473241806,0.25842612981796265,True,23.72735820611318,121,516,61503,0.25,0.5,0.0,913.9932599067688
20,joint_lite,0.26867379483509546,23.716022205352782,24.498530805110928,16x2,20.58598780632019,0.2758910655975342,True,23.72735820611318,121,542,64740,0.25,0.5,0.0,917.7323830127716
21,joint_lite,0.26859476722766534,23.711654551823933,24.49708474675814,16x2,20.569933772087097,0.2690843343734741,True,23.72735820611318,121,568,67977,0.25,0.5,0.0,917.1881232261658
22,joint_lite,0.2687441012827366,23.744199752807617,24.525277882814407,16x2,20.619887232780457,0.25045686960220337,True,23.744199752807617,121,596,71214,0.25,0.5,0.0,915.8165051937103
23,joint_lite,0.2696839049377944,23.733702246348066,24.51389839251836,16x2,20.61291766166687,0.2542378902435303,True,23.744199752807617,121,624,74451,0.25,0.5,0.0,899.5225222110748
24,joint_lite,0.26994462698153693,23.748158093293508,24.531052539745964,16x2,20.616580307483673,0.24282318353652954,True,23.748158093293508,121,652,77688,0.25,0.5,0.0,916.891318321228
25,joint_lite,0.2696548482014173,23.728543150424958,24.508700877428055,16x2,20.607912242412567,0.2588650584220886,True,23.748158093293508,121,678,80925,0.25,0.5,0.0,915.7106084823608
26,joint_lite,0.2702944405058894,23.74509924650192,24.524718582630154,16x2,20.626621901988983,0.24884265661239624,True,23.748158093293508,121,704,84162,0.25,0.5,0.0,911.3476028442383
27,joint_lite,0.2699359243716682,23.746703318754832,24.518273015817005,16x2,20.660424530506134,0.25343841314315796,True,23.748158093293508,121,732,87399,0.25,0.5,0.0,920.0988125801086
28,joint_lite,0.27025076260199654,23.77095878124237,24.544150054454803,16x2,20.67819368839264,0.23822623491287231,True,23.77095878124237,121,760,90636,0.25,0.5,0.0,920.3198988437653
29,joint_lite,0.27113419036752956,23.7656170129776,24.53556829690933,16x2,20.68581187725067,0.24320244789123535,True,23.77095878124237,121,788,93873,0.25,0.5,0.0,915.0353670120239
30,joint_lite,0.27072937915109513,23.77203392187754,24.54411481817563,16x2,20.68371033668518,0.23872673511505127,True,23.77203392187754,121,814,97110,0.25,0.5,0.0,910.3137147426605
31,joint_lite,0.2709954355634007,23.770233130455015,24.542297095060345,16x2,20.68197727203369,0.24311691522598267,True,23.77203392187754,121,840,100347,0.25,0.5,0.0,920.3296890258789
32,joint_lite,0.27164167329790223,23.778150788942973,24.548714925845463,16x2,20.695894241333008,0.24050867557525635,True,23.778150788942973,121,868,103584,0.25,0.5,0.0,913.980544090271
33,joint_lite,0.27129496711046086,23.77616346677144,24.547788808743153,16x2,20.689662098884583,0.2404015064239502,True,23.778150788942973,121,896,106821,0.25,0.5,0.0,911.6914134025574
34,joint_lite,0.27198126111137394,23.77894889911016,24.55169896284739,16x2,20.687948644161224,0.23614639043807983,True,23.77894889911016,121,924,110058,0.25,0.5,0.0,920.983166217804
35,joint_lite,0.2716197471872153,23.781968029340106,24.550988684097923,16x2,20.705885410308838,0.24048608541488647,True,23.781968029340106,121,950,113295,0.25,0.5,0.0,910.2854747772217
36,joint_lite,0.2722488481906445,23.784287703037265,24.555371791124344,16x2,20.699951350688934,0.234422504901886,True,23.784287703037265,121,976,116532,0.25,0.5,0.0,933.660359621048
37,joint_lite,0.2732529698312628,23.781374017397564,24.553033610184986,16x2,20.694735646247864,0.23594403266906738,True,23.784287703037265,121,1004,119769,0.25,0.5,0.0,935.5870532989502
38,joint_lite,0.27237659556139615,23.78494852383931,24.55692995587984,16x2,20.697022795677185,0.2339109182357788,True,23.78494852383931,121,1032,123006,0.25,0.5,0.0,928.6721467971802
39,joint_lite,0.2731243830806022,23.78566416501999,24.557094514369965,16x2,20.699942767620087,0.23397117853164673,True,23.78566416501999,121,1060,126243,0.25,0.5,0.0,936.8149359226227
40,joint_lite,0.2733070842895648,23.791749223073317,24.56165159742037,16x2,20.71213972568512,0.23465102910995483,True,23.791749223073317,121,1086,129480,0.25,0.5,0.0,938.800206899643
