step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,2048x2048,2048,2048,128,26.234452068805695,0.9660181099398095,0.3027518945746124,0.010548670936259441,0.9912109375,1160.7032524434753,18.0,0.0,0.21609190106391907,,,26.48615664243698,0.2517045736312866,23.52741658290227,True,2048,131072,2045,0.99853515625,895.7067249135293,3,0,0.0,0.5311871767044067,2048,32768,2015,0.98388671875,1425.6997799734213,33,0,0.0,0.21609190106391907
2,2048x2048,2048,2048,128,26.238138735294342,0.9664000678040849,0.30359329795464873,0.01055154601635877,0.9892578125,1145.8640628735184,22.0,0.0,0.21609190106391907,,,26.48615664243698,0.24801790714263916,23.59235316912333,True,2048,131072,2044,0.998046875,893.2895343788272,4,0,0.0,0.5311871767044067,2048,32768,2008,0.98046875,1398.4385913682095,40,0,0.0,0.21609190106391907
3,2048x2048,2048,2048,128,26.179929316043854,0.9659819204030273,0.3028200613334775,0.010699640435632318,0.990966796875,1165.7678884333532,18.5,0.0,0.21609190106391907,,,26.48615664243698,0.30622732639312744,23.55971595446269,False,2048,131072,2045,0.99853515625,897.8971586563742,3,0,0.0,0.5311871767044067,2048,32768,2014,0.9833984375,1433.6386182103322,34,0,0.0,0.21609190106391907
4,2048x2048,2048,2048,128,26.213409066200256,0.9665782775248594,0.30424238182604313,0.010616824802127667,0.98876953125,1137.4280020101928,23.0,0.0,0.21609190106391907,,,26.48615664243698,0.27274757623672485,23.589839299519856,True,2048,131072,2044,0.998046875,884.0795687839543,4,0,0.0,0.5311871767044067,2048,32768,2006,0.9794921875,1390.7764352364313,42,0,0.0,0.21609190106391907
5,2048x2048,2048,2048,128,26.187618792057037,0.9665169202383646,0.3037758218124509,0.01068549114279449,0.989501953125,1140.3826049688032,21.5,0.0,0.21609190106391907,,,26.48615664243698,0.29853785037994385,23.592665632565815,True,2048,131072,2044,0.998046875,890.9055172381007,4,0,0.0,0.5311871767044067,2048,32768,2009,0.98095703125,1389.8596926995056,39,0,0.0,0.21609190106391907
6,2048x2048,2048,2048,128,26.181092083454132,0.9662627963201704,0.30414392706006765,0.010690101538784802,0.98876953125,1140.6554953609464,23.0,0.0,0.21609190106391907,,,26.48615664243698,0.3050645589828491,23.608549038569134,False,2048,131072,2044,0.998046875,889.2266613641733,4,0,0.0,0.5311871767044067,2048,32768,2006,0.9794921875,1392.0843293577195,42,0,0.0,0.21609190106391907
7,2048x2048,2048,2048,128,26.205634593963623,0.9663118705879499,0.30435854475945234,0.010630817705532536,0.98876953125,1135.068082139,23.0,0.0,0.21609190106391907,,,26.48615664243698,0.28052204847335815,23.655451651414236,True,2048,131072,2044,0.998046875,886.000520433494,4,0,0.0,0.5311871767044067,2048,32768,2006,0.9794921875,1384.1356438445057,42,0,0.0,0.21609190106391907
8,2048x2048,2048,2048,128,26.151463747024536,0.9654598594979834,0.30646164529025555,0.010734232637332752,0.98876953125,1132.1372557681589,23.0,0.0,0.21609190106391907,,,26.48615664243698,0.33469289541244507,23.610237872600557,False,2048,131072,2044,0.998046875,885.1748440343285,4,0,0.0,0.5311871767044067,2048,32768,2006,0.9794921875,1379.099667501989,42,0,0.0,0.21609190106391907
9,2048x2048,2048,2048,128,26.12887179851532,0.9663908779154236,0.30397630482912064,0.010835996028617956,0.9892578125,1143.4715054327735,22.0,0.0,0.21609190106391907,,,26.48615664243698,0.3572848439216614,23.5960543513298,False,2048,131072,2044,0.998046875,885.8818870202974,4,0,0.0,0.5311871767044067,2048,32768,2008,0.98046875,1401.0611238452495,40,0,0.0,0.21609190106391907
10,2048x2048,2048,2048,128,26.214526653289795,0.9664082962465184,0.30563225876539946,0.010609615696012042,0.98876953125,1134.7984969310914,23.0,0.0,0.21609190106391907,,,26.48615664243698,0.2716299891471863,23.666866525014242,True,2048,131072,2044,0.998046875,881.5137262705223,4,0,0.0,0.5311871767044067,2048,32768,2006,0.9794921875,1388.0832675916608,42,0,0.0,0.21609190106391907
