epoch,stage,train_profile_loss,validation_score,weighted_mean_psnr,worst_profile,worst_psnr,teacher_drop_db,eligible,best_score,covered_profiles,min_sample_count,max_sample_count,layer0_vq_weight,layer1_vq_weight,channel_probability,seconds
1,channel_finetune,0.27225140908988305,23.770771686236063,24.5380535920461,16x2,20.70164406299591,0.24298030138015747,True,23.770771686236063,121,24,3237,0.25,0.5,0.0,942.1249897480011
2,channel_finetune,0.2708129653683746,23.780721453825635,24.550755461057026,16x2,20.700585424900055,0.240650475025177,True,23.780721453825635,121,52,6474,0.25,0.5,0.1111111111111111,936.2671804428101
3,channel_finetune,0.2709563485568368,23.761828434467315,24.53350695967674,16x2,20.675114333629608,0.2452656626701355,True,23.780721453825635,121,80,9711,0.25,0.5,0.2222222222222222,941.5619657039642
4,channel_finetune,0.27107656919039214,23.768361584345502,24.535037686427433,16x2,20.70165717601776,0.24486613273620605,True,23.780721453825635,121,108,12948,0.25,0.5,0.3333333333333333,945.8308007717133
5,channel_finetune,0.26953240994572325,23.768698132038114,24.534532487392422,16x2,20.70536071062088,0.24549806118011475,True,23.780721453825635,121,134,16185,0.25,0.5,0.4444444444444444,944.1305892467499
6,channel_finetune,0.2704961713237166,23.76266360680262,24.531478871901825,16x2,20.687402546405792,0.2576916813850403,True,23.780721453825635,121,160,19422,0.25,0.5,0.5555555555555556,955.117219209671
7,channel_finetune,0.26971814132110167,23.773506395022075,24.541631539662678,16x2,20.701005816459656,0.24500828981399536,True,23.780721453825635,121,188,22659,0.25,0.5,0.6666666666666666,944.5959448814392
8,channel_finetune,0.27017998641379654,23.74588285287221,24.505033800999318,16x2,20.70927906036377,0.28054559230804443,True,23.780721453825635,121,216,25896,0.25,0.5,0.7777777777777778,949.386308670044
9,channel_finetune,0.26954659145926163,23.736256504058836,24.498791396617886,16x2,20.686116933822632,0.3132801055908203,False,23.780721453825635,121,244,29133,0.25,0.5,0.8888888888888888,953.7926142215729
10,channel_finetune,0.2710629684482111,23.773114800453186,24.538475751876828,16x2,20.711670994758606,0.24590694904327393,True,23.780721453825635,121,270,32370,0.25,0.5,1.0,949.6199717521667
11,channel_finetune,0.26994544886272803,23.76163587967555,24.530475815137226,16x2,20.686276137828827,0.25021761655807495,True,23.780721453825635,121,296,35607,0.25,0.5,1.0,952.3883452415466
12,channel_finetune,0.270281131573224,23.77153835296631,24.538938254117962,16x2,20.70193874835968,0.25495731830596924,True,23.780721453825635,121,324,38844,0.25,0.5,1.0,956.1264417171478
13,channel_finetune,0.2702928064035214,23.776862641175587,24.539336363474526,16x2,20.726967751979828,0.2549787759780884,True,23.780721453825635,121,352,42081,0.25,0.5,1.0,953.170999288559
14,channel_finetune,0.2713983443091614,23.771611460049947,24.534124622742333,16x2,20.721558809280396,0.25237226486206055,True,23.780721453825635,121,380,45318,0.25,0.5,1.0,950.8152363300323
15,channel_finetune,0.2713799791665861,23.767342364788053,24.532546311616894,16x2,20.706526577472687,0.2575213313102722,True,23.780721453825635,121,406,48555,0.25,0.5,1.0,956.2317628860474
16,channel_finetune,0.27083675870534724,23.768363511562345,24.535616666078564,16x2,20.699350893497467,0.24843692779541016,True,23.780721453825635,121,432,51792,0.25,0.5,1.0,946.7087321281433
17,channel_finetune,0.2712420165076915,23.760101902484898,24.52012288570404,16x2,20.720017969608307,0.26657623052597046,True,23.780721453825635,121,460,55029,0.25,0.5,1.0,937.8209552764893
18,channel_finetune,0.2712676594387339,23.784650619824728,24.54446322719256,16x2,20.745400190353394,0.2471715211868286,True,23.784650619824728,121,488,58266,0.25,0.5,1.0,942.0442793369293
19,channel_finetune,0.2711709279899022,23.78570580482483,24.543941915035244,16x2,20.752761363983154,0.2470031976699829,True,23.78570580482483,121,516,61503,0.25,0.5,1.0,942.9780504703522
20,channel_finetune,0.27159477126621684,23.77678170998891,24.53417713443438,16x2,20.74720001220703,0.2621224522590637,True,23.78570580482483,121,542,64740,0.25,0.5,1.0,937.4971797466278
21,channel_finetune,0.2713210086624303,23.775706990559897,24.53807128469149,16x2,20.72624981403351,0.2570655345916748,True,23.78570580482483,121,568,67977,0.25,0.5,1.0,930.7764549255371
22,channel_finetune,0.2711718922657212,23.788109421730045,24.55057266354561,16x2,20.738256454467773,0.24180561304092407,True,23.788109421730045,121,596,71214,0.25,0.5,1.0,951.4685590267181
23,channel_finetune,0.2721425650456995,23.78749711513519,24.54947447776794,16x2,20.739587664604187,0.24556022882461548,True,23.788109421730045,121,624,74451,0.25,0.5,1.0,945.6188788414001
24,channel_finetune,0.27219637911089684,23.78966862360636,24.550293882687882,16x2,20.747167587280273,0.2418866753578186,True,23.78966862360636,121,652,77688,0.25,0.5,1.0,946.5316262245178
