step,profile,k0,k1,num_images,psnr,ms_ssim,lpips,reconstruction_loss,active_ratio,perplexity,dead_code_count,collapse_ratio,min_l2_distance,src_reference_psnr,src_psnr_gap_db,teacher_psnr,teacher_psnr_drop_db,score,eligible,layer0_codebook_size,layer0_num_assignments,layer0_active_count,layer0_active_ratio,layer0_perplexity,layer0_dead_code_count,layer0_collapse_count,layer0_collapse_ratio,layer0_min_l2_distance,layer1_codebook_size,layer1_num_assignments,layer1_active_count,layer1_active_ratio,layer1_perplexity,layer1_dead_code_count,layer1_collapse_count,layer1_collapse_ratio,layer1_min_l2_distance
1,64x16,64,16,128,23.934513747692108,0.9376344022158393,0.37432583048939705,0.017524271155707538,1.0,34.056304823401874,0.0,0.0,1.5795536041259766,,,26.48615664243698,0.24298030138015747,23.770771686236063,True,64,131072,64,1.0,52.81374342980517,0,0,0.0,1.5795536041259766,16,32768,16,1.0,15.298866216998583,0,0,0.0,2.0808658599853516
2,64x16,64,16,128,23.934038877487183,0.9376060276126108,0.3742944002151489,0.017524902446893975,1.0,34.03338046141141,0.0,0.0,1.7776585817337036,,,26.48615664243698,0.240650475025177,23.780721453825635,True,64,131072,64,1.0,52.910222949284424,0,0,0.0,1.7776585817337036,16,32768,16,1.0,15.156537973538391,0,0,0.0,1.930692434310913
3,64x16,64,16,128,23.9199138879776,0.9372091608904468,0.3739223135635257,0.01757954602362588,1.0,34.23282483908564,0.0,0.0,1.4846088886260986,,,26.48615664243698,0.2452656626701355,23.761828434467315,True,64,131072,64,1.0,53.27891048444803,0,0,0.0,1.4846088886260986,16,32768,16,1.0,15.186739193723243,0,0,0.0,1.9773386716842651
4,64x16,64,16,128,23.908632278442383,0.937398435429806,0.37495817244052887,0.01761706269462593,1.0,34.23007695794166,0.0,0.0,1.602574348449707,,,26.48615664243698,0.24486613273620605,23.768361584345502,True,64,131072,64,1.0,53.264456521410764,0,0,0.0,1.602574348449707,16,32768,16,1.0,15.195697394472557,0,0,0.0,1.862430453300476
5,64x16,64,16,128,23.91005367040634,0.9370672292713844,0.37472768127918243,0.01762303352006711,1.0,34.30211395083602,0.0,0.0,1.5769975185394287,,,26.48615664243698,0.24549806118011475,23.768698132038114,True,64,131072,64,1.0,53.49701937408311,0,0,0.0,1.5769975185394287,16,32768,16,1.0,15.107208527588933,0,0,0.0,1.9572056531906128
6,64x16,64,16,128,23.92130947113037,0.9374759942576089,0.373834827914834,0.017560221313033253,1.0,34.16605916113938,0.0,0.0,1.5588525533676147,,,26.48615664243698,0.2576916813850403,23.76266360680262,True,64,131072,64,1.0,53.23235098618991,0,0,0.0,1.5588525533676147,16,32768,16,1.0,15.099767336088858,0,0,0.0,2.1715598106384277
7,64x16,64,16,128,23.911427915096283,0.9370164072800222,0.3743931604549289,0.017611575574846938,1.0,34.29787289293593,0.0,0.0,1.5724050998687744,,,26.48615664243698,0.24500828981399536,23.773506395022075,True,64,131072,64,1.0,53.445497922685014,0,0,0.0,1.5724050998687744,16,32768,16,1.0,15.150247863186838,0,0,0.0,1.9497627019882202
8,64x16,64,16,128,23.901089549064636,0.9367708974569392,0.376084191724658,0.017651192320045084,1.0,33.736679932451295,0.0,0.0,1.5251691341400146,,,26.48615664243698,0.28054559230804443,23.74588285287221,True,64,131072,64,1.0,52.27436255065976,0,0,0.0,1.5251691341400146,16,32768,16,1.0,15.198997314242824,0,0,0.0,2.045062780380249
9,64x16,64,16,128,23.905710577964783,0.9379226541789447,0.373610925860703,0.017623820051085204,1.0,34.07658244664557,0.0,0.0,1.4313006401062012,,,26.48615664243698,0.3132801055908203,23.736256504058836,False,64,131072,64,1.0,53.05923460686325,0,0,0.0,1.4313006401062012,16,32768,16,1.0,15.093930286427888,0,0,0.0,2.1201698780059814
10,64x16,64,16,128,23.928168952465057,0.9376381216130499,0.3727490734308958,0.0175366013427265,1.0,34.35309016527079,0.0,0.0,1.4957693815231323,,,26.48615664243698,0.24590694904327393,23.773114800453186,True,64,131072,64,1.0,53.59719340453949,0,0,0.0,1.4957693815231323,16,32768,16,1.0,15.1089869260021,0,0,0.0,2.270728349685669
