run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,10,src,0,2048,0.1508789062,309,1739,26.8394203186,0.9549403191,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,10,src,1,2048,0.0014648438,3,2045,2.9482951164,0.7131460905,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,10,raq,0,2048,0.8300781250,1700,348,333.4206848145,0.1184824258,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,10,raq,1,16,1.0000000000,16,0,11.9542999268,0.6554124355,0,0.0000000000,16,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,20,src,0,2048,0.3549804688,727,1321,80.8222122192,1.1242063046,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,20,src,1,2048,0.0014648438,3,2045,2.9927361012,0.7136133313,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,20,raq,0,2048,0.9448242188,1935,113,769.6676635742,0.2820626199,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,20,raq,1,16,1.0000000000,16,0,13.3349714279,0.7712247372,0,0.0000000000,16,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,30,src,0,2048,0.5415039062,1109,939,167.6091461182,1.0661978722,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,30,src,1,2048,0.0014648438,3,2045,2.9968552589,0.7135611773,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,30,raq,0,2048,0.9951171875,2038,10,963.8465576172,0.3498220742,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,30,raq,1,16,1.0000000000,16,0,13.7428827286,1.3097301722,0,0.0000000000,16,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,40,src,0,2048,0.6948242188,1423,625,267.7980346680,1.0522323847,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,40,src,1,2048,0.0014648438,3,2045,2.9970695972,0.7147526741,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,40,raq,0,2048,0.9990234375,2046,2,1210.2823486328,0.2216259092,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu2-20260713-181021,40,raq,1,16,1.0000000000,16,0,14.3332281113,0.7872813940,0,0.0000000000,16,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,50,src,0,2048,0.8813476562,1805,243,400.9871826172,1.3862290382,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,50,src,1,2048,0.0014648438,3,2045,2.9954166412,0.7154430151,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,50,raq,0,2048,0.9985351562,2045,3,687.0106201172,0.2561946213,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,50,raq,1,16,1.0000000000,16,0,13.3187551498,1.5378922224,0,0.0000000000,16,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,60,src,0,2048,0.9780273438,2003,45,486.5939941406,1.4460724592,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,60,src,1,2048,0.0014648438,3,2045,2.9992363453,0.7164998055,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,60,raq,0,2048,0.9995117188,2047,1,779.1775512695,0.3764619827,0,0.0000000000,2048,1
dynamic-raq-rvq-src2048-2048_ch256-512_gpu0-20260714-133033,60,raq,1,16,1.0000000000,16,0,14.3615617752,1.1782767773,0,0.0000000000,16,1
