run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,10,src,0,32,0.9062500000,29,3,14.0137262344,3.0508184433,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,10,src,1,32,0.7187500000,23,9,13.5794992447,1.8928954601,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,10,raq_stage0,0,16,1.0000000000,16,0,11.1462259293,4.1309695244,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,10,raq_stage0,1,4,1.0000000000,4,0,3.3343935013,7.6711411476,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,10,raq_stage1,0,16,1.0000000000,16,0,14.9354457855,5.8022408485,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,10,raq_stage1,1,4,0.2500000000,1,3,1.0000000000,0.0135316467,4,1.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,20,src,0,32,0.6562500000,21,11,14.4019994736,3.2338354588,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,20,src,1,32,0.5000000000,16,16,14.7959461212,3.3831043243,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,20,raq_stage0,0,16,1.0000000000,16,0,12.6337842941,4.5658097267,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,20,raq_stage0,1,4,1.0000000000,4,0,2.7538695335,2.3814992905,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,20,raq_stage1,0,16,1.0000000000,16,0,12.3268098831,2.5728678703,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,20,raq_stage1,1,4,1.0000000000,4,0,2.4145860672,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,30,src,0,32,0.7812500000,25,7,15.5334291458,3.1937708855,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,30,src,1,32,0.3750000000,12,20,3.9026765823,2.7020399570,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,30,raq_stage0,0,16,1.0000000000,16,0,14.0543851852,6.8438034058,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,30,raq_stage0,1,4,1.0000000000,4,0,3.9437973499,4.7211809158,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,30,raq_stage1,0,16,1.0000000000,16,0,12.0389423370,3.4279313087,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,30,raq_stage1,1,4,1.0000000000,4,0,3.1454260349,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,40,src,0,32,0.8437500000,27,5,16.4669227600,2.7930653095,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,40,src,1,32,0.5000000000,16,16,6.3004446030,2.8689658642,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,40,raq_stage0,0,16,1.0000000000,16,0,13.7596693039,6.1597909927,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,40,raq_stage0,1,4,1.0000000000,4,0,3.6955819130,5.3804731369,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,40,raq_stage1,0,16,1.0000000000,16,0,12.2212610245,3.3061935902,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,40,raq_stage1,1,4,1.0000000000,4,0,2.1677770615,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,50,src,0,32,0.9062500000,29,3,18.7433471680,2.8100035191,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,50,src,1,32,0.5000000000,16,16,11.6664686203,3.4299890995,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,50,raq_stage0,0,16,1.0000000000,16,0,14.0468807220,6.4100265503,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,50,raq_stage0,1,4,1.0000000000,4,0,3.6416871548,6.2296886444,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,50,raq_stage1,0,16,1.0000000000,16,0,12.5683603287,3.2188003063,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,50,raq_stage1,1,4,1.0000000000,4,0,1.7369265556,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,60,src,0,32,1.0000000000,32,0,23.0088424683,4.7535786629,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,60,src,1,32,0.5000000000,16,16,13.6829662323,3.3697028160,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,60,raq_stage0,0,16,1.0000000000,16,0,14.0898246765,5.9856371880,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,60,raq_stage0,1,4,1.0000000000,4,0,3.5852856636,5.3458461761,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,60,raq_stage1,0,16,1.0000000000,16,0,12.7022695541,3.0235447884,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,60,raq_stage1,1,4,1.0000000000,4,0,1.8457216024,0.0000431584,4,1.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,70,src,0,32,1.0000000000,32,0,24.4709625244,4.0287008286,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,70,src,1,32,0.5312500000,17,15,15.1307630539,4.2368607521,0,0.0000000000,32,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,70,raq_stage0,0,16,1.0000000000,16,0,13.8760375977,5.9290852547,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,70,raq_stage0,1,4,1.0000000000,4,0,3.3350470066,5.3989524841,0,0.0000000000,4,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,70,raq_stage1,0,16,1.0000000000,16,0,12.0437860489,3.1149270535,0,0.0000000000,16,1
independent-raq-rvq-src32-32-k2-32-d2-ch256-512_gpu4-20260820-213936,70,raq_stage1,1,4,1.0000000000,4,0,1.8359630108,0.0000000000,4,1.0000000000,4,1
