run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,10,src,0,64,0.4843750000,31,33,13.7723550797,1.8504869938,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,10,src,1,64,0.2812500000,18,46,7.9864668846,1.3066694736,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,10,raq_stage0,0,16,1.0000000000,16,0,11.3239345551,3.5283753872,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,10,raq_stage0,1,4,1.0000000000,4,0,2.8559434414,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,10,raq_stage1,0,16,1.0000000000,16,0,11.9254407883,3.2309033871,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,10,raq_stage1,1,4,1.0000000000,4,0,3.1166195869,0.0156250000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,20,src,0,64,0.3906250000,25,39,16.3314666748,2.5344011784,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,20,src,1,64,0.1250000000,8,56,7.4158773422,1.7529242039,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,20,raq_stage0,0,16,1.0000000000,16,0,11.5928964615,5.3033471107,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,20,raq_stage0,1,4,1.0000000000,4,0,3.0131471157,0.0234375000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,20,raq_stage1,0,16,1.0000000000,16,0,12.8303070068,2.2500405312,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,20,raq_stage1,1,4,0.7500000000,3,1,1.9722822905,0.0039062500,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,30,src,0,64,0.3906250000,25,39,18.0764656067,2.4232733250,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,30,src,1,64,0.1250000000,8,56,5.3888339996,1.7640492916,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,30,raq_stage0,0,16,1.0000000000,16,0,11.6886386871,5.0193414688,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,30,raq_stage0,1,4,1.0000000000,4,0,2.8204882145,0.0247052945,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400-scaled_gpu3-20260831-173424,30,raq_stage1,0,16,1.0000000000,16,0,13.2139816284,2.1559553146,0,0.0000000000,16,1
