run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,10,src,0,64,0.7343750000,47,17,14.7135076523,2.1168613434,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,10,src,1,64,0.1875000000,12,52,6.9375667572,1.0749096870,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,10,raq_stage0,0,16,1.0000000000,16,0,10.4179916382,4.1703495979,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,10,raq_stage0,1,4,1.0000000000,4,0,2.0408678055,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,10,raq_stage1,0,16,1.0000000000,16,0,11.0114316940,5.2973589897,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,10,raq_stage1,1,4,0.5000000000,2,2,1.0445089340,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,20,src,0,64,0.4218750000,27,37,17.4637012482,2.7469553947,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,20,src,1,64,0.1093750000,7,57,6.7290949821,1.1607161760,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,20,raq_stage0,0,16,1.0000000000,16,0,11.5209016800,4.7400441170,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,20,raq_stage0,1,4,1.0000000000,4,0,2.1206877232,0.0078125000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,20,raq_stage1,0,16,1.0000000000,16,0,12.6862401962,3.0333509445,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,20,raq_stage1,1,4,1.0000000000,4,0,1.9851802588,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,30,src,0,64,0.4375000000,28,36,19.9197063446,3.0351285934,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,30,src,1,64,0.1093750000,7,57,6.6071586609,1.2343481779,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,30,raq_stage0,0,16,1.0000000000,16,0,11.3973865509,4.9289879799,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,30,raq_stage0,1,4,1.0000000000,4,0,2.0629963875,0.0206699315,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,30,raq_stage1,0,16,1.0000000000,16,0,12.2020664215,2.3639292717,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,30,raq_stage1,1,4,1.0000000000,4,0,2.2515504360,0.0016914558,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,40,src,0,64,0.7343750000,47,17,21.4644069672,2.3215887547,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,40,src,1,64,0.1093750000,7,57,6.9025063515,1.2151744366,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,40,raq_stage0,0,16,1.0000000000,16,0,11.8291759491,5.1093153954,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,40,raq_stage0,1,4,1.0000000000,4,0,2.0217211246,0.0199180450,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,40,raq_stage1,0,16,1.0000000000,16,0,12.4868288040,1.9369608164,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,40,raq_stage1,1,4,1.0000000000,4,0,2.6508979797,0.0009455526,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,50,src,0,64,0.9375000000,60,4,26.9312591553,2.3600873947,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,50,src,1,64,0.1250000000,8,56,6.9174566269,1.1744962931,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,50,raq_stage0,0,16,1.0000000000,16,0,14.0370225906,5.1999039650,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,50,raq_stage0,1,4,1.0000000000,4,0,2.0917882919,0.0000000000,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,50,raq_stage1,0,16,1.0000000000,16,0,11.1252546310,3.7998893261,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,50,raq_stage1,1,4,1.0000000000,4,0,2.3490743637,0.0010066176,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,60,src,0,64,1.0000000000,64,0,39.5561981201,2.8330917358,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,60,src,1,64,0.1562500000,10,54,8.8847322464,1.1560255289,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,60,raq_stage0,0,16,1.0000000000,16,0,14.0052509308,6.1636309624,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,60,raq_stage0,1,4,1.0000000000,4,0,2.0131258965,0.0103349658,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,60,raq_stage1,0,16,1.0000000000,16,0,12.7722272873,2.6798648834,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,60,raq_stage1,1,4,1.0000000000,4,0,2.8785324097,0.0010918301,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,70,src,0,64,1.0000000000,64,0,45.4836311340,3.5044548512,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,70,src,1,64,0.1718750000,11,53,8.8183917999,1.1275951862,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,70,raq_stage0,0,16,1.0000000000,16,0,14.2011432648,5.5597553253,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,70,raq_stage0,1,4,1.0000000000,4,0,2.0011451244,0.0047841598,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,70,raq_stage1,0,16,1.0000000000,16,0,13.3956737518,2.5740966797,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,70,raq_stage1,1,4,1.0000000000,4,0,3.3660852909,0.0022242269,4,1.0000000000,4,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,80,src,0,64,1.0000000000,64,0,45.5897865295,3.5018970966,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,80,src,1,64,0.2500000000,16,48,12.7933750153,1.4234747887,0,0.0000000000,64,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,80,raq_stage0,0,16,1.0000000000,16,0,13.7527332306,5.4742631912,0,0.0000000000,16,1
independent-raq-rvq-src64-64-k2-64-d2-ch256-512-res6-6-ep400_gpu1-20260825-160609,80,raq_stage0,1,4,1.0000000000,4,0,2.0061302185,0.0000000000,4,1.0000000000,4,1
