run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,10,src,0,65536,0.2074737549,13597,51939,3427.4567871094,0.2296749651,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,10,src,1,65536,0.0000610352,4,65532,3.8652560711,0.5277866125,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,10,raq,0,16,1.0000000000,16,0,14.8435192108,1.9541227818,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,10,raq,1,2,1.0000000000,2,0,1.9815316200,6.9333496094,0,0.0000000000,2,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,20,src,0,65536,0.4355926514,28547,36989,9052.8085937500,0.1288322508,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,20,src,1,65536,0.0000610352,4,65532,3.9140415192,0.5263485909,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,20,raq,0,16,1.0000000000,16,0,14.9302263260,2.5032198429,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,20,raq,1,2,1.0000000000,2,0,1.9894047976,6.6299328804,0,0.0000000000,2,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,30,src,0,65536,0.4915008545,32211,33325,7994.1943359375,0.0880857185,32,0.0004882812,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,30,src,1,65536,0.0000762939,5,65531,3.9139163494,0.5198954940,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,30,raq,0,16,1.0000000000,16,0,14.3911533356,2.5764634609,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,30,raq,1,2,1.0000000000,2,0,1.9985160828,7.3581452370,0,0.0000000000,2,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,40,src,0,65536,0.5277862549,34589,30947,7429.6738281250,0.1441612691,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,40,src,1,65536,0.0000762939,5,65531,4.7925791740,0.5455768704,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,40,raq,0,16,1.0000000000,16,0,13.3079900742,3.0749754906,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,40,raq,1,2,1.0000000000,2,0,1.9880098104,7.2346768379,0,0.0000000000,2,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,50,src,0,65536,0.5641937256,36975,28561,8009.9150390625,0.1583477408,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,50,src,1,65536,0.0000762939,5,65531,4.9319653511,0.5496242642,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,50,raq,0,16,1.0000000000,16,0,13.8551788330,2.6668682098,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,50,raq,1,2,1.0000000000,2,0,1.9995306730,6.2546753883,0,0.0000000000,2,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,60,src,0,65536,0.5994720459,39287,26249,8678.9531250000,0.1475870013,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,60,src,1,65536,0.0000762939,5,65531,4.8366255760,0.5505435467,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,60,raq,0,16,1.0000000000,16,0,13.3543977737,3.3335218430,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,60,raq,1,2,1.0000000000,2,0,1.9887595177,5.8407797813,0,0.0000000000,2,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,70,src,0,65536,0.6689605713,43841,21695,9793.3095703125,0.2132397443,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,70,src,1,65536,0.0000762939,5,65531,4.7274460793,0.5467149615,0,0.0000000000,4096,0
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,70,raq,0,16,1.0000000000,16,0,13.5656528473,3.1596705914,0,0.0000000000,16,1
rate044_A_patch_cb16-2_ch512-1024-20260624-014822,70,raq,1,2,1.0000000000,2,0,1.9576097727,6.4666657448,0,0.0000000000,2,1
