run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,10,src,0,16,1.0000000000,16,0,8.1513166428,1.2564841509,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,10,src,1,4,0.5000000000,2,2,1.9990224838,3.2166972160,0,0.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,10,raq,0,16,1.0000000000,16,0,14.3538455963,7.2585902214,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,10,raq,1,4,1.0000000000,4,0,2.0634698868,0.0000000000,4,1.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,20,src,0,16,1.0000000000,16,0,11.7502288818,5.3337440491,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,20,src,1,4,0.5000000000,2,2,1.9973049164,3.2667469978,0,0.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,20,raq,0,16,1.0000000000,16,0,14.2802505493,7.3605980873,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,20,raq,1,4,1.0000000000,4,0,2.0923292637,0.0000000000,4,1.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,30,src,0,16,1.0000000000,16,0,12.6309032440,8.2828989029,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,30,src,1,4,0.5000000000,2,2,1.9931783676,3.2981252670,0,0.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,30,raq,0,16,1.0000000000,16,0,14.1176557541,7.6653437614,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,30,raq,1,4,1.0000000000,4,0,2.2972552776,0.0000000000,4,1.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,40,src,0,16,1.0000000000,16,0,13.3242082596,7.8927040100,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,40,src,1,4,0.5000000000,2,2,1.9978802204,3.3003287315,0,0.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,40,raq,0,16,1.0000000000,16,0,13.7889289856,8.0272741318,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,40,raq,1,4,1.0000000000,4,0,2.0462474823,0.0000000000,4,1.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,50,src,0,16,1.0000000000,16,0,13.3655033112,7.9177579880,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,50,src,1,4,0.5000000000,2,2,1.9986470938,3.2988188267,0,0.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,50,raq,0,16,1.0000000000,16,0,13.8772249222,7.6671862602,0,0.0000000000,16,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,50,raq,1,4,1.0000000000,4,0,2.0413634777,0.0000000000,4,1.0000000000,4,1
src16-4_raq2-16_raq2-4_curriculum_res6_ch256-512_gpu2-20260723-215004,60,src,0,16,1.0000000000,16,0,13.4740571976,7.8250274658,0,0.0000000000,16,1
