run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,10,src,0,64,0.7656250000,49,15,16.4198303223,1.0980138779,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,10,src,1,64,0.0468750000,3,61,2.9360284805,0.7018475533,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,10,raq,0,64,1.0000000000,64,0,58.3346252441,1.3712885380,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,10,raq,1,64,1.0000000000,64,0,56.8012695312,0.5774251223,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,20,src,0,64,0.9687500000,62,2,27.7978191376,1.3893768787,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,20,src,1,64,0.0468750000,3,61,2.9738371372,0.6925804615,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,20,raq,0,64,1.0000000000,64,0,57.1216659546,1.5392087698,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,20,raq,1,64,1.0000000000,64,0,56.4525146484,0.8600228429,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,30,src,0,64,1.0000000000,64,0,36.2228775024,1.4737781286,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,30,src,1,64,0.0468750000,3,61,2.9752962589,0.6963328719,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,30,raq,0,64,1.0000000000,64,0,54.3190460205,1.5521286726,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,30,raq,1,64,1.0000000000,64,0,51.8778152466,0.8879912496,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,40,src,0,64,1.0000000000,64,0,42.9124298096,2.2290201187,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,40,src,1,64,0.0468750000,3,61,2.9812102318,0.6980082393,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,40,raq,0,64,1.0000000000,64,0,54.2476921082,1.8014886379,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,40,raq,1,64,1.0000000000,64,0,54.5595626831,0.8273323178,0,0.0000000000,64,1
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,50,src,0,64,1.0000000000,64,0,48.4870910645,1.8599103689,0,0.0000000000,64,1
