run_id,epoch,train_recon,train_vq,train_distill,train_src_repulsion,val_recon,val_distill,val_src_repulsion,src_repulsion_weight,raq_distill_weight,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,1,0.23811120,0.66418669,0.00000000,0.00000000,0.21534492,0.00000000,0.00000000,0,0,0.21534492,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,2,0.11940940,0.26609707,0.00000000,0.00000000,0.19227263,0.00000000,0.00000000,0,0,0.19227263,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,3,0.09888654,0.17407359,0.00000000,0.00000000,0.21278124,0.00000000,0.00000000,0,0,0.19227263,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,4,0.08881291,0.14229401,0.00000000,0.00000000,0.16834971,0.00000000,0.00000000,0,0,0.16834971,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,5,0.08205585,0.12323710,0.00000000,0.00000000,0.16338097,0.00000000,0.00000000,0,0,0.16338097,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,6,0.07809398,0.11448201,0.00000000,0.00000000,0.17045033,0.00000000,0.00000000,0,0,0.16338097,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,7,0.07499054,0.10975185,0.00000000,0.00000000,0.17723587,0.00000000,0.00000000,0,0,0.16338097,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,8,0.07205505,0.10610064,0.00000000,0.00000000,0.17481310,0.00000000,0.00000000,0,0,0.16338097,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,9,0.06987912,0.10077991,0.00000000,0.00000000,0.16355332,0.00000000,0.00000000,0,0,0.16338097,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,10,0.06729526,0.09566422,0.00000000,0.00000000,0.17455461,0.00000000,0.00000000,0,0,0.16338097,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,11,0.06493198,0.08954831,0.00000000,0.00000000,0.15135925,0.00000000,0.00000000,0,0,0.15135925,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,12,0.06388765,0.08830722,0.00000000,0.00000000,0.14630586,0.00000000,0.00000000,0,0,0.14630586,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,13,0.06286060,0.08744942,0.00000000,0.00000000,0.14375923,0.00000000,0.00000000,0,0,0.14375923,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,14,0.06206727,0.08675909,0.00000000,0.00000000,0.15389145,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,15,0.06139742,0.08689396,0.00000000,0.00000000,0.15487716,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,16,0.05989696,0.08587322,0.00000000,0.00000000,0.15419270,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,17,0.05954159,0.08618152,0.00000000,0.00000000,0.14741289,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,18,0.05882357,0.08645608,0.00000000,0.00000000,0.14433251,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,19,0.05792761,0.08559159,0.00000000,0.00000000,0.16385155,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,20,0.05702809,0.08542492,0.00000000,0.00000000,0.15023414,0.00000000,0.00000000,0,0,0.14375923,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,21,0.06181422,0.11308098,0.00000000,0.00000000,0.07899907,0.00000000,0.00000000,0,0,0.07899907,1,Phase2-退火(0%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,22,0.06019745,0.11157365,0.00000000,0.00000000,0.07677472,0.00000000,0.00000000,0,0,0.07677472,1,Phase2-退火(2%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,23,0.05903752,0.11092238,0.00000000,0.00000000,0.08097275,0.00000000,0.00000000,0,0,0.07677472,0,Phase2-退火(3%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,24,0.05823383,0.11071404,0.00000000,0.00000000,0.07173543,0.00000000,0.00000000,0,0,0.07173543,1,Phase2-退火(5%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,25,0.05727244,0.10960454,0.00000000,0.00000000,0.07694978,0.00000000,0.00000000,0,0,0.07173543,0,Phase2-退火(7%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,26,0.05642887,0.10868242,0.00000000,0.00000000,0.07694511,0.00000000,0.00000000,0,0,0.07173543,0,Phase2-退火(8%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,27,0.05645906,0.11186408,0.00000000,0.00000000,0.07501890,0.00000000,0.00000000,0,0,0.07173543,0,Phase2-退火(10%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,28,0.05576654,0.11105250,0.00000000,0.00000000,0.08042762,0.00000000,0.00000000,0,0,0.07173543,0,Phase2-退火(12%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,29,0.05557911,0.11114461,0.00000000,0.00000000,0.07540399,0.00000000,0.00000000,0,0,0.07173543,0,Phase2-退火(13%),0.000000,5e-05
src64-64_raq2-64_baseline_curriculum_raq_decoder_only_ch64-128_gpu0-20260630-011255,30,0.05470845,0.11021066,0.00000000,0.00000000,0.07993707,0.00000000,0.00000000,0,0,0.07173543,0,Phase2-退火(15%),0.000000,5e-05
