run_id,epoch,train_recon,train_vq,train_distill,train_src_repulsion,val_recon,val_distill,val_src_repulsion,src_repulsion_weight,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-180135,1,0.24066721,0.83119813,0.15795798,0.00000000,0.17342654,0.08501881,0.00000000,0,0.17342654,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-180135,2,0.12862528,0.34907034,0.05369026,0.00000000,0.16422138,0.04671660,0.00000000,0,0.16422138,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-180135,3,0.10536313,0.21761973,0.02682717,0.00000000,0.17049564,0.04125304,0.00000000,0,0.16422138,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,1,0.24486311,0.83986919,0.15615447,0.00000000,0.18962636,0.08723399,0.00000000,0,0.18962636,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,2,0.12576502,0.35210047,0.05383310,0.00000000,0.14857761,0.04529361,0.00000000,0,0.14857761,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,3,0.10417718,0.23572912,0.03034685,0.00000000,0.15309067,0.03864238,0.00000000,0,0.14857761,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,4,0.09445046,0.19339301,0.02221214,0.00000000,0.12702990,0.03344982,0.00000000,0,0.12702990,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,5,0.08710927,0.17006510,0.01855209,0.00000000,0.12674413,0.03310214,0.00000000,0,0.12674413,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,6,0.08268681,0.15449389,0.01646883,0.00000000,0.15186435,0.03882170,0.00000000,0,0.12674413,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,7,0.07955433,0.14652141,0.01508304,0.00000000,0.15623529,0.03898333,0.00000000,0,0.12674413,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,8,0.07604212,0.14094889,0.01407051,0.00000000,0.14526756,0.03959358,0.00000000,0,0.12674413,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,9,0.07455963,0.13652440,0.01355249,0.00000000,0.14263339,0.03900270,0.00000000,0,0.12674413,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,10,0.07230492,0.13066628,0.01301211,0.00000000,0.15646735,0.04142821,0.00000000,0,0.12674413,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,11,0.07091893,0.12612276,0.01242406,0.00000000,0.13130098,0.03518588,0.00000000,0,0.12674413,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,12,0.06922769,0.12180792,0.01202298,0.00000000,0.12476917,0.03619484,0.00000000,0,0.12476917,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,13,0.06825373,0.12111409,0.01203948,0.00000000,0.12180006,0.03600022,0.00000000,0,0.12180006,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,14,0.06666607,0.11800214,0.01193864,0.00000000,0.13016637,0.03601502,0.00000000,0,0.12180006,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,15,0.06602078,0.11587653,0.01198757,0.00000000,0.11452404,0.03542510,0.00000000,0,0.11452404,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,16,0.06533978,0.11259859,0.01190507,0.00000000,0.13066196,0.03792069,0.00000000,0,0.11452404,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,17,0.06426381,0.10957868,0.01161328,0.00000000,0.13054302,0.04181756,0.00000000,0,0.11452404,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,18,0.06246795,0.10694634,0.01133204,0.00000000,0.13606247,0.04572282,0.00000000,0,0.11452404,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,19,0.06260548,0.10710615,0.01138508,0.00000000,0.14351239,0.05085873,0.00000000,0,0.11452404,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,20,0.06134498,0.10495791,0.01112012,0.00000000,0.14114066,0.05371842,0.00000000,0,0.11452404,0,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,21,0.06596363,0.13706391,0.01607256,0.00000000,0.09177989,0.02941791,0.00000000,0,0.09177989,1,Phase2-退火(0%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,22,0.06381443,0.13259163,0.01579628,0.00000000,0.09231182,0.02907010,0.00000000,0,0.09177989,0,Phase2-退火(2%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,23,0.06296752,0.13084404,0.01584062,0.00000000,0.10330726,0.03087202,0.00000000,0,0.09177989,0,Phase2-退火(3%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,24,0.06159522,0.12885132,0.01559726,0.00000000,0.08590791,0.02680619,0.00000000,0,0.08590791,1,Phase2-退火(5%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,25,0.06136398,0.12892892,0.01580626,0.00000000,0.09406668,0.03369652,0.00000000,0,0.08590791,0,Phase2-退火(7%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,26,0.06028224,0.12594962,0.01548318,0.00000000,0.09378033,0.03169639,0.00000000,0,0.08590791,0,Phase2-退火(8%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,27,0.05933583,0.12719575,0.01590483,0.00000000,0.09397777,0.02989256,0.00000000,0,0.08590791,0,Phase2-退火(10%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,28,0.05913921,0.12696480,0.01596888,0.00000000,0.10618884,0.03433511,0.00000000,0,0.08590791,0,Phase2-退火(12%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,29,0.05774275,0.12452952,0.01576828,0.00000000,0.08962992,0.03044115,0.00000000,0,0.08590791,0,Phase2-退火(13%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,30,0.05771131,0.12550512,0.01587770,0.00000000,0.10104819,0.03426068,0.00000000,0,0.08590791,0,Phase2-退火(15%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,31,0.05737639,0.12557630,0.01599613,0.00000000,0.10473971,0.03451460,0.00000000,0,0.08590791,0,Phase2-退火(17%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,32,0.05596135,0.12300114,0.01569342,0.00000000,0.10012080,0.03563370,0.00000000,0,0.08590791,0,Phase2-退火(18%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,33,0.05599193,0.12612953,0.01624400,0.00000000,0.09750882,0.03412352,0.00000000,0,0.08590791,0,Phase2-退火(20%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,34,0.05541612,0.12376070,0.01581625,0.00000000,0.09979848,0.03676263,0.00000000,0,0.08590791,0,Phase2-退火(22%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,35,0.05478651,0.12209135,0.01556429,0.00000000,0.09165667,0.03198770,0.00000000,0,0.08590791,0,Phase2-退火(23%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,36,0.05402158,0.12267758,0.01567780,0.00000000,0.09003152,0.03344892,0.00000000,0,0.08590791,0,Phase2-退火(25%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,37,0.05374340,0.12284830,0.01577685,0.00000000,0.09800440,0.03283520,0.00000000,0,0.08590791,0,Phase2-退火(27%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,38,0.05285712,0.12011489,0.01520218,0.00000000,0.10690964,0.03642374,0.00000000,0,0.08590791,0,Phase2-退火(28%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,39,0.05281916,0.12017492,0.01532292,0.00000000,0.09264250,0.03417263,0.00000000,0,0.08590791,0,Phase2-退火(30%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,40,0.05237854,0.12217845,0.01578319,0.00000000,0.10294069,0.03502186,0.00000000,0,0.08590791,0,Phase2-退火(32%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,41,0.05074600,0.11255649,0.01503087,0.00000000,0.09000176,0.03475965,0.00000000,0,0.08590791,0,Phase2-退火(33%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,42,0.05011549,0.11033232,0.01462578,0.00000000,0.10397513,0.03607411,0.00000000,0,0.08590791,0,Phase2-退火(35%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,43,0.04981417,0.11263859,0.01506746,0.00000000,0.09163620,0.03243048,0.00000000,0,0.08590791,0,Phase2-退火(37%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,44,0.04865940,0.10933788,0.01457684,0.00000000,0.09952607,0.03586758,0.00000000,0,0.08590791,0,Phase2-退火(38%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,45,0.04889848,0.11123865,0.01488930,0.00000000,0.10188035,0.03556088,0.00000000,0,0.08590791,0,Phase2-退火(40%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,46,0.04882498,0.11157440,0.01491508,0.00000000,0.09190813,0.03473489,0.00000000,0,0.08590791,0,Phase2-退火(42%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,47,0.04780862,0.10985136,0.01468737,0.00000000,0.10401586,0.03769951,0.00000000,0,0.08590791,0,Phase2-退火(43%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,48,0.04766769,0.10925837,0.01451649,0.00000000,0.10234062,0.03714991,0.00000000,0,0.08590791,0,Phase2-退火(45%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,49,0.04771944,0.11080654,0.01473905,0.00000000,0.10191920,0.03561230,0.00000000,0,0.08590791,0,Phase2-退火(47%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,50,0.04721763,0.11140697,0.01485231,0.00000000,0.11133326,0.03996553,0.00000000,0,0.08590791,0,Phase2-退火(48%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,51,0.04667753,0.11024615,0.01470336,0.00000000,0.10485107,0.03945101,0.00000000,0,0.08590791,0,Phase2-退火(50%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,52,0.04664446,0.11341064,0.01520685,0.00000000,0.09224725,0.03687688,0.00000000,0,0.08590791,0,Phase2-退火(52%),0.000000,5e-05
src64-64_raq2-64_distill_curriculum_ch64-128_gpu1-20260625-182007,53,0.04628703,0.11118623,0.01478234,0.00000000,0.10768918,0.04210814,0.00000000,0,0.08590791,0,Phase2-退火(53%),0.000000,5e-05
