run_id,epoch,train_recon,train_vq,train_distill,val_recon,val_distill,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,1,0.28493843,1.09916021,0.16595721,0.16467944,0.08743617,0.16467944,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,2,0.15031426,0.49281911,0.06596057,0.12699847,0.04138047,0.12699847,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,3,0.12468761,0.34749400,0.04150776,0.10760970,0.03064241,0.10760970,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,4,0.11438239,0.30457111,0.03577108,0.09567232,0.02797125,0.09567232,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,5,0.10410712,0.25353283,0.03277512,0.09339773,0.02723569,0.09339773,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,6,0.10040040,0.24841835,0.03301404,0.08708129,0.02691277,0.08708129,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,7,0.09460598,0.23212950,0.03114242,0.08025157,0.02873388,0.08025157,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,8,0.09038215,0.22307210,0.03010067,0.07819170,0.02797322,0.07819170,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,9,0.08751785,0.21585627,0.02873905,0.07463228,0.02309990,0.07463228,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,10,0.08565348,0.20892907,0.02826405,0.07241779,0.02549319,0.07241779,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,11,0.08261920,0.19592831,0.02671289,0.07131654,0.02570631,0.07131654,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,12,0.08230491,0.20088344,0.02774790,0.07061521,0.02467483,0.07061521,1,Phase1-拓荒,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,13,0.07887586,0.18886050,0.02621394,0.06719141,0.02306414,0.06719141,1,Phase1-拓荒,0.000000,5e-05
