run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,10,src,0,64,0.8906250000,57,7,18.0559062958,0.9473350644,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,10,src,1,64,0.0312500000,2,62,1.9969294071,0.7110003233,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,10,raq,0,64,1.0000000000,64,0,61.0075492859,0.6351470947,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,10,raq,1,64,1.0000000000,64,0,21.8571910858,0.0707451999,21,0.3281250000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,20,src,0,64,0.9843750000,63,1,28.1406497955,0.9675583243,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,20,src,1,64,0.0312500000,2,62,1.9975022078,0.7259720564,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,20,raq,0,64,1.0000000000,64,0,60.6252708435,0.8578110933,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,20,raq,1,64,1.0000000000,64,0,41.9840202332,0.1022363454,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,30,src,0,64,1.0000000000,64,0,34.4822921753,1.6756509542,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,30,src,1,64,0.0468750000,3,61,1.9981318712,0.7521220446,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,30,raq,0,64,1.0000000000,64,0,58.5786476135,0.9102903605,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,30,raq,1,64,1.0000000000,64,0,36.4459228516,0.1015625000,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,40,src,0,64,1.0000000000,64,0,41.6672859192,2.1494746208,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,40,src,1,64,0.0312500000,2,62,1.9944382906,0.7703720927,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,40,raq,0,64,1.0000000000,64,0,58.3318481445,0.7418584824,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,40,raq,1,64,1.0000000000,64,0,35.0035743713,0.0539854504,9,0.1406250000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,50,src,0,64,1.0000000000,64,0,45.4773025513,2.1397137642,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,50,src,1,64,0.0468750000,3,61,2.9970667362,0.7578484416,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,50,raq,0,64,1.0000000000,64,0,59.4137916565,0.7094765306,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,50,raq,1,64,1.0000000000,64,0,40.9114990234,0.0403120443,10,0.1562500000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,60,src,0,64,1.0000000000,64,0,43.5148124695,2.0747897625,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,60,src,1,64,0.0468750000,3,61,2.9707343578,0.7667093873,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,60,raq,0,64,1.0000000000,64,0,56.6670646667,0.7012017965,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,60,raq,1,64,1.0000000000,64,0,38.2834854126,0.0172495320,12,0.1875000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,70,src,0,64,1.0000000000,64,0,45.3298950195,2.1561315060,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,70,src,1,64,0.0468750000,3,61,2.9982724190,0.7690849900,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,70,raq,0,64,1.0000000000,64,0,56.6499099731,0.9870916605,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,70,raq,1,64,1.0000000000,64,0,36.1238212585,0.0602626912,12,0.1875000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,80,src,0,64,1.0000000000,64,0,45.6465682983,2.2697842121,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,80,src,1,64,0.0937500000,6,58,3.0022554398,0.7688896656,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,80,raq,0,64,1.0000000000,64,0,55.8455886841,1.2703903913,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,80,raq,1,64,1.0000000000,64,0,31.8529014587,0.0157465972,21,0.3281250000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,90,src,0,64,1.0000000000,64,0,44.8329467773,2.3530383110,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,90,src,1,64,0.1250000000,8,56,4.9880099297,0.8180364966,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,90,raq,0,64,1.0000000000,64,0,56.3652954102,0.9593482614,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,90,raq,1,64,1.0000000000,64,0,49.4005851746,0.0855370611,2,0.0312500000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,100,src,0,64,1.0000000000,64,0,45.0718536377,2.2039589882,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,100,src,1,64,0.2968750000,19,45,9.7517976761,0.8391080499,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,100,raq,0,64,1.0000000000,64,0,54.8818206787,1.2679229975,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,100,raq,1,64,1.0000000000,64,0,56.2859344482,0.1840917468,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,110,src,0,64,1.0000000000,64,0,41.0775604248,2.1064469814,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,110,src,1,64,0.2812500000,18,46,11.8125343323,0.9822938442,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,110,raq,0,64,1.0000000000,64,0,53.0112838745,1.2223532200,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,110,raq,1,64,1.0000000000,64,0,59.8760566711,0.1263356358,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,120,src,0,64,1.0000000000,64,0,43.4492950439,2.0849680901,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,120,src,1,64,0.5156250000,33,31,15.8340396881,0.9760728478,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,120,raq,0,64,1.0000000000,64,0,53.4793701172,1.2046799660,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,120,raq,1,64,1.0000000000,64,0,61.7111282349,0.4130755365,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,130,src,0,64,1.0000000000,64,0,43.6283950806,2.0586123466,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,130,src,1,64,0.4218750000,27,37,15.6601343155,1.0745515823,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,130,raq,0,64,1.0000000000,64,0,54.2662010193,1.2476773262,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,130,raq,1,64,1.0000000000,64,0,61.1443138123,0.2089022249,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,140,src,0,64,1.0000000000,64,0,42.5523719788,2.0734608173,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,140,src,1,64,0.4375000000,28,36,17.7133674622,1.2416093349,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,140,raq,0,64,1.0000000000,64,0,53.1468963623,1.2023202181,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,140,raq,1,64,1.0000000000,64,0,61.0179748535,0.4425261617,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,150,src,0,64,1.0000000000,64,0,43.5697326660,1.9770642519,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,150,src,1,64,0.6093750000,39,25,23.0447883606,1.3006867170,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,150,raq,0,64,1.0000000000,64,0,53.7449188232,1.3125741482,0,0.0000000000,64,1
src64-64_raq2-64_distill_srcrep_curriculum_ch64-128_gpu3-20260625-182008,150,raq,1,64,1.0000000000,64,0,62.4523124695,0.5022494197,0,0.0000000000,64,1
