run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
src64-64_raq2-64_ch64-128-20260624-014822,10,src,0,64,0.9687500000,62,2,19.3173313141,0.9738326073,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,10,src,1,64,0.0781250000,5,59,3.3728675842,0.6695151329,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,10,raq,0,16,1.0000000000,16,0,14.9688062668,2.6275448799,0,0.0000000000,16,1
src64-64_raq2-64_ch64-128-20260624-014822,10,raq,1,2,1.0000000000,2,0,1.9985346794,6.7924532890,0,0.0000000000,2,1
src64-64_raq2-64_ch64-128-20260624-014822,20,src,0,64,1.0000000000,64,0,22.3024425507,0.9385908842,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,20,src,1,64,0.0937500000,6,58,4.8316950798,0.7535234690,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,20,raq,0,16,1.0000000000,16,0,13.7982797623,3.0237996578,0,0.0000000000,16,1
src64-64_raq2-64_ch64-128-20260624-014822,20,raq,1,2,1.0000000000,2,0,1.9850457907,10.0675649643,0,0.0000000000,2,1
src64-64_raq2-64_ch64-128-20260624-014822,30,src,0,64,1.0000000000,64,0,32.1146240234,1.9366512299,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,30,src,1,64,0.0937500000,6,58,5.7982387543,0.7566881776,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,30,raq,0,16,1.0000000000,16,0,14.1612348557,2.9086410999,0,0.0000000000,16,1
src64-64_raq2-64_ch64-128-20260624-014822,30,raq,1,2,1.0000000000,2,0,1.9796918631,9.8593511581,0,0.0000000000,2,1
src64-64_raq2-64_ch64-128-20260624-014822,40,src,0,64,1.0000000000,64,0,39.0797080994,2.0065093040,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,40,src,1,64,0.1406250000,9,55,5.9703826904,0.7582775354,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,40,raq,0,16,1.0000000000,16,0,14.2736024857,3.0670101643,0,0.0000000000,16,1
src64-64_raq2-64_ch64-128-20260624-014822,40,raq,1,2,1.0000000000,2,0,1.9979412556,10.6956367493,0,0.0000000000,2,1
src64-64_raq2-64_ch64-128-20260624-014822,50,src,0,64,1.0000000000,64,0,41.0529136658,2.1180233955,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,50,src,1,64,0.1406250000,9,55,6.7842311859,0.8030399084,0,0.0000000000,64,1
src64-64_raq2-64_ch64-128-20260624-014822,50,raq,0,16,1.0000000000,16,0,13.3562383652,2.9771583080,0,0.0000000000,16,1
src64-64_raq2-64_ch64-128-20260624-014822,50,raq,1,2,1.0000000000,2,0,1.9981300831,10.0765962601,0,0.0000000000,2,1
