run_id,epoch,branch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,10,src,0,64,1.0000000000,64,0,45.2474288940,1.7238303423,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,10,src,1,64,1.0000000000,64,0,55.2367362976,1.4688487053,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,10,raq,0,64,1.0000000000,64,0,48.9130096436,0.0826335773,2,0.0312500000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,10,raq,1,64,0.4218750000,27,37,12.5618591309,0.0465483405,10,0.1562500000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,20,src,0,64,1.0000000000,64,0,45.2474288940,1.7238303423,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,20,src,1,64,1.0000000000,64,0,55.2367362976,1.4688487053,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,20,raq,0,64,1.0000000000,64,0,54.5983810425,0.2498778999,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,20,raq,1,64,1.0000000000,64,0,38.8871574402,0.1552703679,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,30,src,0,64,1.0000000000,64,0,45.2474288940,1.7238303423,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,30,src,1,64,1.0000000000,64,0,55.2367362976,1.4688487053,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,30,raq,0,64,1.0000000000,64,0,59.2822494507,0.1153915077,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,30,raq,1,64,1.0000000000,64,0,56.0634117126,0.1409974992,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,40,src,0,64,1.0000000000,64,0,45.2474288940,1.7238303423,0,0.0000000000,64,1
staged_v2_src64-64_stage2_raq_warmup_ch64-128_gpu2-20260627-163945,40,src,1,64,1.0000000000,64,0,55.2367362976,1.4688487053,0,0.0000000000,64,1
